state_newspaper,newspaper,newspaper_id,year,office,dist,dname,state_election,cand_name,party,endorsed,d_inc,r_inc,o_inc,notes_endorse,extraction_confidence
SC,Anderson Independent Mail,143070,1974,GOVERNOR,,,SC,"DORN, BRYAN",Democrat,1,,,,checkmarked in Suggestions box,0.95
SC,Anderson Independent Mail,143070,1974,GOVERNOR,,,SC,"EDWARDS, JAMES B.",Republican,0,,,,not endorsed,0.95
SC,Anderson Independent Mail,143070,1974,GOVERNOR,,,SC,"JENNINGS, PEGGY",Independent,0,,,,not endorsed,0.95
SC,Anderson Independent Mail,143070,1974,LT GOVERNOR,,,SC,"HARVEY, BRANTLEY JR.",Democrat,0,,,,not endorsed,0.95
SC,Anderson Independent Mail,143070,1974,LT GOVERNOR,,,SC,"CAMPBELL, CARROL L.",Republican,1,,,,checkmarked in Suggestions box,0.95
SC,Anderson Independent Mail,143070,1974,LT GOVERNOR,,,SC,"COLE, DAN R.",Independent,0,,,,not endorsed,0.95
SC,Anderson Independent Mail,143070,1974,H,3,,SC,"DERRICK, BUTLER C.",Democrat,0,,,,US House SC-3; not endorsed,0.95
SC,Anderson Independent Mail,143070,1974,H,3,,SC,"PARKER, MARSHALL J.",Republican,1,,,,US House SC-3; checkmarked in Suggestions box,0.95
SC,Anderson Independent Mail,143070,1974,SENATOR,,,SC,"HOLLINGS, ERNEST F.",Democrat,1,1,,,incumbent US Senator; checkmarked,0.95
SC,Anderson Independent Mail,143070,1974,SENATOR,,,SC,"BUSH, GWENFRED",Republican,0,,,,not endorsed,0.95
SC,Anderson Independent Mail,143070,1974,SENATOR,,,SC,"HOUGH, HAROLD",Independent,0,,,,not endorsed,0.95
SC,Anderson Independent Mail,143070,1974,SUPERINTENDENT,,,SC,"BUSBEE, CYRIL B.",Democrat,1,1,,,Superintendent of Education incumbent; deserves re-election,0.95
SC,Anderson Independent Mail,143070,1974,SUPERINTENDENT,,,SC,"HOUGH, ELIZABETH",Independent,0,,,,not endorsed,0.95
SC,Anderson Independent Mail,143070,1974,SEC OF STATE,,,SC,"THORNTON, O. FRANK",Democrat,1,1,,,"incumbent; handling of office has been excellent, deserves re-election",0.95
SC,Anderson Independent Mail,143070,1974,SEC OF STATE,,,SC,"CLINKSCALES, FULTON V. SR.",Republican,0,,,,not endorsed,0.95
SC,Anderson Independent Mail,143070,1974,SEC OF STATE,,,SC,"CANADY, DANIEL",Independent,0,,,,not endorsed,0.95
SC,Anderson Independent Mail,143070,1974,TREASURER,,,SC,"PATTERSON, GRADY L.",Democrat,1,1,,,"incumbent since 1966; record is excellent, earned re-election",0.95
SC,Anderson Independent Mail,143070,1974,TREASURER,,,SC,"COLE, DAVID J.",Independent,0,,,,not endorsed,0.95
SC,Anderson Independent Mail,143070,1974,AGRICULTURE COMMISSIONER,,,SC,"HARRELSON, WILLIAM L.",Democrat,0,1,,,incumbent; not endorsed - 'little empire needs a little shaking up',0.95
SC,Anderson Independent Mail,143070,1974,AGRICULTURE COMMISSIONER,,,SC,"GAUSE, BRUCE L.",Republican,1,,,,should be given a shot at the position to improve efficiency,0.95
