state_newspaper,newspaper,newspaper_id,year,state_election,prop_type,prop_num,prop_desc,endorsed,notes_endorse,extraction_confidence
SC,Anderson Independent Mail,143070,1974,SC,LOCAL,,County amendment to allow Zoning District C-5 (Downtown Anderson) property owners to establish a special tax district for revitalization,1,'we urge all voters in the county to vote yes to this proposal',0.95
SC,Anderson Independent Mail,143070,1978,SC,AMENDMENT,,SC constitutional amendment to reduce no-fault divorce separation time requirement from three years to one year,1,'The proposal is a reasonable one',0.95
SC,Anderson Independent Mail,143070,1982,SC,LOCAL,,Whether to retain Anderson County Board of Education,0,Body of government we consider to be unnecessary and wasteful; vote against retaining,0.95
SC,Anderson Independent Mail,143070,1982,SC,LOCAL,,Countywide sewer authority for Anderson County,1,"Something we feel is vital to ensure steady, well-planned growth in the county",0.95
SC,Anderson Independent Mail,143070,1982,SC,LOCAL,,"Expand Anderson County Council to nine-member, expanded district body",1,"We favor a larger council; nine members could better serve the 135,000 people; expanded council would allow formation of a predominantly black district and thus fairer representation",0.95
SC,Anderson Independent Mail,143070,1982,SC,LOCAL,,Change Anderson County government from Council-Supervisor form to Council-Administrator form,1,Voters are being asked if they want a fresh start in county government. That's a welcome proposition; an administrator is a person who would be hired by county council to handle financial affairs; it's time that Anderson County does too,0.95
SC,Anderson Independent Mail,143070,1986,SC,LOCAL,,Anderson County Civic Center authority/referendum (build civic center on Mall Road property),1,"'We urge the voters to approve it'; would benefit entire county; cost $6/year on $50,000 home; could generate $2 million in business; help maintain Anderson's role as trade, recreation and health center for eight counties",0.95
SC,Anderson Independent Mail,143070,1986,SC,LOCAL,,Anderson County Fire Commission's request for 2-mill tax increase,1,"'With mixed feelings, we support'; cautious endorsement; bottom line - since 1960s the commission has received 4 mills without increase; encouraged by improved relations indicators",0.95
SC,Anderson Independent Mail,143070,1986,SC,LOCAL,138,Continue Council-Administrator form of government in Anderson County (vs change),1,Question on referendum ballot asking whether to change the form; 'punching No. 138...will be a vote for continuing to improve our county government's effectiveness',0.95
SC,Anderson Independent Mail,143070,1986,SC,LOCAL,170,Construction of a civic center in Anderson County,1,Vote to improve county's future by favoring construction of a civic center; cast vote by punching No. 170,0.95
