state_newspaper,newspaper,newspaper_id,year,office,dist,dname,state_election,cand_name,party,endorsed,d_inc,r_inc,o_inc,notes_endorse,extraction_confidence
SC,Beaufort Gazette,BEAUFORTG,1952,PRESIDENT,,,SC,"EISENHOWER, DWIGHT D",Republican,1,,,,Editorial 'Day of Decision' endorses Eisenhower; 'we should still vote for Eisenhower as a protest against the government irregularities and misuses of power',0.85
SC,Beaufort Gazette,BEAUFORTG,1952,PRESIDENT,,,SC,"STEVENSON, ADLAI",Democrat,0,,,,Editorial implicitly opposes Stevenson by endorsing Eisenhower; Democrats criticized for 20 years of corruption,0.8
SC,Beaufort Gazette,BEAUFORTG,1954,SENATOR,,,SC,"THURMOND, STROM",Democrat,1,,,,"Editorial 'Now, It's Your Move' endorses Thurmond as write-in candidate for US Senate; 'we expect next Tuesday to write in the name STROM THURMOND for the United States senate'",0.95
SC,Beaufort Gazette,BEAUFORTG,1954,SENATOR,,,SC,"BROWN, EDGAR A",Democrat,0,,,,Brown was Democratic primary winner after death of Sen. Burnet R. Maybank; editorial opposes Brown's selection by State Democratic Executive Committee in favor of write-in Thurmond,0.9
SC,Beaufort Gazette,BEAUFORTG,1960,PRESIDENT,,,SC,"KENNEDY, JOHN F",Democrat,0,,,,Editorial 'How Are Your Nerves?' opposes Kennedy; 'Mr. Kennedy strikes us as a very nervous man... not times for excitement'; implies preference for Nixon but does not explicitly endorse him,0.85
SC,Beaufort Gazette,BEAUFORTG,1964,PRESIDENT,,,SC,"GOLDWATER, BARRY",Republican,1,,,,"Editorial 'Think...Then Vote!' explicitly endorses Goldwater; 'We will vote for Barry Goldwater on November 3, 1964... we sincerely feel he is well aware of America's plight'",0.98
SC,Beaufort Gazette,BEAUFORTG,1964,PRESIDENT,,,SC,"JOHNSON, LYNDON B",Democrat,0,,,1,Editorial implicitly opposes incumbent Johnson via Goldwater endorsement; warns against socialism trend,0.85
SC,Beaufort Gazette,BEAUFORTG,1968,PRESIDENT,,,SC,"NIXON, RICHARD",Republican,1,,,,Editorial 'Time For A Change' by Evelyn J. Gresham (Women's Editor) endorses Nixon; 'a vote for Mr. Nixon is... a change that will benefit the entire nation',0.95
SC,Beaufort Gazette,BEAUFORTG,1968,PRESIDENT,,,SC,"HUMPHREY, HUBERT",Democrat,0,,,,Editorial opposes Humphrey; 'We are fed up with riots and anarchy... We will not vote for Mr. Humphrey',0.95
SC,Beaufort Gazette,BEAUFORTG,1968,PRESIDENT,,,SC,"WALLACE, GEORGE",Independent,0,,,,Editorial opposes Wallace (American Independent Party); 'we see little or no chance of his offering our country any substantial guidance and leadership. We will not vote for Mr. Wallace',0.95
SC,Beaufort Gazette,BEAUFORTG,1972,PRESIDENT,,,SC,"NIXON, RICHARD",Republican,1,,1,,"Editorial 'Nixon's The Man' endorses incumbent Nixon; 'we will vote for Richard M. Nixon. We think he is by far the most capable, most qualified person'",0.98
SC,Beaufort Gazette,BEAUFORTG,1972,PRESIDENT,,,SC,"MCGOVERN, GEORGE",Democrat,0,,,,Editorial opposes McGovern by endorsing Nixon,0.9
SC,Beaufort Gazette,BEAUFORTG,1972,PRESIDENT,,,SC,"SCHMITZ, JOHN",Independent,0,,,,American Independent Party candidate; editorial opposes by endorsing Nixon,0.85
SC,Beaufort Gazette,BEAUFORTG,1972,SENATOR,,,SC,"THURMOND, STROM",Republican,1,,1,,"Editorial endorses Thurmond for re-election; 'We know Senator Thurmond's record and it is a good one. He has done much for South Carolina, the nation and Beaufort County'",0.98
SC,Beaufort Gazette,BEAUFORTG,1972,H,1,,SC,"LIMEHOUSE, SIDI",Republican,1,,,,"Editorial endorses Limehouse for Congress (SC-1 area, includes Beaufort County); 'Limehouse has no record in the Congress, but we feel his thinking and background will do much to aid President Nixon'; was a SC state representative from Charleston",0.95
SC,Beaufort Gazette,BEAUFORTG,1974,GOVERNOR,,,SC,"EDWARDS, JAMES B",Republican,1,,,,Editorial 'The Vantage Point: Taking A Look At The Ballot' endorses Edwards for Governor; sample ballot illustration shows X by Edwards' name. Edwards won this election (first Republican SC governor since Reconstruction),0.98
SC,Beaufort Gazette,BEAUFORTG,1974,GOVERNOR,,,SC,"DORN, BRYAN",Democrat,0,,,,William Jennings Bryan Dorn (D); editorial opposes by endorsing Edwards on a split ticket,0.9
SC,Beaufort Gazette,BEAUFORTG,1974,LT GOVERNOR,,,SC,"HARVEY, BRANTLEY",Democrat,1,,,,Editorial endorses Harvey for Lt Governor; sample ballot shows X by his name. Brantley Harvey from Beaufort; explicit split-ticket endorsement,0.98
SC,Beaufort Gazette,BEAUFORTG,1974,LT GOVERNOR,,,SC,"CAMPBELL, CARROLL",Republican,0,,,,Carroll Campbell (R); editorial opposes by endorsing Harvey,0.9
SC,Beaufort Gazette,BEAUFORTG,1976,PRESIDENT,,,SC,"FORD, GERALD",Republican,1,,1,,Editorial 'The Gazette's endorsement: Gerald Ford for President' endorses incumbent Ford; 'We submit that Gerald Ford will provide the defense leadership we need for the next four years',0.98
SC,Beaufort Gazette,BEAUFORTG,1976,VICE PRESIDENT,,,SC,"DOLE, ROBERT",Republican,1,,,,"Editorial endorses Ford-Dole ticket; 'today we endorse for President the incumbent, and Republican nominee, Gerald R. Ford' with running mate Dole",0.9
SC,Beaufort Gazette,BEAUFORTG,1976,PRESIDENT,,,SC,"CARTER, JIMMY",Democrat,0,,,,Editorial opposes Carter; criticizes Carter's defense spending cuts and domestic spending plans,0.95
SC,Beaufort Gazette,BEAUFORTG,1976,STATE REP,122,,SC,"GRAVES, J WILTON",Democrat,1,1,,,"Editorial 'Our local elections offer good choice of candidates' endorses incumbent Rep. Graves for SC House District 122; 'Without hesitation, Rep. Graves is the best qualified candidate for the office and we think the voters should send him to Columbia for another term'. 18 years prior service in SC House plus highway commissioner stint",0.95
SC,Beaufort Gazette,BEAUFORTG,1976,STATE REP,122,,SC,"MORRISON, BARCLAY",Republican,0,,,,Republican challenger for House District 122; editorial opposes by endorsing Graves; characterizes Morrison's criticism as 'misguided',0.9
SC,Beaufort Gazette,BEAUFORTG,1978,STATE REP,,,SC,"GRAVES, J WILTON",Democrat,1,1,,,"Editorial 'For good representation, re-elect Rep. Wilton Graves' endorses incumbent for SC House (Beaufort County district); 'Rep. J. Wilton Graves is a dedicated, responsive, and experienced legislator. He deserves your support'. Served in legislature 20 years, on House Ways and Means Committee",0.98
SC,Beaufort Gazette,BEAUFORTG,1978,STATE REP,,,SC,"LITTELL, WILLIAM",Republican,0,,,,Hilton Head Island businessman and political novice; editorial opposes; 'Mr. Littell has no political experience at all and would not be able to take care of the needs of Beaufort County'. Notes Littell apparently doesn't know district boundaries,0.95
SC,Beaufort Gazette,BEAUFORTG,2010,H,2,,SC,"WILSON, JOE",Republican,1,,1,,"Editorial 'OUR VIEW - Joe Wilson brings most to table for 2nd District' endorses incumbent Rep. Joe Wilson for U.S. House 2nd Congressional District. Cites 17 years state Senate experience, work in U.S. House since election, committee assignments.",0.97
SC,Beaufort Gazette,BEAUFORTG,2010,SUPERINTENDENT,,,SC,"HOLLEMAN, FRANK",Democrat,1,,,,"Editorial 'OUR VIEW - Holleman uniquely qualified to lead our state's schools' endorses Frank Holleman for S.C. Superintendent of Education on Nov. 2 ballot. Notes his Conroe County public schools graduate background, role with U.S. Deputy Secretary of Education.",0.97
SC,Beaufort Gazette,BEAUFORTG,2010,LT GOVERNOR,,,SC,"ARD, KEN",Republican,1,,,,"Editorial 'Ard looks for solutions, not someone to blame - Pragmatism, not just politics, guides his thinking' endorses Ken Ard for S.C. Lieutenant Governor. Florence County Council member and small business owner.",0.97
SC,Beaufort Gazette,BEAUFORTG,2010,ATTORNEY GENERAL,,,SC,"RICHARDSON, MATTHEW",Democrat,1,,,,"Editorial 'OUR VIEW - Richardson's experience key for attorney general' endorses Matthew Richardson over Republican Alan Wilson. Cites his federal and appellate court experience as law clerk, past president of Federal Bar Association in S.C. and vice president S.C. Association for Justice.",0.97
SC,Beaufort Gazette,BEAUFORTG,2010,TREASURER,,Beaufort County,SC,HENDERSON,,1,,,,Editorial 'Henderson will bring accountability to office - Beaufort County treasurer is too important an office to reward the incumbent's poor performance' endorses Henderson over the incumbent for Beaufort County Treasurer. Party affiliation not stated explicitly in clip.,0.85
SC,Beaufort Gazette,BEAUFORTG,2010,SCHOOL BOARD,5,Beaufort County Board of Education District 5 (St. Helena Island),SC,"ALSTON, FAYE",Nonpartisan,1,,,,"Editorial 'Alston, White our choices in school board contests' endorses Faye Alston over 12-year incumbent Michael Rivers in District 5 (St. Helena Island). School board races are nonpartisan in SC.",0.95
SC,Beaufort Gazette,BEAUFORTG,2010,SCHOOL BOARD,7,"Beaufort County Board of Education District 7 (Lady's Island, Dataw Island, Pigeon Point)",SC,"WHITE, ROBERT",Nonpartisan,1,,,,"Editorial 'Alston, White our choices in school board contests' gives slight edge to Robert White over Bill Evans for District 7 seat (incumbent Jim Bequette not seeking re-election). Open seat. School board races are nonpartisan in SC.",0.93
SC,Beaufort Gazette,BEAUFORTG,2010,CITY COUNCIL,Ward 2,Hilton Head Island Town Council Ward 2,SC,"HARKINS, BILL",Nonpartisan,1,,,,"Editorial 'Harkins, Likins, Williams our choices for council' endorses Bill Harkins for Hilton Head Island Town Council Ward 2. Nonpartisan municipal race.",0.95
SC,Beaufort Gazette,BEAUFORTG,2010,CITY COUNCIL,Ward 4,Hilton Head Island Town Council Ward 4,SC,"LIKINS, KIM",Nonpartisan,1,,,,"Editorial endorses Kim Likins for Hilton Head Island Town Council Ward 4. Background in corporate work, small business start-up and community service.",0.95
SC,Beaufort Gazette,BEAUFORTG,2010,CITY COUNCIL,Ward 5,Hilton Head Island Town Council Ward 5,SC,WILLIAMS,Nonpartisan,1,,,1,"Editorial endorses incumbent Williams (Sea Pines representative, on Town Council past nine years) for Hilton Head Island Town Council Ward 5.",0.92
SC,Beaufort Gazette,BEAUFORTG,2010,CITY COUNCIL,,Beaufort City Council,SC,"BEER, DONNIE",Nonpartisan,1,,,1,"Editorial 'Experience, knowledge give Beer, Sutton nods for council - Incumbents have earned a return to Beaufort City Council' endorses incumbent Donnie Beer for Beaufort City Council (at-large).",0.95
SC,Beaufort Gazette,BEAUFORTG,2010,CITY COUNCIL,,Beaufort City Council,SC,"SUTTON, MIKE",Nonpartisan,1,,,1,Editorial endorses incumbent Mike Sutton for Beaufort City Council (at-large).,0.95
SC,Beaufort Gazette,BEAUFORTG,2010,MAYOR,,Hilton Head Island,SC,"LAUGHLIN, DREW",Nonpartisan,1,,,,"Editorial 'Laughlin's experience, skills right for Hilton Head - Drew Laughlin is uniquely qualified to guide the community through today's economic shoals' endorses Drew Laughlin for Mayor of Hilton Head Island. Cites 27 years on Hilton Head Town Hall and other boards.",0.96
SC,Beaufort Gazette,BEAUFORTG,2012,H,1,,SC,"SCOTT, TIM",Republican,1,,1,,Election Day recap 'Election Day arrives; time to cast our ballots' lists Tim Scott as Beaufort Gazette's choice for Congressional District 1.,0.95
SC,Beaufort Gazette,BEAUFORTG,2012,CITY COUNCIL,Ward 1,Hilton Head Island Town Council Ward 1,SC,"GRANT, MARC",Nonpartisan,1,,,,Election Day recap endorses Marc Grant for Hilton Head Town Council Ward 1.,0.95
SC,Beaufort Gazette,BEAUFORTG,2012,CITY COUNCIL,Ward 3,Hilton Head Island Town Council Ward 3,SC,"EDWARDS, LEE",Nonpartisan,1,,,,Election Day recap endorses Lee Edwards for Hilton Head Town Council Ward 3.,0.95
SC,Beaufort Gazette,BEAUFORTG,2012,CITY COUNCIL,Ward 6,Hilton Head Island Town Council Ward 6,SC,"COLLETT, JIM",Nonpartisan,1,,,,Election Day recap endorses Jim Collett for Hilton Head Town Council Ward 6.,0.95
SC,Beaufort Gazette,BEAUFORTG,2012,CITY COUNCIL,,Beaufort City Council,SC,"O'KELLEY, GEORGE",Nonpartisan,1,,,,Election Day recap endorses George O'Kelley for Beaufort City Council.,0.95
SC,Beaufort Gazette,BEAUFORTG,2012,CITY COUNCIL,,Beaufort City Council,SC,"PALMER, PETE",Nonpartisan,1,,,,Election Day recap endorses Pete Palmer for Beaufort City Council.,0.95
SC,Beaufort Gazette,BEAUFORTG,2012,CNTY COMM,7,Beaufort County Council District 7,SC,"DURYEA, FORREST ""DAN""",,1,,,,Election Day recap endorses Forrest 'Dan' Duryea for Beaufort County Council District 7.,0.95
SC,Beaufort Gazette,BEAUFORTG,2012,SCHOOL BOARD,3,Beaufort County Board of Education District 3,SC,"WASHINGTON, FRED, JR.",Nonpartisan,1,,,,Election Day recap endorses Fred Washington Jr. for Beaufort County Board of Education District 3.,0.95
SC,Beaufort Gazette,BEAUFORTG,2012,SCHOOL BOARD,4,Beaufort County Board of Education District 4,SC,"HERRMANN, BRIAN",Nonpartisan,1,,,,Election Day recap endorses Brian Herrmann for Beaufort County Board of Education District 4.,0.95
SC,Beaufort Gazette,BEAUFORTG,2012,SCHOOL BOARD,5,Beaufort County Board of Education District 5,SC,"KINTON, GERI",Nonpartisan,1,,,,Election Day recap endorses Geri Kinton for Beaufort County Board of Education District 5.,0.95
SC,Beaufort Gazette,BEAUFORTG,2012,SCHOOL BOARD,6,Beaufort County Board of Education District 6,SC,"WALKER, BERT",Nonpartisan,1,,,,Election Day recap endorses Bert Walker for Beaufort County Board of Education District 6.,0.95
SC,Beaufort Gazette,BEAUFORTG,2012,SCHOOL BOARD,8,Beaufort County Board of Education District 8,SC,"CORDRAY, MARY",Nonpartisan,1,,,,Election Day recap endorses Mary Cordray for Beaufort County Board of Education District 8.,0.95
SC,Beaufort Gazette,BEAUFORTG,2012,SCHOOL BOARD,11,Beaufort County Board of Education District 11,SC,"EIKNER, REID",Nonpartisan,1,,,,Election Day recap endorses Reid Eikner for Beaufort County Board of Education District 11.,0.95
SC,Beaufort Gazette,BEAUFORTG,2014,SENATOR,,,SC,"GRAHAM, LINDSEY",Republican,1,,1,,"Editorial 'OUR VIEW - Re-elect Graham, Scott, Clyburn to Senate, House - Three incumbents would work hard for Beaufort County' endorses incumbent Sen. Lindsey Graham for re-election to U.S. Senate.",0.97
SC,Beaufort Gazette,BEAUFORTG,2014,SENATOR,,,SC,"SCOTT, TIM",Republican,1,,1,,"Editorial endorses Tim Scott for U.S. Senate. Scott, a Charleston Republican picked in December 2012 by Gov. Nikki Haley to complete former Sen. Jim DeMint's term, is a newcomer to the U.S. Senate running first time for the seat that he holds.",0.97
SC,Beaufort Gazette,BEAUFORTG,2014,H,6,,SC,"CLYBURN, JIM",Democrat,1,1,,,Editorial endorses incumbent U.S. Rep. Jim Clyburn for re-election. Beaufort County was removed from Henry's (former Rep. Henry Brown's) 2000-2010 district to the 6th in the latest redistricting. Clyburn House Assistant Democratic Leader.,0.96
SC,Beaufort Gazette,BEAUFORTG,2014,LT GOVERNOR,,,SC,"MCMASTER, HENRY",Republican,1,,,,"Editorial 'OUR VIEW - Slate of candidates would serve SC well - Our choices for four statewide offices are Henry McMaster, Alan Wilson, Molly Spearman and Ginny Deerin' endorses Henry McMaster (former state Attorney General, Columbia Republican) for S.C. Lieutenant Governor.",0.97
SC,Beaufort Gazette,BEAUFORTG,2014,ATTORNEY GENERAL,,,SC,"WILSON, ALAN",Republican,1,,1,,"Editorial endorses incumbent Attorney General Alan Wilson, son of U.S. Rep. Joe Wilson, for re-election. Credit for work on criminal domestic violence and cracking down on online child predators through the Internet Crimes Against Children Task Force.",0.97
SC,Beaufort Gazette,BEAUFORTG,2014,SUPERINTENDENT,,,SC,"SPEARMAN, MOLLY",Republican,1,,,,Editorial endorses Molly Spearman (Columbia Republican) for S.C. Superintendent of Education. Former teacher and assistant principal.,0.97
SC,Beaufort Gazette,BEAUFORTG,2014,SEC OF STATE,,,SC,"DEERIN, GINNY",Democrat,1,,,,"Editorial endorses Ginny Deerin (Democrat, professional fundraiser and founder of a nonprofit) for S.C. Secretary of State.",0.95
