state_newspaper,newspaper,newspaper_id,year,state_election,prop_type,prop_num,prop_desc,endorsed,notes_endorse,extraction_confidence
SC,Beaufort Gazette,BEAUFORTG,1962,SC,AMENDMENT,,STATE CONSTITUTIONAL AMENDMENT TO REDUCE RESIDENCE REQUIREMENTS FOR SUFFRAGE FROM TWO YEARS TO ONE YEAR,1,EDITORIAL 'THE AMENDMENTS' ENDORSES YES; MENTIONS BEAUFORT COUNTY'S RETIREE POPULATION AS NEW CITIZENS DESERVING THE VOTE SOONER,0.95
SC,Beaufort Gazette,BEAUFORTG,1964,SC,AMENDMENT,1,"STATE CONSTITUTIONAL AMENDMENT REGARDING THE OFFICE OF STATE SUPERINTENDENT OF EDUCATION (REMOVING OFFICE FROM POLITICS, GIVING APPOINTIVE POWER TO NEW STATE BOARD OF EDUCATION)",1,'MAY WE SUGGEST...' EDITORIAL (REPRINTED FROM SC EDUCATION NEWS) RECOMMENDS YES VOTE ON AMENDMENT NO. 1 ON NOV 3,0.9
SC,Beaufort Gazette,BEAUFORTG,1966,SC,AMENDMENT,,STATE CONSTITUTIONAL LIQUOR AMENDMENT (THREE PARTS) REGARDING SALE OF WHISKEY/LIQUOR IN SOUTH CAROLINA,1,EDITORIAL 'THAT LIQUOR AMENDMENT' ENDORSES YES ON ALL THREE PARTS; 'WE WILL VOTE YES FOR ALL THREE PARTS OF THE AMENDMENT',0.98
SC,Beaufort Gazette,BEAUFORTG,1968,SC,REFERENDUM,,BEAUFORT COUNTY ADVISORY REFERENDUM ON ESTABLISHMENT OF A FAMILY COURT,1,"EDITORIAL ENDORSES YES; FAMILY COURT WOULD HELP WITH TEENAGERS AND FAMILIES; ESTIMATED COST $30,000-$40,000",0.95
SC,Beaufort Gazette,BEAUFORTG,1968,SC,AMENDMENT,1,STATEWIDE CONSTITUTIONAL AMENDMENT NO. 1,1,EDITORIAL ENDORSES YES ON AMENDMENTS 1 AND 4; 'WE WILL VOTE IN FAVOR OF AMENDMENTS NO. 1 AND NO. 4',0.9
SC,Beaufort Gazette,BEAUFORTG,1968,SC,AMENDMENT,4,STATEWIDE CONSTITUTIONAL AMENDMENT NO. 4,1,EDITORIAL ENDORSES YES ON AMENDMENTS 1 AND 4,0.9
SC,Beaufort Gazette,BEAUFORTG,1972,SC,AMENDMENT,,STATEWIDE CONSTITUTIONAL AMENDMENTS ON PINK AND WHITE BALLOTS INCLUDING JUDICIAL REFORM AMENDMENTS AND MINI-BOTTLE LAW,1,EDITORIAL ENDORSES YES ON ALL AMENDMENTS ON PINK AND WHITE BALLOTS; 'IT IS OUR FEELING THAT THE AMENDMENTS ARE MUCH NEEDED AND WILL BE A STEP FORWARD',0.9
SC,Beaufort Gazette,BEAUFORTG,1974,SC,REFERENDUM,,COUNTY POLICE FORCE - DO YOU WANT A COUNTY POLICE DEPARTMENT TO RELIEVE THE SHERIFF'S OFFICE OF ITS LAW ENFORCEMENT DUTIES?,1,EDITORIAL ENDORSES YES; SAMPLE BALLOT ILLUSTRATION SHOWS X IN YES BOX; 'WE SUPPORT THIS PROPOSAL AND URGE OUR READERS TO VOTE YES',0.98
SC,Beaufort Gazette,BEAUFORTG,1976,SC,REFERENDUM,,COUNTY POLICE FORCE REFERENDUM - ESTABLISH A COUNTY POLICE DEPARTMENT TO RELIEVE THE SHERIFF'S OFFICE OF LAW ENFORCEMENT DUTIES,1,"EDITORIAL 'POLICE FORCE REFERENDUM NEEDS SUPPORT OF VOTERS' ENDORSES YES; 'WE URGE OUR READERS TO VOTE IN FAVOR OF THIS REFERENDUM'. NOTES THE EDITORIAL DECLINED TO ENDORSE IN HOUSE DISTRICT 124 RACE (KEYSERLING-D VS HENDRICKS-R, BOTH PRAISED) AND IN 6-WAY COUNTY COUNCIL AT LARGE RACE (INCUMBENTS GRANT AND MCBRIDE, PLUS NEWCOMERS HERTZEL, PAUL, STOCKELL, WILLIAMS), AND IN PORT ROYAL MAYOR RACE (ROBINSON VS HARTER)",0.95
SC,Beaufort Gazette,BEAUFORTG,1978,SC,AMENDMENT,I,PROPOSITION I - FIVE PERCENT RESERVE FUND (BANKER'S RELIEF BILL) - STATE CONSTITUTIONAL AMENDMENT TO REQUIRE SETTING ASIDE A SAVINGS ACCOUNT OF 5% OF STATE'S GENERAL FUND REVENUE,0,EDITORIAL 'RESERVE FUND IS ANOTHER WAY TO RIP OFF TAXPAYERS' OPPOSES; 'PROPOSITION I MUST BE DEFEATED. WE CANNOT AFFORD IT. VOTE NO.' CALLS IT A TAX INCREASE DISGUISED AS FISCAL RESPONSIBILITY,0.98
