state_newspaper,newspaper,newspaper_id,year,office,dist,dname,state_election,cand_name,party,endorsed,d_inc,r_inc,o_inc,notes_endorse,extraction_confidence
SC,Columbia Record,143150,1952,PRESIDENT,,,SC,"EISENHOWER, DWIGHT D.",Republican,1,,,,Headline: Vote Tomorrow for Gen. Dwight D. Eisenhower,0.95
SC,Columbia Record,143150,1960,PRESIDENT,,,SC,"NIXON, RICHARD",Republican,1,,,,Headline: Mr. Nixon The Man for President; Nixon/Lodge ticket,0.95
SC,Columbia Record,143150,1968,PRESIDENT,,,SC,"NIXON, RICHARD",Republican,1,,,,Headline: Nixon: A Guaranteed Change,0.95
SC,Columbia Record,143150,1970,GOVERNOR,,,SC,"WEST, JOHN CARL",Democrat,1,,,,Headline: Most Qualified For Governor; sitting Lt. Governor,0.95
SC,Columbia Record,143150,1970,SCHOOL BOARD,1,Richland County School District One,SC,"BAGNAL, THOMAS N.",Nonpartisan,1,,,,Headline: Bagnal's Bid For School Board; write-in candidate against incumbent M. Hayes Mizell,0.95
SC,Columbia Record,143150,1970,SCHOOL BOARD,1,Richland County School District One,SC,"DUNN, SHEPHARD N.",Nonpartisan,1,,,,Write-in; Record urges voters write in both Dunn and Bagnal,0.9
SC,Columbia Record,143150,1972,SENATOR,,,SC,"THURMOND, STROM",Republican,1,,1,,Headline: Re-elect Thurmond; incumbent US Senator opposed by Democrat John Bolt Culbertson,0.95
SC,Columbia Record,143150,1972,SCHOOL BOARD,1,Richland County School District One,SC,"KIMBROUGH, EDWARD",Republican,1,,,,Headline: Crucial School Board Election; Record argues vote for all five Republicans to guarantee anti-Mizell majority,0.85
SC,Columbia Record,143150,1972,SCHOOL BOARD,1,Richland County School District One,SC,"KUSHNER, MICHAEL",Republican,1,,,,One of 5 Republicans endorsed as anti-Mizell slate; NAME FIX KUNTNER→KUSHNER (R111) per 1972-11-02 OCR,0.92
SC,Columbia Record,143150,1972,SCHOOL BOARD,1,Richland County School District One,SC,"LINDER, WILLIAM",Republican,1,,,,One of 5 Republicans endorsed as anti-Mizell slate,0.85
SC,Columbia Record,143150,1972,SCHOOL BOARD,1,Richland County School District One,SC,"SMITH, EDWARD",Republican,1,,,,One of 5 Republicans endorsed as anti-Mizell slate,0.85
SC,Columbia Record,143150,1972,SCHOOL BOARD,1,Richland County School District One,SC,"UPTON, DONALD",Republican,1,,,,One of 5 Republicans endorsed as anti-Mizell slate,0.85
SC,Columbia Record,143150,1974,ATTORNEY GENERAL,,,SC,"MCLEOD, DANIEL R.",Democrat,1,1,,,Reelect McLeod; opponent Ken Powell (Republican),0.95
SC,Columbia Record,143150,1974,LT GOVERNOR,,,SC,"CAMPBELL, CARROLL",Republican,1,,,,Voters Can't Lose - dual endorsement with Harvey D; paper said 'we recommend both...Either is a happy choice',0.92
SC,Columbia Record,143150,1974,LT GOVERNOR,,,SC,"HARVEY, BRANTLEY",Democrat,1,,,,Voters Can't Lose - dual endorsement; paper said 'we recommend both...Either is a happy choice' (R89 restore from R18 incorrect reversal),0.92
SC,Columbia Record,143150,1974,CNTY COMM,,Richland County,SC,"MCKAY, JULIUS W. (JAY)",Republican,1,,,,Richland County Council; former president Richland and SC Bar Associations; name expansion (R107) per 1974-10-31 OCR,0.9
SC,Columbia Record,143150,1974,CNTY COMM,,Richland County,SC,"HEARN, JOYCE",Republican,1,,,,Richland County Council; NAME FIX CANDY→JOYCE (R107) per 1974-10-31 OCR; same person as 1976 STATE REP D 76 endorsement (cross-year R cand),0.92
SC,Columbia Record,143150,1976,STATE REP,78,Richland County,SC,"KNEECE, ROBERT E.",Democrat,1,1,,,Re-Elect Kneece - SC House from Richland County; NAME FIX from 1976-10-26 OCR (R6): Robert E. Kneece,0.9
SC,Columbia Record,143150,1976,STATE REP,,Lexington County,SC,"HAM, H. RAY",Republican,1,,1,,Return Lexington Trio (R84): name FIX RUSSELL JAMES E.→HAM H. RAY per 1976-10-26 OCR | V9 2026-06-22 inc flag filled from clipping incumbency language,0.88
SC,Columbia Record,143150,1976,STATE REP,,Lexington County,SC,"KLAPMAN, JARVIS R.",Republican,1,,1,,Return Lexington Trio (R84): first-name FIX MARSHALL→JARVIS R. per 1976-10-26 OCR | V9 2026-06-22 inc flag filled from clipping incumbency language,0.88
SC,Columbia Record,143150,1976,STATE REP,,Lexington County,SC,"RUSSELL, NORMA C.",Republican,1,,1,,Return Lexington Trio (R84): name FIX SHEALY NORMA C.→RUSSELL NORMA C. per 1976-10-26 OCR | V9 2026-06-22 inc flag filled from clipping incumbency language,0.88
SC,Columbia Record,143150,1976,CNTY COMM,,Richland County,SC,"MURRAY, JULIUS",Democrat,1,,,,A Good Council - Richland County Council; FIX (R76): MURRAY JAMES→JULIUS,0.88
