state_newspaper,newspaper,newspaper_id,year,office,dist,dname,state_election,cand_name,party,endorsed,d_inc,r_inc,o_inc,notes_endorse,extraction_confidence
SC,Columbia State,143151,1956,PRESIDENT,,,SC,"BYRD, HARRY F.",Democrat,1,,,,Endorses Independent Democrat (Byrd) electors over Stevenson and Eisenhower; goal to deny Stevenson SC's 8 electoral votes; FIX r_inc cleared (V4 R191) - Byrd was D Senator not R,0.85
SC,Columbia State,143151,1960,PRESIDENT,,,SC,"NIXON, RICHARD M.",Republican,1,,,,'PEACE AND PROGRESS' editorial,0.95
SC,Columbia State,143151,1970,GOVERNOR,,,SC,"WEST, JOHN C.",Democrat,1,,,,"'West's Record, Reputation Qualify Him For Governor'; opposed Albert W. Watson (R)",0.95
SC,Columbia State,143151,1970,H,2,,SC,"SPENCE, FLOYD",Republican,1,,,,'GOP Sentiment In District Should Elect Floyd Spence'; opposed Heyward E. McDonald (D); seat being vacated by Albert Watson; cross-year name std (V2 R71),0.95
SC,Columbia State,143151,1972,PRESIDENT,,,SC,"NIXON, RICHARD M.",Republican,1,,1,,'Nixon Is Only Choice Available This Year'; opposed McGovern (D); FIX d_inc→r_inc (V4 R191) - Nixon R incumbent,0.95
SC,Columbia State,143151,1972,SCHOOL BOARD,,Richland District One,SC,"KUSHNER, MICHAEL",Republican,1,,,,'School Board Tickets Offer Broad Choices'; industrial manager,0.95
SC,Columbia State,143151,1972,SCHOOL BOARD,,Richland District One,SC,"LINDER, WILLIAM H.",Republican,1,,,,Dr.; college professor,0.95
SC,Columbia State,143151,1972,SCHOOL BOARD,,Richland District One,SC,"SMITH, EDWARD E.",Republican,1,,,,Banker,0.95
SC,Columbia State,143151,1972,SCHOOL BOARD,,Richland District One,SC,"DUNN, DONALD N.",Republican,1,,,,Public relations consultant; suggested as fourth choice from GOP,0.9
SC,Columbia State,143151,1972,SCHOOL BOARD,,Richland District One,SC,"MIZELL, M. HAYES",Democrat,1,1,,,Incumbent; recommended as fifth/black candidate,0.9
SC,Columbia State,143151,1974,ATTORNEY GENERAL,,,SC,"MCLEOD, DANIEL R",Democrat,1,1,,,Incumbent AG; The State endorses continued support,0.95
SC,Columbia State,143151,1974,CNTY COMM,,Richland County Council,SC,"MCKAY, JULIUS W (JAY)",Republican,1,,,,Richland County Council,0.95
SC,Columbia State,143151,1974,CNTY COMM,,Richland County Council,SC,"HEARN, JOYCE",Republican,1,,,,Richland County Council,0.95
SC,Columbia State,143151,1974,H,1,,SC,"DAVIS, MENDEL",Democrat,1,1,,,First District US House,0.9
SC,Columbia State,143151,1974,H,2,,SC,"SPENCE, FLOYD",Republican,1,,1,,Second District US House,0.9
SC,Columbia State,143151,1974,H,3,,SC,"DERRICK, BUTLER",Democrat,1,,,,Third District US House,0.85
SC,Columbia State,143151,1974,H,4,,SC,"MANN, JAMES",Democrat,1,1,,,Fourth District US House,0.85
SC,Columbia State,143151,1974,H,6,,SC,"YOUNG, EDWARD",Republican,1,,1,,Sixth District US House,0.85
SC,Columbia State,143151,1976,SCHOOL BOARD,,Richland District One School Board,SC,"BARRETT, WILLIAM E",Nonpartisan,1,,,,Non-partisan petition candidate; lay member; The State urges thoughtful consideration; party FIX Indep→Nonpartisan (V5 R201) for school board,0.9
SC,Columbia State,143151,1976,SCHOOL BOARD,,Richland District One School Board,SC,"HAMMETT, BETSY PUTNAM",Nonpartisan,1,,,,Non-partisan petition candidate; lay member; The State urges thoughtful consideration; party FIX Indep→Nonpartisan (V5 R201) for school board,0.9
SC,Columbia State,143151,1976,CNTY COMM,,Richland County Council,SC,"BARBER, JAMES R. (JIM) III",Democrat,1,,,,Richland County Council; The State recommends; cross-year name std (V2 R71),0.9
SC,Columbia State,143151,1976,CNTY COMM,,Richland County Council,SC,"LEVENTIS, JAMES C",Democrat,1,,,,Richland County Council; The State recommends,0.9
SC,Columbia State,143151,1976,CNTY COMM,,Richland County Council,SC,"MURRAY, JULIUS",Democrat,1,,,,Richland County Council; The State recommends,0.9
SC,Columbia State,143151,1976,CNTY COMM,,Richland County Council,SC,"WAITES, CANDY Y.",Democrat,1,,,,Richland County Council; The State recommends; cross-year name std (V2 R71),0.9
SC,Columbia State,143151,1976,CNTY COMM,,Richland County Council,SC,"BARNES, RUDOLPH C (RUDY)",Republican,1,,,,Richland County Council; The State recommends,0.9
SC,Columbia State,143151,1976,CNTY COMM,,Richland County Council,SC,"GIESE, WARREN K.",Republican,1,,1,,Incumbent; Richland County Council; The State recommends; cross-year name std (V2 R71),0.9
SC,Columbia State,143151,1976,CNTY COMM,,Richland County Council,SC,"KENNER, RAY",Republican,1,,,,Richland County Council; The State recommends; NAME FIX KEENER→KENNER (V5 R201) per CR cross-paper,0.9
SC,Columbia State,143151,1976,CNTY COMM,,Richland County Council,SC,"LAZUR, JOHN W.",Republican,1,,,,Richland County Council; The State recommends; NAME FIX LAZAR→LAZUR (V5 R201) per CR cross-paper,0.9
SC,Columbia State,143151,1976,CNTY COMM,,Richland County Council,SC,"LEGRAND, CHARLOTTE B",Republican,1,,,,Richland County Council; The State recommends,0.9
SC,Columbia State,143151,1976,CNTY COMM,,Richland County Council,SC,"NILSON, HOWARD A",Republican,1,,,,Richland County Council; The State recommends,0.9
SC,Columbia State,143151,1976,CNTY COMM,,Richland County Council,SC,"OTIS, WILLIAM L (BILL)",Republican,1,,,,Richland County Council; The State recommends,0.9
SC,Columbia State,143151,1976,CNTY COMM,,Richland County Council,SC,"TOBIAS, JAMES C",Republican,1,,,,Richland County Council; The State recommends,0.9
SC,Columbia State,143151,1976,STATE REP,,,SC,"FERRER, RAY E",Republican,1,,,,Close House Races; State House contender [V1 R11 conf bump - 'Close House Races' editorial OCR-verified],0.82
SC,Columbia State,143151,1976,STATE REP,,,SC,"KINNEY, ROBERT",Democrat,1,1,,,Close House Races; House incumbent [V1 R11 conf bump - 'Close House Races' editorial OCR-verified],0.82
