state_newspaper,newspaper,newspaper_id,year,state_election,prop_type,prop_num,prop_desc,endorsed,notes_endorse,extraction_confidence
SC,Columbia State,143151,1958,SC,AMENDMENT,4,Permit members of judiciary to receive salary increases during their terms of office,1,'VOTE YES ON AMENDMENT FOUR',0.95
SC,Columbia State,143151,1966,SC,AMENDMENT,1,Statewide constitutional amendment limiting vote on county/local bonded indebtedness to voters of affected county,1,'One Step Forward' editorial,0.95
SC,Columbia State,143151,1966,SC,AMENDMENT,2,Require state senate candidates to be qualified electors of the district in which they run,1,'Matter Of Residency' editorial,0.95
SC,Columbia State,143151,1966,SC,AMENDMENT,1,Limit vote on county/local bonded indebtedness to voters of affected county,1,'Constitutional Changes' summary,0.95
SC,Columbia State,143151,1966,SC,AMENDMENT,2,Require state senators to be residents of districts from which elected,1,,0.95
SC,Columbia State,143151,1966,SC,AMENDMENT,3,Add details to Constitution including mental health provision,0,Opposed; 'oppose cluttering the Constitution',0.95
SC,Columbia State,143151,1966,SC,AMENDMENT,4,Eliminate references to staggered senate terms,1,,0.95
SC,Columbia State,143151,1966,SC,AMENDMENT,5,Remove three regulatory restrictions on liquor sales from Constitution,1,,0.95
SC,Columbia State,143151,1966,SC,AMENDMENT,6,Permit women to serve on juries,1,,0.95
SC,Columbia State,143151,1966,SC,AMENDMENT,27,Local amendment for City of Columbia (urban renewal/property condemnation),1,'reluctantly favor',0.9
SC,Columbia State,143151,1968,SC,AMENDMENT,,Establishment of regional councils of government to allow counties and municipalities to come together on shared problems,1,'Getting Together' editorial,0.95
SC,Columbia State,143151,1968,SC,AMENDMENT,1,Enable counties/municipalities to establish regional councils of government,1,'Essential Issues' editorial,0.95
SC,Columbia State,143151,1968,SC,AMENDMENT,2,Allow legislature to apply increased taxes/fees on liquor for alcohol and drug addict treatment,1,,0.95
SC,Columbia State,143151,1968,SC,AMENDMENT,3,Broaden grounds for divorce by adding continuous separation of at least three years,1,,0.95
SC,Columbia State,143151,1968,SC,AMENDMENT,4,Allow Constitution to be amended in future by article-by-article basis,1,,0.95
SC,Columbia State,143151,1970,SC,AMENDMENT,3,"Revise Article on Suffrage: reduce residency requirements, eliminate disqualifying crimes provisions, simplify voter qualifications",1,'Voters To Vote On Voting Requirements In November',0.95
SC,Columbia State,143151,1970,SC,AMENDMENT,3,Allow local governments to associate in regional councils of government (COGs),1,'Cooperation Is The Goal' - resubmitted from 1968 in slightly altered form (no direct taxing authority),0.95
SC,Columbia State,143151,1972,SC,BOND,,Richland County $7 million bond issue for new judicial center and courthouse,1,'New Judicial Center Deserves Richland Vote' - yellow ballot,0.95
SC,Columbia State,143151,1972,SC,AMENDMENT,,Raise debt ceiling for South Carolina State Ports Authority,1,'Raising The Ceiling',0.85
SC,Columbia State,143151,1972,SC,AMENDMENT,1,Executive Department revision - reorganize state executive branch,1,'Government Hamstrung By Aged Constitution',0.85
SC,Columbia State,143151,1972,SC,AMENDMENT,2,Constitutional revision (Legislative Department),1,,0.8
SC,Columbia State,143151,1972,SC,AMENDMENT,3,Local Government article,1,,0.8
