state_newspaper,newspaper,newspaper_id,year,state_election,prop_type,prop_num,prop_desc,endorsed,notes_endorse,extraction_confidence
SC,Myrtle Beach Sun News,143370,1974,SC,BOND,,Horry County School Bond Referendum,1,Editorial 'County Should Support School Bond Referendum' urging support for school bond.,0.90
SC,Myrtle Beach Sun News,143370,1974,SC,BOND,1,County government bonded indebtedness limitation increase from 8 to 25 percent,0,Vote 'Opposed to the Amendment' on No. 1; reasons less obvious and not well defined.,0.95
SC,Myrtle Beach Sun News,143370,1974,SC,BOND,2,School District of Horry County bonded indebtedness limitation increase from 8 to 25 percent,1,'It should be approved overwhelmingly.' Vote 'In Favor of the Amendment' on No. 2.,0.95
SC,Myrtle Beach Sun News,143370,1980,SC,CONSTITUTIONAL AMENDMENT,1,Allow governor to seek a second consecutive term,1,Editorial 'Both S.C. amendments deserve consideration' - 'we suggest voters give serious consideration to voting for both amendments.',0.85
SC,Myrtle Beach Sun News,143370,1980,SC,CONSTITUTIONAL AMENDMENT,2,Allow General Assembly to set ceiling on personal property exempted from court-ordered sale in bankruptcy,1,Editorial endorses both amendments - 'just makes good sense.',0.90
SC,Myrtle Beach Sun News,143370,1982,SC,CONSTITUTIONAL AMENDMENT,1,Allow Commissioner of Agriculture to be named in Constitution as elective officer,0,Editorial 'State amendments should be defeated' - 'we say NO to Amendment No. 1.',0.90
SC,Myrtle Beach Sun News,143370,1982,SC,CONSTITUTIONAL AMENDMENT,2,Permit municipalities to exempt manufacturing establishments from certain taxes,0,"Editorial - 'we say NO to Amendment No. 2.' Hidden dangers, would lead to increased taxation.",0.90
SC,Myrtle Beach Sun News,143370,1982,SC,ORDINANCE,,Horry County Council ordinance to extend council terms from two years to four years (with seven of 12 members starting four-year terms),0,"Editorial 'No to longer terms' - 'this year's referendum, however, reflects more the council's weakness and should be defeated.'",0.95
SC,Myrtle Beach Sun News,143370,1984,SC,BOND,,Horry County Schools bond referendum,1,School bond referendum endorsed - school taxing authority should remain.,0.70
SC,Myrtle Beach Sun News,143370,1984,SC,CONSTITUTIONAL AMENDMENT,1,"Authorize state government, through General Assembly, to issue Industrial Revenue Bonds",1,Editorial 'Issues' language need not confuse' - paper supports issuing industrial revenue bonds.,0.70
SC,Myrtle Beach Sun News,143370,1984,SC,CONSTITUTIONAL AMENDMENT,1-6,"Approval of all constitutional amendments numbers 1 through 6, including all five parts of Amendment No. 4",1,"'We recommend the approval of all constitutional amendments, numbers 1 through 6, including all five parts of Amendment No. 4.'",0.95
SC,Myrtle Beach Sun News,143370,1984,SC,CONSTITUTIONAL AMENDMENT,2,Allow water/sewer/gas systems to extend across county lines,1,Endorsed - common-sense provision needed.,0.65
SC,Myrtle Beach Sun News,143370,1984,SC,CONSTITUTIONAL AMENDMENT,3,Constitutional amendment changing General Assembly meeting schedule,1,Simple enough; refreshes current cluttered Constitution.,0.60
SC,Myrtle Beach Sun News,143370,1984,SC,CONSTITUTIONAL AMENDMENT,4,Spending limit on state government - limits state spending growth to a percentage,0,Opposed - such limits cause problems and reduce flexibility; Legislature would face difficulties.,0.70
SC,Myrtle Beach Sun News,143370,1984,SC,CONSTITUTIONAL AMENDMENT,5,Amendment regarding court system / mid-career judges,0,Opposed - 'Constitution should be left as it stands.',0.55
SC,Myrtle Beach Sun News,143370,1984,SC,REFERENDUM,,Horry County Council four-year staggered terms,1,Editorial 'Council's future is what's involved' - 'we support 1) the binding referendum on four-year staggered terms for Horry County Council.',0.90
SC,Myrtle Beach Sun News,143370,1984,SC,REFERENDUM,,Allow bars in Horry County to open Sundays from 1 p.m. to midnight,1,Editorial 'Sunday barrooms not end of world' - 'we think it should be.' Endorses approval; bars open in Horry County on Sundays.,0.90
SC,Myrtle Beach Sun News,143370,1984,SC,REFERENDUM,,Four-year staggered terms for Horry County Council,1,Endorsed.,0.95
SC,Myrtle Beach Sun News,143370,1984,SC,REFERENDUM,,Taxing authority for schools to be given to Horry County Council,1,Endorsed.,0.95
SC,Myrtle Beach Sun News,143370,1984,SC,REFERENDUM,,Limited Sunday sales of mini-bottles in Horry County,1,Endorsed.,0.95
SC,Myrtle Beach Sun News,143370,1986,SC,BOND,,$30 million Horry County school bond referendum,1,Mrs. Bailey supports the $30 million bond referendum; paper endorsed Bailey who supports it. Implicit endorsement.,0.70
SC,Myrtle Beach Sun News,143370,1986,SC,REFERENDUM,,Four-year staggered terms for Horry County Council,1,"Editorial 'For 4-year terms, cautious approval' - 'we currently support an affirmative vote on the four-year term referendum next week.'",0.90
SC,Myrtle Beach Sun News,143370,1988,SC,CONSTITUTIONAL AMENDMENT,1-8,All 8 state constitutional amendments (11 questions including parts of Amendments 1 and 2),1,'We endorse the passage of all eight. We suggest voting yes on all 11 questions (Amendments 1 and 2 have multiple parts).',0.95
SC,Myrtle Beach Sun News,143370,1988,SC,REFERENDUM,,Single-member districts for Horry County Board of Education,1,Endorsed - prefer instead of mixed system of at-large seats and single-member districts.,0.95
SC,Myrtle Beach Sun News,143370,1990,SC,CONSTITUTIONAL AMENDMENT,,Constitutional amendment to limit the work of the statewide grand jury,0,Opposed - against the work of the statewide grand jury.,0.70
SC,Myrtle Beach Sun News,143370,1990,SC,REFERENDUM,,Council-manager form of government,0,Opposed.,0.70
