state_newspaper,newspaper,newspaper_id,year,state_election,prop_type,prop_num,prop_desc,endorsed,notes_endorse,extraction_confidence
TN,Chattanooga News-Free Press,143901,1946,TN,BALLOT MEASURE,CITY-MANAGER-1946,CHATTANOOGA CITY MANAGER FORM OF GOVERNMENT (COMMISSION-MANAGER PLAN),1,'VOTE FOR CITY MANAGER'; PAPER ARGUES OLD GOVERNMENT 'HAS LASTED FOR MORE THAN A GENERATION' BUT 'FAILED'; NEW SYSTEM SUPPORTED BY GOOD GOVERNMENT LEAGUE.,0.95
TN,Chattanooga News-Free Press,143901,1958,TN,AMENDMENT,TN-HIGHWAY-TAX-1958,TENNESSEE HIGHWAY TAX AMENDMENT (REDIVERTING GASOLINE/CAR LICENSE TAXES TO HIGHWAY USES),0,'VOTERS WANTING TO AVOID A MAJOR TAX INCREASE SHOULD VOTE AGAINST'; PAPER ARGUES IT WOULD REQUIRE 10-MILLION-DOLLAR TAX INCREASE.,0.95
TN,Chattanooga News-Free Press,143901,1960,TN,BOND,HAM-SCHOOL-BOND-1960,HAMILTON COUNTY SCHOOL BUILDING BONDS,1,'VOTE FOR THE SCHOOL BOND ISSUE'; PAPER ARGUES BONDS WILL PROVIDE SCHOOLS IN ZONES THAT MINIMIZE INTEGRATION.,0.92
TN,Chattanooga News-Free Press,143901,1960,TN,AMENDMENT,TN-TRUSTEE-1960,CONSTITUTIONAL AMENDMENT TO PERMIT 4-YEAR TERMS FOR COUNTY TRUSTEES,1,'NO REASON THE PROPOSED AMENDMENT SHOULD NOT BE APPROVED ALMOST UNANIMOUSLY'.,0.92
TN,Chattanooga News-Free Press,143901,1962,TN,REFERENDUM,TN-CONST-CONV-1962,"CONSTITUTIONAL CONVENTION REFERENDUM (LEGISLATIVE TERMS, SESSIONS, PAY)",0,'AN AGAINST VOTE ON THE CONSTITUTIONAL CONVENTION REFERENDUM IS IN THE BEST INTERESTS OF A MAJORITY OF TENNESSEANS'.,0.95
TN,Chattanooga News-Free Press,143901,1962,TN,BOND,HAM-SCHOOL-BOND-1962,HAMILTON COUNTY 8-MILLION-DOLLAR SCHOOL BOND ISSUE (2-YEAR),1,'WE BELIEVE CURRENT NEEDS IMPOSE LOCAL RESPONSIBILITY AND JUSTIFY A VOTE FOR THE SCHOOL BOND ISSUE'.,0.95
TN,Chattanooga News-Free Press,143901,1962,TN,BOND,HAM-NURSING-HOME-1962,HAMILTON COUNTY 1.5-MILLION-DOLLAR NURSING HOME BOND,1,"'A SOUND, HUMANITARIAN, NECESSARY PROJECT'; PAPER URGES VOTE FOR.",0.95
TN,Chattanooga News-Free Press,143901,1968,TN,AMENDMENT,1,Constitutional amendment,0,Vote AGAINST all 5 changes,0.9
TN,Chattanooga News-Free Press,143901,1968,TN,AMENDMENT,2,Constitutional amendment,0,Vote AGAINST all 5 changes,0.9
TN,Chattanooga News-Free Press,143901,1968,TN,AMENDMENT,3,Constitutional amendment,0,Vote AGAINST all 5 changes,0.9
TN,Chattanooga News-Free Press,143901,1968,TN,AMENDMENT,4,Constitutional amendment,0,Vote AGAINST all 5 changes,0.9
TN,Chattanooga News-Free Press,143901,1968,TN,AMENDMENT,5,Constitutional amendment,0,Vote AGAINST all 5 changes,0.9
TN,Chattanooga News-Free Press,143901,1970,TN,AMENDMENT,1,Constitutional amendment - Sheriff change,0,Vote Against Sheriff Change,0.9
TN,Chattanooga News-Free Press,143901,1972,TN,REFERENDUM,1,City of Chattanooga - Shall this municipality adopt home rule,1,Municipal Referendum - Yes,0.9
TN,Chattanooga News-Free Press,143901,1972,TN,AMENDMENT,1,City of East Ridge proposal,1,For the Amendment,0.8
TN,Chattanooga News-Free Press,143901,1972,TN,AMENDMENT,2,City of East Ridge proposal,1,For the Amendment,0.8
TN,Chattanooga News-Free Press,143901,1972,TN,AMENDMENT,3,City of East Ridge proposal,1,For the Amendment,0.8
TN,Chattanooga News-Free Press,143901,1972,TN,AMENDMENT,4,City of East Ridge proposal,1,For the Amendment,0.8
TN,Chattanooga News-Free Press,143901,1972,TN,AMENDMENT,1,City of Red Bank amendment,1,For the Amendment,0.8
TN,Chattanooga News-Free Press,143901,1972,TN,AMENDMENT,2,City of Red Bank amendment,1,For the Amendment,0.8
TN,Chattanooga News-Free Press,143901,1974,TN,REFERENDUM,1,Chattanooga Charter - Police salaries,1,For the Amendment - Proposal 1,0.85
TN,Chattanooga News-Free Press,143901,1974,TN,REFERENDUM,2,Chattanooga Charter - Pension/salary,0,Against the Amendment - Proposal 2,0.85
