state_newspaper,newspaper,newspaper_id,year,office,dist,dname,state_election,cand_name,party,endorsed,d_inc,r_inc,o_inc,notes_endorse,extraction_confidence
TN,Chattanooga Times,143902,1922,GOVERNOR,,,TN,"PEAY, AUSTIN",Democrat,1,,,,"STRONG ENDORSEMENT ACROSS MULTIPLE EDITORIALS. PRAISED AS COURAGEOUS, FEARLESS, SELF-RELIANT DEMOCRAT WHO REFUSED TO DEAL WITH CRUMP MACHINE.",1.0
TN,Chattanooga Times,143902,1922,GOVERNOR,,,TN,"TAYLOR, ALF",Republican,0,,1,,INCUMBENT REPUBLICAN GOVERNOR OPPOSED. CRITICIZED AS UNABLE TO ACCOMPLISH ANYTHING WITH DEMOCRATIC LEGISLATURE.,0.9
TN,Chattanooga Times,143902,1922,SENATOR,,,TN,"MCKELLAR, KENNETH D.",Democrat,1,1,,,INCUMBENT DEMOCRATIC SENATOR ENDORSED. EDITORIAL SAYS DEMOCRATS EXPECT TENNESSEANS WILL REDEEM STATE FROM ODIUM OF 1920.,0.9
TN,Chattanooga Times,143902,1922,SENATOR,,,TN,"SANDERS, NEWELL",Republican,0,,,,OPPOSED. CALLED ENDOWED CANDIDATE OF THE STANDPAT OLD GUARD AND BITTERLY HOSTILE FACTION OF THE REPUBLICAN PARTY.,1.0
TN,Chattanooga Times,143902,1922,H,3,,TN,"MCREYNOLDS, SAM D.",Democrat,1,,,,ENDORSED FOR CONGRESS IN THIRD DISTRICT. EDITORIAL SAYS IT IS A MORAL AND PATRIOTIC OBLIGATION TO SUPPORT HIM.,1.0
TN,Chattanooga Times,143902,1922,STATE SENATOR,,,TN,"BRYAN, EUGENE",Democrat,1,,,,ENDORSED AS PART OF DEMOCRATIC LEGISLATIVE TICKET FOR HAMILTON COUNTY. NAMED FOR STATE SENATE.,1.0
TN,Chattanooga Times,143902,1922,STATE REP,,,TN,"BASS, MAJ.",Democrat,1,,,,"ENDORSED AS PART OF DEMOCRATIC LEGISLATIVE TICKET FOR HAMILTON COUNTY. MAJ. APPEARS TO BE A TITLE (MAJOR), NOT FIRST NAME.",0.75
TN,Chattanooga Times,143902,1922,STATE REP,,,TN,"COLEMAN, D. M.",Democrat,1,,,,ENDORSED AS PART OF DEMOCRATIC LEGISLATIVE TICKET FOR HAMILTON COUNTY. DESCRIBED AS A COLORED GENTLEMAN AND EXPERIENCED SCHOOL MAN.,1.0
TN,Chattanooga Times,143902,1922,STATE REP,,,TN,"GRUBB, FRENCH",Democrat,1,,,,ENDORSED AS PART OF DEMOCRATIC LEGISLATIVE TICKET FOR HAMILTON COUNTY. COMMENDS ITSELF WELL-NIGH WITHOUT FAULT TO THE PUBLIC.,1.0
TN,Chattanooga Times,143902,1924,PRESIDENT,,,TN,"DAVIS, JOHN W.",Democrat,1,,,,ENDORSED ACROSS MULTIPLE EDITORIALS. PAPER ARGUES LABOR TREND IS TOWARD DAVIS AND THAT LA FOLLETTE CANNOT WIN.,1.0
TN,Chattanooga Times,143902,1924,PRESIDENT,,,TN,"COOLIDGE, CALVIN",Republican,0,,1,,OPPOSED. EDITORIAL SAYS COOLIDGE MEN ARE IN PANIC AND REPUBLICAN MANAGERS ARE TRYING TO FRIGHTEN VOTERS.,1.0
TN,Chattanooga Times,143902,1924,H,3,,TN,"MCREYNOLDS, SAM D.",Democrat,1,1,,,INCUMBENT CONGRESSMAN ENDORSED FOR RE-ELECTION. EDITORIAL SAYS HE SHOULD BE RETURNED BY AN EXEMPLARY MAJORITY.,1.0
TN,Chattanooga Times,143902,1924,STATE SENATOR,,,TN,"HILL, L. D.",Democrat,1,1,,,"INCUMBENT STATE SENATOR FROM SPARTA ENDORSED. DISTRICT COVERS RHEA, MEIGS, SEQUATCHIE AND BLEDSOE COUNTIES. PRAISED FOR SQUARE-DEALING AND HONESTY.",1.0
TN,Chattanooga Times,143902,1924,STATE REP,,,TN,"HOLLINGS, JOHN",Democrat,1,,,,ENDORSED AS PART OF DEMOCRATIC LEGISLATIVE TICKET FOR HAMILTON COUNTY.,1.0
TN,Chattanooga Times,143902,1924,STATE REP,,,TN,"CHAMLEE, GEORGE W., JR.",Democrat,1,,,,ENDORSED AS PART OF DEMOCRATIC LEGISLATIVE TICKET FOR HAMILTON COUNTY.,1.0
TN,Chattanooga Times,143902,1924,STATE REP,,,TN,"COLEMAN, D. M.",Democrat,1,,,,ENDORSED AS PART OF DEMOCRATIC LEGISLATIVE TICKET FOR HAMILTON COUNTY. ALSO ENDORSED IN 1922.,1.0
TN,Chattanooga Times,143902,1928,PRESIDENT,,,TN,"SMITH, ALFRED E.",Democrat,1,,,,ENDORSED AS HEAD OF DEMOCRATIC TICKET. EDITORIAL SAYS TICKET DESERVES SUPPORT OF ALL VOTERS.,1.0
TN,Chattanooga Times,143902,1928,PRESIDENT,,,TN,"HOOVER, HERBERT",Republican,0,,,,OPPOSED. MULTIPLE EDITORIALS CRITICIZE HOOVER AND REPUBLICAN CAMPAIGN TACTICS.,0.9
TN,Chattanooga Times,143902,1928,VICE PRESIDENT,,,TN,"ROBINSON, JOSEPH T.",Democrat,1,,,,ENDORSED AS PART OF DEMOCRATIC TICKET. SENATOR FROM ARKANSAS.,1.0
TN,Chattanooga Times,143902,1928,SENATOR,,,TN,"MCKELLAR, KENNETH D.",Democrat,1,1,,,INCUMBENT SENATOR ENDORSED AS PART OF DEMOCRATIC TICKET.,1.0
TN,Chattanooga Times,143902,1928,GOVERNOR,,,TN,"HORTON, HENRY H.",Democrat,1,,,,ENDORSED AS PART OF DEMOCRATIC STATE TICKET.,1.0
TN,Chattanooga Times,143902,1928,H,3,,TN,"MCREYNOLDS, SAM D.",Democrat,1,1,,,"INCUMBENT CONGRESSMAN ENDORSED AS PART OF DEMOCRATIC TICKET. THIRD CONSECUTIVE ENDORSEMENT (1922, 1924, 1928).",1.0
TN,Chattanooga Times,143902,1928,RAILROAD COMMISSION,,,TN,"BERRY, HARRY S.",Democrat,1,,,,ENDORSED AS PART OF DEMOCRATIC STATE TICKET. REFERRED TO AS GEN. BERRY.,0.85
