state_newspaper,newspaper,newspaper_id,year,office,dist,dname,state_election,cand_name,party,endorsed,d_inc,r_inc,o_inc,notes_endorse,extraction_confidence
TN,NASHVILLE BANNER,144450,1916,GOVERNOR,,,TN,"RYE, THOMAS C.",Democrat,1,1,,,BANNER URGES RE-ELECTION OF GOV. RYE FOR PROHIBITION ENFORCEMENT AND FAITHFUL DISCHARGE OF DUTIES,0.95
TN,NASHVILLE BANNER,144450,1916,RAILROAD COMMISSION,,,TN,"ENLOE, B. A.",Democrat,1,1,,,BANNER URGES FULL DEMOCRATIC SUPPORT FOR ENLOE; LEADING FACTOR ON RAILROAD COMMISSION,0.95
TN,NASHVILLE BANNER,144450,1918,GOVERNOR,,,TN,"ROBERTS, ALBERT H.",Democrat,1,,,,BANNER URGES STRAIGHT DEMOCRATIC TICKET; ROBERTS NAMED AS DEMOCRATIC NOMINEE FOR GOVERNOR,0.85
TN,NASHVILLE BANNER,144450,1920,H,4,TN-4,TN,"HULL, CORDELL",Democrat,1,1,,,BANNER URGES LARGE VOTE FOR HULL; AUTHOR OF INCOME TAX LAW; SENIOR DEMOCRAT ON WAYS AND MEANS,0.95
TN,NASHVILLE BANNER,144450,1920,H,6,TN-6,TN,"BYRNS, JOSEPH W.",Democrat,1,1,,,BANNER URGES SEVENTH TERM FOR BYRNS; RANKING DEMOCRAT ON APPROPRIATIONS COMMITTEE,0.95
TN,NASHVILLE BANNER,144450,1920,STATE REP,1,DAVIDSON-1,TN,"GILBERT, LEON",Democrat,1,,,,DAVIDSON COUNTY LEGISLATIVE TICKET ENDORSEMENT,0.75
TN,NASHVILLE BANNER,144450,1920,STATE REP,2,DAVIDSON-2,TN,"JAMISON, H. D.",Democrat,1,,,,DAVIDSON COUNTY LEGISLATIVE TICKET ENDORSEMENT,0.75
TN,NASHVILLE BANNER,144450,1920,STATE REP,3,DAVIDSON-3,TN,"SMITH, THOMAS J.",Democrat,1,1,,,DAVIDSON COUNTY LEGISLATIVE TICKET ENDORSEMENT; INCUMBENT,0.75
TN,NASHVILLE BANNER,144450,1920,STATE REP,4,DAVIDSON-4,TN,"WALSH, ED J.",Democrat,1,,,,DAVIDSON COUNTY LEGISLATIVE TICKET ENDORSEMENT,0.75
TN,NASHVILLE BANNER,144450,1920,STATE REP,6,DAVIDSON-6,TN,"HILL, J. D.",Democrat,1,,,,DAVIDSON COUNTY LEGISLATIVE TICKET ENDORSEMENT,0.75
TN,NASHVILLE BANNER,144450,1920,STATE REP,15,FLOTERIAL 15,TN,"SIMPSON, CHARLES H.",Democrat,1,,,,DAVIDSON COUNTY FLOTERIAL LEGISLATIVE ENDORSEMENT,0.75
TN,NASHVILLE BANNER,144450,1920,STATE SENATOR,16,16,TN,"MCGUGIN, DAN E.",Democrat,1,,,,STATE SENATE LEGISLATIVE TICKET ENDORSEMENT,0.75
TN,NASHVILLE BANNER,144450,1920,STATE SENATOR,17,17,TN,"DORRIS, FINLEY M.",Democrat,1,1,,,STATE SENATE LEGISLATIVE TICKET ENDORSEMENT; INCUMBENT,0.75
TN,NASHVILLE BANNER,144450,1920,GOVERNOR,,,TN,"ROBERTS, ALBERT H.",Democrat,1,1,,,BANNER URGES SECOND TERM FOR GOV. ROBERTS; SOUND FINANCIAL POLICIES AND LAW AND ORDER,0.95
TN,NASHVILLE BANNER,144450,1922,GOVERNOR,,,TN,"TAYLOR, ALFRED A.",Republican,1,,1,,BANNER (NORMALLY DEMOCRATIC) ENDORSES GOV. TAYLOR FOR RE-ELECTION OVER DEMOCRATIC NOMINEE PEAY; PRAISES TAYLOR AS SANE AND SAFE,0.92
TN,NASHVILLE BANNER,144450,1922,GOVERNOR,,,TN,"PEAY, AUSTIN",Democrat,0,,,,"BANNER REPEATS OPPOSITION TO PEAY ON ELECTION EVE; CHARGES ON LIQUOR INTERESTS, FERTILIZER TRUST, BETRAYAL OF PARTY",0.92
TN,NASHVILLE BANNER,144450,1922,H,4,TN-4,TN,"HULL, CORDELL",Democrat,1,,,,BANNER URGES VOTERS TO RIGHT THE WRONG OF 1920 AND RESTORE HULL TO CONGRESS; AUTHOR OF FEDERAL INCOME TAX LAW; NOW DNC CHAIRMAN,0.95
TN,NASHVILLE BANNER,144450,1922,SENATOR,,,TN,"MCKELLAR, KENNETH D.",Democrat,1,1,,,BANNER URGED MCKELLAR FOR US SENATE; CITED IN RECAP EDITORIAL THE REASON WHY,0.85
TN,NASHVILLE BANNER,144450,1924,SENATOR,,,TN,"LINDSAY, H. B.",Republican,1,,,,BANNER URGES JUDGE LINDSAY FOR US SENATE; PRAISES CHARACTER AND INTEGRITY OVER TYSON,0.85
TN,NASHVILLE BANNER,144450,1924,SENATOR,,,TN,"TYSON, LAWRENCE D.",Democrat,0,,,,BANNER OPPOSES TYSON; CITED CAMPAIGN EXPENDITURES AND BANK SCANDAL CONCERNS,0.85
TN,NASHVILLE BANNER,144450,1924,GOVERNOR,,,TN,"PECK, T. F.",Republican,1,,,,BANNER ENDORSES PECK FOR GOVERNOR; CONTRASTS HIM FAVORABLY WITH PEAY,0.78
TN,NASHVILLE BANNER,144450,1924,GOVERNOR,,,TN,"PEAY, AUSTIN",Democrat,0,1,,,BANNER OPPOSES PEAY RE-ELECTION; CONTRAST PICTURED EDITORIAL CRITICIZES HIS RECORD,0.78
