state_newspaper,newspaper,newspaper_id,year,office,dist,dname,state_election,cand_name,party,endorsed,d_inc,r_inc,o_inc,notes_endorse,extraction_confidence
TN,NASHVILLE TENNESSEAN,144470,1918,SENATOR,,,TN,"SHIELDS, JOHN K.",Democrat,1,1,,,TENNESSEAN ENDORSES DEMOCRATIC TICKET; JOHN K SHIELDS FOR US SENATOR; KNOX COUNTY,0.95
TN,NASHVILLE TENNESSEAN,144470,1918,GOVERNOR,,,TN,"ROBERTS, ALBERT H.",Democrat,1,,,,TENNESSEAN ENDORSES DEMOCRATIC TICKET; ALBERT H ROBERTS FOR GOVERNOR; OVERTON COUNTY,0.95
TN,NASHVILLE TENNESSEAN,144470,1918,RAILROAD COMMISSION,EAST TENNESSEE,,TN,"HANNAH, HARVEY H.",Democrat,1,,,,TENNESSEAN ENDORSES DEMOCRATIC TICKET; HARVEY H HANNAH FOR RAILROAD COMMISSIONER EAST TENNESSEE; ROANE COUNTY,0.95
TN,NASHVILLE TENNESSEAN,144470,1918,H,6,,TN,"BYRNS, JOSEPH W.",Democrat,1,1,,,TENNESSEAN ENDORSES DEMOCRATIC TICKET; JOSEPH W BYRNS FOR MEMBER OF CONGRESS SIXTH DISTRICT; DAVIDSON COUNTY,0.95
TN,NASHVILLE TENNESSEAN,144470,1918,STATE SENATOR,16,DAVIDSON,TN,"DORRIS, FINLEY M.",Democrat,1,,,,TENNESSEAN ENDORSES DEMOCRATIC TICKET; FINLEY M DORRIS FOR STATE SENATOR 16TH DISTRICT DAVIDSON COUNTY,0.95
TN,NASHVILLE TENNESSEAN,144470,1918,STATE SENATOR,17,,TN,"HILL, ALBERT E.",Democrat,1,,,,TENNESSEAN ENDORSES DEMOCRATIC TICKET; ALBERT E HILL FOR STATE SENATOR 17TH DISTRICT,0.95
TN,NASHVILLE TENNESSEAN,144470,1918,STATE REP,,DAVIDSON,TN,"BRATTON, R. W.",Democrat,1,,,,TENNESSEAN ENDORSES DEMOCRATIC TICKET; R W BRATTON FOR REPRESENTATIVE DAVIDSON COUNTY,0.95
TN,NASHVILLE TENNESSEAN,144470,1918,STATE REP,,DAVIDSON,TN,"COLES, J. B.",Democrat,1,,,,TENNESSEAN ENDORSES DEMOCRATIC TICKET; J B COLES FOR REPRESENTATIVE DAVIDSON COUNTY,0.95
TN,NASHVILLE TENNESSEAN,144470,1918,STATE REP,,DAVIDSON,TN,"LONGHURST, C. W.",Democrat,1,,,,TENNESSEAN ENDORSES DEMOCRATIC TICKET; C W LONGHURST FOR REPRESENTATIVE DAVIDSON COUNTY,0.95
TN,NASHVILLE TENNESSEAN,144470,1918,STATE REP,,DAVIDSON,TN,"MILLS, R. D.",Democrat,1,,,,TENNESSEAN ENDORSES DEMOCRATIC TICKET; R D MILLS FOR REPRESENTATIVE DAVIDSON COUNTY,0.95
TN,NASHVILLE TENNESSEAN,144470,1918,STATE REP,,DAVIDSON,TN,"BOYD, JOS. S.",Democrat,1,,,,TENNESSEAN ENDORSES DEMOCRATIC TICKET; JOS S BOYD FOR REPRESENTATIVE DAVIDSON COUNTY,0.95
TN,NASHVILLE TENNESSEAN,144470,1918,STATE REP,,DAVIDSON,TN,"SMITH, THOMAS J.",Democrat,1,,,,TENNESSEAN ENDORSES DEMOCRATIC TICKET; THOS J SMITH FOR REPRESENTATIVE DAVIDSON COUNTY,0.95
