state_newspaper,newspaper,newspaper_id,year,state_election,prop_type,prop_num,prop_desc,endorsed,notes_endorse,extraction_confidence
TX,Abilene Daily Reporter,144599,1928,TX,CONSTITUTIONAL AMENDMENT,,Amendment authorizing legislature to include in pension rolls Confederate veterans who came to Texas after 1910 and widows of veterans married after 1881,1,"Editorial 'Don't Overlook Amendments' — 'They are good ones, and should be approved'",0.85
TX,Abilene Daily Reporter,144599,1928,TX,CONSTITUTIONAL AMENDMENT,,Amendment to exempt from taxation dwelling houses owned by churches and other religious societies used exclusively as residences of ministers,1,"Editorial 'Don't Overlook Amendments' — 'They are good ones, and should be approved'",0.85
TX,Abilene Daily Reporter,144599,1928,TX,CONSTITUTIONAL AMENDMENT,,"Amendment permitting legislature to fix terms of school officials, including trustees and boards of regents, at any period not exceeding six years",1,"Editorial 'Don't Overlook Amendments' — 'They are good ones, and should be approved'",0.85
TX,Abilene Daily Reporter,144599,1928,TX,CONSTITUTIONAL AMENDMENT,,"Amendment providing for naming of a state board of education consisting of not exceeding nine members, to take place of present ex-officio board",1,"Editorial 'Don't Overlook Amendments' — 'They are good ones, and should be approved'",0.85
TX,Abilene Daily Reporter,144599,1928,TX,CONSTITUTIONAL AMENDMENT,,Amendment exempting parsonages from taxation,1,Editorial 'Vote On Amendments' — 'We believe each of them possesses merit and should be supported',0.85
TX,Abilene Daily Reporter,144599,1928,TX,CONSTITUTIONAL AMENDMENT,,Amendment giving legislature power to alter laws relating to Confederate pensions to admit to benefits widows of veterans married subsequent to 1881 and veterans who entered state subsequent to 1910,1,Editorial 'Vote On Amendments' — 'We believe each of them possesses merit and should be supported',0.85
TX,Abilene Daily Reporter,144599,1928,TX,CONSTITUTIONAL AMENDMENT,,"Amendment permitting legislature to prescribe terms of school trustees longer than two years, up to as long as six years",1,Editorial 'Vote On Amendments' — 'We believe each of them possesses merit and should be supported',0.85
TX,Abilene Daily Reporter,144599,1928,TX,CONSTITUTIONAL AMENDMENT,,Amendment authorizing legislature to provide by law for a state board of education to take place of present ex-officio board system,1,Editorial 'Vote On Amendments' — has the endorsement of Governor Moody and other leaders,0.90
TX,Abilene Daily Reporter,144599,1930,TX,BOND ISSUE,,Taylor County road bond election (county roads/highway bond),1,Editorial 'Taylor County Roads' supports road bond program; text difficult to fully read but appears favorable,0.50
TX,Abilene Daily Reporter,144599,1930,TX,BOND ISSUE,,"Taylor County $100,000 bond issue for construction of a new jail",1,"Editorial 'Tomorrow's Election in Taylor County' — strongly supports new jail bond, noting 'we need that new jail—oh, how we need it!' Cost only three cents on $100 valuation",0.95
TX,Abilene Daily Reporter,144599,1930,TX,CONSTITUTIONAL AMENDMENT,,Five state constitutional amendments on the 1930 Texas ballot (en bloc),1,"Editorial: 'The five amendments to the state constitution, too, should receive the support of West Texans.'",0.85
TX,Abilene Daily Reporter,144599,1930,TX,LOCAL MEASURE,,Taylor County stock law change (double-barreled) to keep livestock off the highways,1,"Editorial supports stock law change — 'the present law is unenforceable, and for the protection of life and limb we need a law that will keep livestock off the highways'",0.90
TX,Abilene Daily Reporter,144599,1932,TX,CONSTITUTIONAL AMENDMENT,,"Nine Texas constitutional amendments on the 1932 ballot — editorial 'Those Nine Amendments' walks through each (including Indemnity, Homestead, Officeholding, Branch Banking, Coastal Seawall, etc.) and recommends most for approval",1,"Editorial 'Those Nine Amendments' — most amendments endorsed individually with phrases like 'is a good amendment, and should be approved' / 'we believe it should be approved'. Text small/partially illegible; treated as omnibus endorsement",0.50
TX,Abilene Daily Reporter,144599,1932,TX,CONSTITUTIONAL AMENDMENT,9,"Seawall Amendment — permits Gulf coast counties and towns by two-thirds majority vote to levy and collect tax for construction of seawalls, breakwaters or sanitary purposes, and to issue bonds",1,Editorial 'The Seawall Amendment' — 'West Texans should vote for this amendment with a great deal of enthusiasm',0.95
TX,Abilene Daily Reporter,144599,1934,TX,CONSTITUTIONAL AMENDMENT,,"Eight Texas constitutional amendments on the 1934 ballot — editorial 'The Eight Amendments' discussing each (taxation, salary changes, etc.)",,"Editorial 'The Eight Amendments' discusses each amendment; print very small, individual positions difficult to distinguish",0.40
TX,Abilene Daily Reporter,144599,1936,TX,CONSTITUTIONAL AMENDMENT,4,Amendment to remove absolute power of pardon and parole from the governor's hands and vest it in a non-political board of pardons and paroles,1,"Editorial 'Amendment No. 4' — 'The right of pardon and parole should be removed entirely from political influence, and this the proposed change in the constitution would make possible.'",0.95
