state_newspaper,newspaper,newspaper_id,year,state_election,prop_type,prop_num,prop_desc,endorsed,notes_endorse,extraction_confidence
TX,Abilene Reporter-News,144600,1952,TX,CONSTITUTIONAL AMENDMENT,,Amendment setting up a system under which persons who wish to get a medical education can do so at taxpayers' expense in return for a promise to practice in a rural community for a time specified by the legislature,0,Editorial 'Those Amendments' — 'we regard as a diluted form of state socialism. We oppose both amendments.',0.90
TX,Abilene Reporter-News,144600,1952,TX,CONSTITUTIONAL AMENDMENT,,Amendment giving Legislature authority to impose on cities the obligation of maintaining workmen's compensation insurance for all their employees,0,Editorial 'Those Amendments' — 'we regard as an invasion of the home-rule rights of municipalities. We oppose both amendments.',0.95
TX,Abilene Reporter-News,144600,1956,TX,CONSTITUTIONAL AMENDMENT,1,Granting power to the Legislature to grant aid and compensation to persons who have paid fines or served prison sentences under laws of this state for offenses of which they were not guilty,0,"Editorial 'Good Idea, But' — sympathetic to apparent purposes but warns 'It could open the way to many abuses by schemers.' Paper opposes adoption.",0.85
TX,Abilene Reporter-News,144600,1958,TX,CONSTITUTIONAL AMENDMENT,,"Nine Texas constitutional amendments on 1958 ballot — editorial 'Here's Analysis of Those 9 Amendments' walks through each (Amendments No. 1 through 9: judicial salaries, county commissioners, water districts, hospital districts, county appointed officials, etc.)",,"Long editorial analyzing 9 amendments individually with detailed pros/cons; print very small, individual positions difficult to read reliably",0.30
TX,Abilene Reporter-News,144600,1960,TX,CONSTITUTIONAL AMENDMENT,,"Amendment to create hospital districts in Lamar, Hidalgo and Comanche counties",1,Editorial 'This Newspaper Supports Changes in Constitution' — endorses all four; this district 'would be financed and content would be by local people',0.95
TX,Abilene Reporter-News,144600,1960,TX,CONSTITUTIONAL AMENDMENT,,Amendment to authorize the Veterans' Land Board to pay up to 3.5 percent interest on bonds which support the land program,1,Editorial 'This Newspaper Supports Changes in Constitution' — supports raising interest cap so program continues,0.95
TX,Abilene Reporter-News,144600,1960,TX,CONSTITUTIONAL AMENDMENT,,"Amendment to pay members of the state legislature annual salaries of $4,800",1,Editorial 'This Newspaper Supports Changes in Constitution' — 'the job of lawmaking should be upgraded in Texas. We need to offer some financial benefits to keep the good legislators',0.95
TX,Abilene Reporter-News,144600,1960,TX,CONSTITUTIONAL AMENDMENT,,Amendment to allow the legislature to regulate interest rates and lenders,1,Editorial 'This Newspaper Supports Changes in Constitution' — present 10% constitutional limit unworkable; supports legislature setting workable rates,0.95
TX,Abilene Reporter-News,144600,1962,TX,CONSTITUTIONAL AMENDMENT,14,'Trial de novo' amendment — empowering legislature to enact laws providing for trial de novo from administrative decisions of all levels of government from state down to city,0,"Editorial 'Here's What Trial de Novo Means; Let's Defeat It' — 'a dangerous one that this newspaper urges voters to defeat overwhelmingly.' Cites opposition from Gov. Price Daniel, Justice Meade Griffin, and others.",0.98
TX,Abilene Reporter-News,144600,1962,TX,LOCAL MEASURE,,Abilene home rule city charter,1,Editorial 'Home Rule Charter' — 'We have the opportunity to get better local government than we now have by approving the new city charter Tuesday.',0.95
TX,Abilene Reporter-News,144600,1964,TX,CONSTITUTIONAL AMENDMENT,1,Remove the authorization for the Legislature to transfer up to 1 percent a year of the total value of the permanent school fund to the available school fund,1,"Editorial 'All 3 State Amendments Deserve Voter Approval' — would guarantee permanent school fund stays permanent, only earnings from capital investments could be spent",0.95
TX,Abilene Reporter-News,144600,1964,TX,CONSTITUTIONAL AMENDMENT,2,"Set out requirements on creation of conservation and reclamation districts, giving the public better notice, and giving the Texas Water Commission regulatory power in the field",1,Editorial 'All 3 State Amendments Deserve Voter Approval' — all three should be approved,0.95
TX,Abilene Reporter-News,144600,1964,TX,CONSTITUTIONAL AMENDMENT,2,Amendment establishing certain requirements relative to enactment of laws affecting particular conservation and reclamation districts (water districts),1,"Editorial 'Amendment No. 2: How To Create Water Districts' — 'this amendment, as well as Nos. 1 and 3 which also will be on the ballot, should be approved.'",0.95
TX,Abilene Reporter-News,144600,1964,TX,CONSTITUTIONAL AMENDMENT,3,Authorize the legislature to enact a program under the federal Kerr-Mills Act of financial help for Texans 65 and older who are not on the old age assistance rolls but who can't pay for their medical care,1,Editorial 'All 3 State Amendments Deserve Voter Approval' — all three should be approved,0.95
TX,Abilene Reporter-News,144600,1966,TX,CONSTITUTIONAL AMENDMENT,10,"Amendment providing that taxes or bonds previously voted in any independent school district or in any junior college district shall not be abrogated, cancelled or invalidated by any change in boundaries; authorizes the continuance of tax levies after such change without further election (extending statewide a 1962 Dallas County provision)",1,"Editorial '5 Amendments Endorsed' — endorses 10, 12, 13, 14, 15. Says 1962 provision should be extended statewide.",0.95
TX,Abilene Reporter-News,144600,1966,TX,CONSTITUTIONAL AMENDMENT,12,Amendment to remedy a deficiency in existing law providing a method and manner for dissolution of hospital districts,1,Editorial '5 Amendments Endorsed',0.95
TX,Abilene Reporter-News,144600,1966,TX,CONSTITUTIONAL AMENDMENT,13,"Amendment authorizing the legislature to provide for consolidating the functions of government in a county having 1.2 million or more population, and to provide for intergovernmental contracts between political subdivisions of the county",1,"Editorial '5 Amendments Endorsed' — permissive, not compulsory; rejects 'threat to local government' argument",0.95
TX,Abilene Reporter-News,144600,1966,TX,CONSTITUTIONAL AMENDMENT,14,Amendment to allow members of armed forces to vote in Texas if they satisfy residence requirements applicable to Texans in general,1,Editorial '5 Amendments Endorsed' — would end discrimination against servicemen voting,0.95
TX,Abilene Reporter-News,144600,1966,TX,CONSTITUTIONAL AMENDMENT,15,Amendment to allow the state to accept federal and private funds given for use by local level and other private groups in assistance for care and rehabilitation of physically and mentally handicapped persons,1,Editorial '5 Amendments Endorsed' — 'It should be passed.',0.95
