state_newspaper,newspaper,newspaper_id,year,office,dist,dname,state_election,cand_name,party,endorsed,d_inc,r_inc,o_inc,notes_endorse,extraction_confidence
TX,Austin American-Statesman,144700,2008,PRESIDENT,,,TX,"OBAMA, BARACK",Democrat,1,,,,PROMINENTLY ENDORSED IN EDITORIAL,0.95
TX,Austin American-Statesman,144700,2008,SENATOR,,,TX,"CORNYN, JOHN",Republican,1,,1,,OCR-VERIFIED 2026-06-01: PAPER ENDORSED CORNYN (R) NOT NORIEGA. PATTERN L REVERSAL FIX.,0.95
TX,Austin American-Statesman,144700,2008,H,10,,TX,"DOHERTY, LARRY JOE",Democrat,1,,,,1200DPI OCR-VERIFIED 2026-06-01: CONF BUMPED FROM <0.75 TO 0.85.,0.85
TX,Austin American-Statesman,144700,2008,H,21,,TX,"SMITH, LAMAR",Republican,1,,1,,,0.8
TX,Austin American-Statesman,144700,2008,H,25,,TX,"DOGGETT, LLOYD",Democrat,1,1,,,,0.85
TX,Austin American-Statesman,144700,2008,COURT OF CRIMINAL APPEALS,,,TX,"STRAWN, SUSAN",Democrat,1,,,,,1.0
TX,Austin American-Statesman,144700,2008,RAILROAD COMMISSION,,,TX,"WILLIAMS, MICHAEL",Republican,1,,1,,,1.0
TX,Austin American-Statesman,144700,2008,STATE BOARD OF ED,5,,TX,"BELL-METEREAU, REBECCA",Democrat,1,,,,,0.75
TX,Austin American-Statesman,144700,2008,STATE SENATOR,14,,TX,"WATSON, KIRK",Democrat,1,1,,,,0.85
TX,Austin American-Statesman,144700,2008,STATE REP,47,,TX,"BOLTON, VALINDA",Democrat,1,,,,1200DPI OCR-VERIFIED 2026-06-01: CONF BUMPED FROM <0.75 TO 0.85.,0.85
TX,Austin American-Statesman,144700,2008,STATE REP,48,,TX,"HOWARD, DONNA",Democrat,1,1,,,,0.8
TX,Austin American-Statesman,144700,2008,STATE REP,50,,TX,"STRAMA, MARK",Democrat,1,,,,,0.8
