state_newspaper,newspaper,newspaper_id,year,office,dist,dname,state_election,cand_name,party,endorsed,d_inc,r_inc,o_inc,notes_endorse,extraction_confidence
TX,Austin American,144701,1960,PRESIDENT,,,TX,"KENNEDY, JOHN F.",Democrat,1,,,,ENDORSED KENNEDY-JOHNSON TICKET. EDITORIAL SAYS THESE PAPERS HAVE SUPPORTED THE KENNEDY-JOHNSON TICKET. QA CORRECTION: WAS INCORRECTLY CODED AS NIXON.,0.95
TX,Austin American,144701,1962,GOVERNOR,,,TX,"CONNALLY, JOHN",Democrat,1,,,,ENDORSED FOR GOVERNOR. EFFECTIVE LEADERSHIP GOAL IN TEXAS VOTERS REACH. [QA 2026-06-01 spot check 14 undo: Connally was NOT 1962 incumbent — first elected],0.9
TX,Austin American,144701,1962,H,10,,TX,"THORNBERRY, HOMER",Democrat,1,1,,,ENDORSED FOR RE-ELECTION TO US HOUSE. INCUMBENT 14 YEARS. QA: ADDED FROM 19621101 AND 19621104 EDITORIALS.,0.9
TX,Austin American,144701,1968,H,10,,TX,"PICKLE, J. J. JAKE",Democrat,1,1,,,ENDORSED FOR RE-ELECTION TO US HOUSE DISTRICT 10.,0.9
TX,Austin American,144701,1968,STATE REP,,,TX,"ANGLY, MAURICE",Republican,1,,1,,ENDORSED FOR STATE LEGISLATURE.,0.9
TX,Austin American,144701,1970,GOVERNOR,,,TX,"SMITH, PRESTON",Democrat,1,1,,,SMITH-BARNES TEAM RECOMMENDED. INCUMBENT GOVERNOR.,0.9
TX,Austin American,144701,1970,LT GOVERNOR,,,TX,"BARNES, BEN",Democrat,1,1,,,SMITH-BARNES TEAM RECOMMENDED. INCUMBENT LT GOVERNOR.,0.9
TX,Austin American,144701,1970,SENATOR,,,TX,"BENTSEN, LLOYD",Democrat,1,,,,BENTSEN BEST CHOICE FOR SENATE. RECOMMENDED FOR US SENATE.,0.9
TX,Austin American,144701,1970,CNTY CLERK,,Travis,TX,"SMITH, DAWN",Republican,1,,,,FOR CLERK. REPUBLICAN NOMINEE FOR TRAVIS COUNTY CLERK.,0.9
TX,Austin American,144701,1970,ATTORNEY GENERAL,,,TX,"MARTIN, CRAWFORD",Democrat,1,1,,,FOR MARTINS RE-ELECTION. INCUMBENT ATTORNEY GENERAL.,0.9
TX,Austin American,144701,1970,STATE REP,2,,TX,"ANGLY, MAURICE",Republican,1,,1,,PLACE TWO. EFFECTIVE CONSERVATIVE VOICE. REPUBLICAN INCUMBENT. QA CORRECTION: WAS CODED AS H DIST 22.,0.9
TX,Austin American,144701,1970,STATE REP,3,,TX,"CAVNESS, DON",,1,1,,,PLACE THREE. SENIOR MEMBER OF TRAVIS COUNTY DELEGATION. QA CORRECTION: WAS CODED AS H DIST 10.,0.9
TX,Austin American,144701,1970,STATE REP,4,,TX,"FOREMAN, WILSON",,1,1,,,PLACE FOUR. MODERATE TO CONSERVATIVE VOTING RECORD. QA CORRECTION: WAS CODED AS H DIST 22.,0.9
TX,Austin American,144701,1960,VICE PRESIDENT,,,TX,"JOHNSON, LYNDON B.",Democrat,1,,,,KENNEDY-JOHNSON TICKET ENDORSED [QA 2026-06-01 Pattern J add per 1960-11-07 OCR],0.90
TX,Austin American,144701,1960,SENATOR,,,TX,"JOHNSON, LYNDON B.",Democrat,1,,,,DUAL ROLE - SENATE - WE HAVE SUPPORTED THE PLACING OF SENATOR LYNDON JOHNSONS NAME IN A DUAL ROLE [QA 2026-06-01 Pattern J add per 1960-11-07 OCR],0.90
TX,Austin American,144701,1970,SENATOR,,,TX,"BUSH, GEORGE",Republican,0,,,,"REPUBLICAN OPPONENT TO BENTSEN - ""BOTH PERSONABLE AND HIGHLY RESPECTED... NEVERTHELESS BENTSEN BEST CHOICE"" PER 1970-10-29 OCR [QA 2026-06-01 spot check 17 Pattern A add]",0.90
TX,Austin American,144701,1970,STATE REP,,,TX,"MUTSCHER, GUS",Democrat,1,1,,,"HOUSE SPEAKER - PART OF SMITH-BARNES-MUTSCHER ENDORSEMENT TEAM. ""We include him in this endorsement because he is a member of the team more capable of providing the leadership during a most crucial period facing the State of Texas."" [QA 2026-06-01 spot check 23 Pattern J add per 1970-10-25 OCR]",0.90
TX,Austin American,144701,1970,STATE REP,Place 1,,TX,"DAVIS, HAROLD",Democrat,1,1,,,UNOPPOSED IN GENERAL ELECTION BUT HAD OPPOSITION IN D PRIMARY; PAPER ENDORSED PER OCR PLACE ONE [QA 2026-06-01 spot check 32 Pattern J add per cross-newspaper Austin Statesman comparison],0.85
