state_newspaper,newspaper,newspaper_id,year,state_election,prop_type,prop_num,prop_desc,endorsed,notes_endorse,extraction_confidence
TX,Austin American,144701,1960,TX,AMENDMENT,1,AMENDMENT TO AUTHORIZE HOSPITAL DISTRICTS IN HIDALGO AND COMANCHE COUNTIES AND OTHER JURISDICTIONS,1,RECOMMENDED FOR APPROVAL. QA VERIFIED: PROPOSITION NO. 1 AUTHORIZES HOSPITAL DISTRICTS.,0.9
TX,Austin American,144701,1960,TX,AMENDMENT,2,AMENDMENT TO RAISE INTEREST ON VETERANS LAND BONDS FROM 3 TO 3.5 PERCENT,1,RECOMMENDED FOR APPROVAL. QA VERIFIED: PROPOSITION NO. 2 ON VETERANS LAND BONDS.,0.9
TX,Austin American,144701,1960,TX,AMENDMENT,3,AMENDMENT ON LEGISLATOR COMPENSATION AND SESSION LIMITS,1,RECOMMENDED FOR APPROVAL. QA VERIFIED: PROPOSITION NO. 3 ON LEGISLATIVE PAY AND 140-DAY SESSION LIMIT.,0.9
TX,Austin American,144701,1960,TX,AMENDMENT,4,AMENDMENT TO REGULATE SMALL LOANS AND STOP LOAN SHARK PRACTICES,1,STRONGLY ENDORSED. DEDICATED EDITORIAL TITLED VOTE AMENDMENT 4. QA VERIFIED.,0.95
TX,Austin American,144701,1962,TX,AMENDMENT,2,AMENDMENT ON CONSTITUTIONAL AUTHORITY,1,RECOMMENDED FOR APPROVAL. QA NOTE: COULD NOT INDEPENDENTLY VERIFY FROM AVAILABLE CLIPPINGS.,0.7
TX,Austin American,144701,1962,TX,AMENDMENT,4,AMENDMENT ON WATER CONSERVATION AND STORAGE IN STATE DAMS,1,STRONGLY ENDORSED. DEDICATED EDITORIAL: WATER AMENDMENT IS KEY TO TEXAS PROGRESS GOAL. QA CORRECTION: WAS LISTED AS AMENDMENT 1.,0.95
TX,Austin American,144701,1962,TX,AMENDMENT,5,AMENDMENT ON GOVERNMENTAL STRUCTURE,0,NOT RECOMMENDED. QA NOTE: COULD NOT INDEPENDENTLY VERIFY FROM AVAILABLE CLIPPINGS.,0.7
TX,Austin American,144701,1962,TX,AMENDMENT,7,AMENDMENT ON CONTINUITY OF GOVERNMENT IN EVENT OF ENEMY ATTACK,1,ENDORSED. EDITORIAL SAYS IT SHOULD BE VOTED. JUSTIFIED BY CUBAN MISSILE CRISIS. ADDED DURING QA.,0.9
TX,Austin American,144701,1962,TX,AMENDMENT,10,AMENDMENT ON TAX AUTHORITY,1,RECOMMENDED FOR APPROVAL. QA NOTE: COULD NOT INDEPENDENTLY VERIFY FROM AVAILABLE CLIPPINGS.,0.7
TX,Austin American,144701,1962,TX,AMENDMENT,14,AMENDMENT ON TRIAL DE NOVO FOR ALL JURISDICTIONS,0,OPPOSED. EDITORIAL SAYS IT SHOULD BE DEFEATED. WOULD HANDICAP ALL JURISDICTIONS. QA CORRECTION: DESCRIPTION UPDATED.,0.95
TX,Austin American,144701,1966,TX,AMENDMENT,1,CONSTITUTIONAL AMENDMENT ON LEGISLATIVE PROCEDURES,1,RECOMMENDED FOR APPROVAL. QA VERIFIED.,0.85
