state_newspaper,newspaper,newspaper_id,year,office,dist,dname,state_election,cand_name,party,endorsed,d_inc,r_inc,o_inc,notes_endorse,extraction_confidence
TX,Austin Chronicle,,2012,PRESIDENT,,,TX,"OBAMA, BARACK",Democrat,1,1,,,ENDORSED FOR RE-ELECTION,1.0
TX,Austin Chronicle,,2012,SENATOR,,,TX,"SADLER, PAUL",Democrat,1,,,,U.S. SENATE CANDIDATE,1.0
TX,Austin Chronicle,,2012,H,10,,TX,"CADIEN, TAWANA",Democrat,1,,,,U.S. REPRESENTATIVE DISTRICT 10,1.0
TX,Austin Chronicle,,2012,H,21,,TX,"DUVAL, CANDACE",Democrat,1,,,,U.S. REPRESENTATIVE DISTRICT 21,1.0
TX,Austin Chronicle,,2012,H,25,,TX,"HENDERSON, ELAINE",Democrat,1,,,,U.S. REPRESENTATIVE DISTRICT 25,1.0
TX,Austin Chronicle,,2012,H,35,,TX,"DOGGETT, LLOYD",Democrat,1,1,,,U.S. REPRESENTATIVE DISTRICT 35,1.0
TX,Austin Chronicle,,2012,H,17,,TX,"EASTON, BEN",Libertarian,1,,,,ALTERNATIVE TO HARD-RIGHT INCUMBENT BEN FLORES | PATTERN L PARTY FIX 2026-06-01: OCR EXPLICIT.,1.0
TX,Austin Chronicle,,2012,RAILROAD COMMISSION,,,TX,"HENRY, DALE",Democrat,1,,,,STRAIGHT TICKET ENDORSEMENT,1.0
TX,Austin Chronicle,,2012,RAILROAD COMMISSION,,,TX,"WENDEL, JOSH",Green,1,,,,NO DEMOCRAT FILED TO OPPOSE APPOINTED INCUMBENT BARRY SMITHERMAN,1.0
TX,Austin Chronicle,,2012,TX SUPREME COURT,Place 6,,TX,"PETTY, MICHELE",Democrat,1,,,,TEXAS SUPREME COURT PLACE 6,1.0
TX,Austin Chronicle,,2012,TX SUPREME COURT,Place 2,,TX,"KOELSCH, ROBERTO",Libertarian,1,,,,HONEST ALTERNATIVE TO HARD-RIGHT FAVORITE DON WILLET | PATTERN L PARTY FIX 2026-06-01: OCR EXPLICIT.,1.0
TX,Austin Chronicle,,2012,TX SUPREME COURT,Place 4,,TX,"WATERBURY, CHARLES",Green,1,,,,POINTS TO STEPHEN BREYER AS JUDICIAL MODEL OVER GOP NOMINEE JOHN DEVINE | PATTERN L PARTY FIX 2026-06-01: OCR EXPLICIT.,1.0
TX,Austin Chronicle,,2012,COURT OF CRIMINAL APPEALS,,,TX,"HAMPTON, KEITH",Democrat,1,,,,STRAIGHT TICKET ENDORSEMENT,1.0
TX,Austin Chronicle,,2012,STATE BOARD OF ED,5,,TX,"BELL-METEREAU, REBECCA",Democrat,1,,,,STRAIGHT TICKET ENDORSEMENT,1.0
TX,Austin Chronicle,,2012,STATE BOARD OF ED,10,,TX,"JENNINGS, JUDY",Democrat,1,,,,STRAIGHT TICKET ENDORSEMENT,1.0
TX,Austin Chronicle,,2012,STATE SENATOR,14,,TX,"WATSON, KIRK",Democrat,1,1,,,STRAIGHT TICKET ENDORSEMENT,1.0
TX,Austin Chronicle,,2012,STATE SENATOR,21,,TX,"ZAFFIRINI, JUDITH",Democrat,1,1,,,STRAIGHT TICKET ENDORSEMENT,1.0
TX,Austin Chronicle,,2012,STATE SENATOR,25,,TX,"COURAGE, JOHN",Democrat,1,,,,STRAIGHT TICKET ENDORSEMENT,1.0
TX,Austin Chronicle,,2012,STATE REP,47,,TX,"FRANDSEN, CHRIS",Democrat,1,,,,STRAIGHT TICKET ENDORSEMENT,1.0
