state_newspaper,newspaper,newspaper_id,year,office,dist,dname,state_election,cand_name,party,endorsed,d_inc,r_inc,o_inc,notes_endorse,extraction_confidence
TX,Austin Statesman,144702,1970,GOVERNOR,,,TX,"SMITH, PRESTON",Democrat,1,1,,,EDITORIAL RECOMMENDS 'SMITH-BARNES TEAM'; SMITH FOR GOVERNOR. OCR-VERIFIED 2026-06-01 ACROSS ROUNDS 1-6.,0.9
TX,Austin Statesman,144702,1970,LT GOVERNOR,,,TX,"BARNES, BEN",Democrat,1,1,,,"EDITORIAL RECOMMENDS 'SMITH-BARNES TEAM'; BARNES FOR LIEUTENANT GOVERNOR | OFFICE FIX 2026-06-01: BARNES WAS INCUMBENT LT GOVERNOR IN 1970, NOT GOVERNOR. OCR-VERIFIED 2026-06-01 ACROSS ROUNDS 1-6.",0.9
TX,Austin Statesman,144702,1970,STATE REP,,,TX,"MUTSCHER, GUS",Democrat,1,1,,,EDITORIAL INCLUDES IN 'SMITH-BARNES TEAM' ENDORSEMENT; MUTSCHER FOR SPEAKER | OFFICE FIX 2026-06-01: MUTSCHER WAS STATE REP (HOUSE DIST 28); SPEAKER OF HOUSE IS AN INTERNAL HOUSE ROLE NOT A SEPARATE OFFICE. OCR-VERIFIED 2026-06-01 ACROSS ROUNDS 1-6.,0.85
TX,Austin Statesman,144702,1970,SENATOR,,,TX,"BENTSEN, LLOYD",Democrat,1,,,,EDITORIAL TITLED 'BENTSEN BEST FOR SENATE'; DETAILED ENDORSEMENT FOR U.S. SENATE SEAT. OCR-VERIFIED 2026-06-01 ACROSS ROUNDS 1-6.,0.9
TX,Austin Statesman,144702,1970,CNTY CLERK,,,TX,"SMITH, DAWN",Republican,1,,,,EDITORIAL TITLED 'FOR CLERK'; RECOMMENDS ELECTION AS TRAVIS COUNTY CLERK; REPUBLICAN NOMINEE. OCR-VERIFIED 2026-06-01 ACROSS ROUNDS 1-6.,0.9
TX,Austin Statesman,144702,1970,ATTORNEY GENERAL,,,TX,"MARTIN, CRAWFORD",Democrat,1,1,,,EDITORIAL TITLED 'FOR MARTIN'S RE-ELECTION'; SUPPORTS REELECTION FOR ATTORNEY GENERAL. OCR-VERIFIED 2026-06-01 ACROSS ROUNDS 1-6.,0.9
TX,Austin Statesman,144702,1970,STATE REP,Place 1,,TX,"DAVIS, HAROLD",Democrat,1,1,,,"OCR-VERIFIED 2026-06-01 ROUND 5: ENDORSED FOR RE-ELECTION TO STATE REP PLACE 1, TRAVIS COUNTY. UNOPPOSED IN GENERAL ELECTION (HAD OPPOSITION IN DEMOCRATIC PRIMARY).",0.88
TX,Austin Statesman,144702,1970,STATE REP,Place 2,,TX,"ANGLY, MAURICE",Republican,1,,1,,EDITORIAL RECOMMENDS RE-ELECTION; INCUMBENT REPUBLICAN REPRESENTATIVE; CONSERVATIVE VOICE IN HOUSE | NAME FIX 2026-06-01: ANGRLY WAS TYPO FOR ANGLY. OCR-VERIFIED 2026-06-01 ACROSS ROUNDS 1-6.,0.85
TX,Austin Statesman,144702,1970,STATE REP,Place 4,,TX,"FOREMAN, WILSON",Democrat,1,1,,,"EDITORIAL SUPPORTS; FORMER BUSINESSMAN RUNNING FOR FIRST TIME IN PLACE FOUR; STRONG RECORD | PARTY+INCUMBENCY FIX 2026-06-01: OCR EXPLICIT ""THREE PREVIOUS TERMS"" = INCUMBENT. FOREMAN WAS A DEMOCRAT, NOT REPUBLICAN. AUSTIN AMERICAN QA FLAGGED THIS.",0.8
TX,Austin Statesman,144702,1970,STATE REP,Place 3,,TX,"CAVNESS, DON",Democrat,1,1,,,"OCR-VERIFIED 2026-06-01 ROUND 1: PATTERN J ADD. OCR EXPLICIT ""REP. DON CAVNESS, AS SENIOR MEMBER OF THE TRAVIS COUNTY DELEGATION...HE IS EXPERIENCED AND EFFECTIVE...TRAVIS COUNTY WOULD BENEFIT BY HIS RETURN TO THE HOUSE.""",0.92
TX,Austin Statesman,144702,1970,SENATOR,,,TX,"BUSH, GEORGE",Republican,0,,,,"OCR-VERIFIED 2026-06-01 ROUND 2: PATTERN A OPPOSED. PAPER ENDORSED BENTSEN OVER BUSH. OCR EXPLICIT ""BENTSEN BEST FOR SENATE"" EDITORIAL.",0.92
TX,Austin Statesman,144702,1960,PRESIDENT,,,TX,"KENNEDY, JOHN F.",Democrat,1,,,,"OCR-VERIFIED 2026-06-01 ROUND 3: PATTERN J ADD. 1960-11-07 EDITORIAL ""THESE PAPERS HAVE SUPPORTED THE KENNEDY-JOHNSON TICKET."" METADATA INCORRECTLY FLAGGED AS NO-ENDORSEMENT.",0.92
TX,Austin Statesman,144702,1960,VICE PRESIDENT,,,TX,"JOHNSON, LYNDON B.",Democrat,1,,,,OCR-VERIFIED 2026-06-01 ROUND 3: PATTERN J ADD. LBJ ENDORSED IN DUAL ROLE (VP+SENATE).,0.92
TX,Austin Statesman,144702,1960,SENATOR,,,TX,"JOHNSON, LYNDON B.",Democrat,1,1,,,OCR-VERIFIED 2026-06-01 ROUND 3: PATTERN J ADD. LBJ INCUMBENT SENIOR SENATOR ENDORSED IN DUAL ROLE.,0.92
TX,Austin Statesman,144702,1962,GOVERNOR,,,TX,"CONNALLY, JOHN",Democrat,1,,,,OCR-VERIFIED 2026-06-01 ROUND 3: PATTERN J ADD. 1962-11-01 EDITORIAL ENDORSED CONNALLY OVER REPUBLICANS. METADATA INCORRECTLY FLAGGED AS NO-ENDORSEMENT.,0.92
TX,Austin Statesman,144702,1962,H,10,,TX,"THORNBERRY, HOMER",Democrat,1,1,,,OCR-VERIFIED 2026-06-01 ROUND 3: PATTERN J ADD. INCUMBENT US REP DIST 10 ENDORSED FOR RE-ELECTION.,0.92
TX,Austin Statesman,144702,1968,H,10,,TX,"PICKLE, J. J. JAKE",Democrat,1,1,,,OCR-VERIFIED 2026-06-01 ROUND 3: PATTERN J ADD. 1968-11-05 EDITORIAL ENDORSED PICKLE FOR RE-ELECTION H-10. METADATA INCORRECTLY FLAGGED AS NO-ENDORSEMENT.,0.92
TX,Austin Statesman,144702,1968,STATE REP,,,TX,"ANGLY, MAURICE",Republican,1,,1,,OCR-VERIFIED 2026-06-01 ROUND 3: PATTERN J ADD. ANGLY ENDORSED FOR RE-ELECTION TO STATE LEGISLATURE. SAME PERSON AS 1970 ANGLY MAURICE.,0.92
