state_newspaper,newspaper,newspaper_id,year,state_election,prop_type,prop_num,prop_desc,endorsed,notes_endorse,extraction_confidence
TX,Corpus Christi Caller-Times,145000,1954,TX,CONSTITUTIONAL AMENDMENT,6,"Toll Road Amendment - prohibit the use of the credit of the state or the grant of any public money for construction, maintenance or operation of toll roads and turnpikes",0,A constitutional amendment tying the hands of the state appears both unwise and unnecessary in view of the law already on the statute books; possibility that the state would be denied the right to construct and operate toll roads is enough to warrant rejection of the amendment; appears to have the least merit,0.95
TX,Corpus Christi Caller-Times,145000,1954,TX,CONSTITUTIONAL AMENDMENT,8,"Extending Officials' Terms - four-year terms for district, county and precinct officials including district clerks, county and district attorneys, county judges, judges of county courts at law, county clerks, county treasurers, county surveyors, sheriffs, assessors-collectors, county commissioners precincts 2 and 4, justices of the peace",1,"Generally we have favored the extension of terms of office to four years instead of two; we think this amendment doubling the terms of most local officials is a sound measure; longer term, giving greater job stability, will promote efficiency and public service",0.95
TX,Corpus Christi Caller-Times,145000,1954,TX,LOCAL ANNEXATION REFERENDUM,,Annexation of area south and west of present Corpus Christi city limits,1,Vote Today; we believe that viewed from either side - the advantages so outweigh the disadvantages as to make a vote FOR annexation the only reasonable choice; vital to the future healthy growth of the city,0.90
TX,Corpus Christi Caller-Times,145000,1958,TX,CONSTITUTIONAL AMENDMENT,1,Annual sessions for the Legislature and higher pay for legislators,0,"May be theoretically desirable, but this clumsily drafted proposal would likely cause more ills than it would cure; Vote No on Amendment No. 1",0.95
TX,Corpus Christi Caller-Times,145000,1958,TX,CONSTITUTIONAL AMENDMENT,2,"Expand retirement, disability and death benefits for county employees and extend coverage to elected officials; separate county systems have too small a base to be actuarially sound",0,Recommendation: No - statewide system would be preferable,0.95
TX,Corpus Christi Caller-Times,145000,1958,TX,CONSTITUTIONAL AMENDMENT,3,"Provide that vacancies in county elective offices be filled only until the next general election, rather than for the longer periods now possible under the four-year terms created in 1954",1,Technical but important adjustment of an oversight; Recommendation: Yes,0.95
TX,Corpus Christi Caller-Times,145000,1958,TX,CONSTITUTIONAL AMENDMENT,4,"Correct another difficulty caused by the new four-year county terms; would require district, county and precinct officials with more than a year of their term remaining to resign on announcing their candidacy for any other office",1,Causes costly special elections to fill resulting vacancies; Recommendation: Yes,0.95
TX,Corpus Christi Caller-Times,145000,1958,TX,CONSTITUTIONAL AMENDMENT,5,Authorize home-rule cities to extend the terms of elective and appointive officers from two years to four,0,The similar amendment for county officials has proved to be a mistake on several counts; civil service for the administrative staff is better assurance for desirable continuity in governmental programs; Recommendation: No,0.90
TX,Corpus Christi Caller-Times,145000,1958,TX,CONSTITUTIONAL AMENDMENT,6,Provide pensions for Rangers who retire before becoming eligible for regular state employees pensions,0,Discriminate against other types of retired state employees; pension would cover some purely political appointees; Recommendation: No,0.95
TX,Corpus Christi Caller-Times,145000,1958,TX,CONSTITUTIONAL AMENDMENT,7,Remove Texas' unique anachronistic constitutional ban on state advertising,1,"If the Legislature should do so subsequently, it should emphasize the functions of developmental research, data compilation and inquiry answering, rather than that of an advertising agency; Recommendation: Yes (with reservation)",0.85
