state_newspaper,newspaper,newspaper_id,year,office,dist,dname,state_election,cand_name,party,endorsed,d_inc,r_inc,o_inc,notes_endorse,extraction_confidence
TX,Corpus Christi Caller,145002,1952,PRESIDENT,,,TX,DWIGHT D. EISENHOWER,Republican,1,,,,,
TX,Corpus Christi Caller,145002,1962,GOVERNOR,,,TX,JOHN CONNALLY,Democrat,1,,,,,
TX,Corpus Christi Caller,145002,1966,SENATOR,,,TX,WAGGONER CARR,Democrat,1,,,,,
TX,Corpus Christi Caller,145002,1970,STATE REP,,,TX,"FARENTHOLD, FRANCES",,1,,,,"Hard Worker editorial; endorsed for reelection Nov 3 for hard work for Corpus Christi and Texas, including censure of Land Commissioner Sadler and Antiquities Act passage",0.95
TX,Corpus Christi Caller,145002,1972,GOVERNOR,,,TX,"BRISCOE, DOLPH",Democrat,1,,,,"Did not have support in Democratic primary, but is choice of voters to carry Democratic banner Nov 7; we commend his candidacy to our readers - the only candidate for the office who could be an effective chief executive",0.95
TX,Corpus Christi Caller,145002,1976,H,14,,TX,"YOUNG, JOHN",Democrat,1,,,,Served us ably in Congress for 10 terms; through seniority and ability has amassed considerable influence and expertise; we recommend his reelection strongly,0.95
TX,Corpus Christi Caller,145002,1976,PRESIDENT,,,TX,"CARTER, JIMMY",Democrat,1,,,,"Nation needs a fresh and active leader, a person with ideas and vigor; we believe the nation can find such a man",0.95
TX,Corpus Christi Caller,145002,1976,RAILROAD COMMISSION,,,TX,"NEWTON, JON",Democrat,1,,,,"From Beeville, can speed this process along; able state legislator and is an expert in energy affairs",0.95
TX,Corpus Christi Caller,145002,1976,SENATOR,,,TX,"BENTSEN, LLOYD",Democrat,1,,,,Has served Texas and the nation with distinction during his first term in office; we believe he has earned another six years in the job,0.95
TX,Corpus Christi Caller,145002,1976,STATE REP,48A,,TX,"GONZALES, ARNOLD",Democrat,1,,,,Has both the enthusiasm and intelligence to make his district an able representative in Austin,0.95
TX,Corpus Christi Caller,145002,1976,STATE REP,48C,,TX,"HALE, DEWITT",Democrat,1,,,,"In DeWitt Hale, this district has one of the most knowledgeable and influential members of the Texas Legislature; makes the retention of Hale in Austin even more imperative",0.95
TX,Corpus Christi Caller,145002,1976,STATE SENATOR,20,,TX,"TRUAN, CARLOS",Democrat,1,,,,"Times believes Carlos Truan is clearly the best choice in this race, both by virtue of experience and ability",0.95
TX,Corpus Christi Caller,145002,1976,TX SUPREME COURT,,,TX,"LORANCE, TOM",,1,,,,Experienced Houston attorney recommended as write-in candidate over Don Yarbrough; of the utmost importance the voter ponder the qualifications,0.90
TX,Corpus Christi Caller,145002,1976,TX SUPREME COURT,,,TX,"YARBROUGH, DON",Democrat,0,,,,"Won the Democratic primary; threatened with disbarment by Texas State Bar, being sued in civil courts by a number of clients; Times recommends Tom Lorance, an experienced Houston attorney, as a write-in candidate",0.85
TX,Corpus Christi Caller,145002,1978,ATTORNEY GENERAL,,,TX,"WHITE, MARK",Democrat,1,,,,,0.95
TX,Corpus Christi Caller,145002,1978,CNTY COMM,4,Nueces,TX,"LUBY, J.P.",,1,,,,Precinct 4,0.95
TX,Corpus Christi Caller,145002,1978,CNTY JUDGE,,Nueces,TX,"BARNES, ROBERT",,1,,,,,0.95
TX,Corpus Christi Caller,145002,1978,GOVERNOR,,,TX,"HILL, JOHN",Democrat,1,,,,,0.95
TX,Corpus Christi Caller,145002,1978,H,14,,TX,"WYATT, JOE",Democrat,1,,,,US Congress 14th District,0.95
TX,Corpus Christi Caller,145002,1978,LT GOVERNOR,,,TX,"HOBBY, BILL",Democrat,1,,,,,0.95
TX,Corpus Christi Caller,145002,1978,RAILROAD COMMISSION,,,TX,"POERNER, JOHN",Democrat,1,,,,,0.95
TX,Corpus Christi Caller,145002,1978,SENATOR,,,TX,"TOWER, JOHN",Republican,1,,,,Caller lists choices in Tuesday's election; we recommend the election of each of these candidates,0.95
TX,Corpus Christi Caller,145002,1978,STATE REP,48-C,,TX,"HARRISON, BILL",,1,,,,,0.95
TX,Corpus Christi Caller,145002,1980,PRESIDENT,,,TX,"CARTER, JIMMY",Democrat,0,,,,Carter administration has lacked fixed policies; vacillating signals in foreign policy which have confused friends and foes; the Carter administration has not earned another four years in office,0.95
TX,Corpus Christi Caller,145002,1980,PRESIDENT,,,TX,"REAGAN, RONALD",Republican,1,,,,"Election of Reagan best choice Tuesday; Reagan would have an opportunity to rethink some of our approaches to social legislation; Reagan administration on the other hand offers at least the possibility of new approaches; it is time, in our view, for a change",0.95
TX,Corpus Christi Caller,145002,1980,RAILROAD COMMISSION,,,TX,"NUGENT, JIM",Democrat,1,,,,"Nugent, Temple favored; Nugent appointed by Gov. Briscoe when former commissioner Jon Newton resigned; veteran of nine terms in state House",0.95
TX,Corpus Christi Caller,145002,1980,RAILROAD COMMISSION,,,TX,"TEMPLE, BUDDY",Democrat,1,,,,Defeated Railroad Commission Chairman John Poerner; two-term state representative; campaigned on a pledge to work to reduce high interstate freight rates,0.95
TX,Corpus Christi Caller,145002,1980,SHERIFF,,Nueces,TX,"ORTIZ, SOLOMON",Democrat,1,,,,Sheriff has earned another four years; restored order and dignity to the sheriff's office; modernized; we believe he deserves reelection on Nov. 4,0.95
TX,Corpus Christi Caller,145002,1980,STATE SENATOR,20,,TX,"TRUAN, CARLOS",Democrat,1,,,,Sen. Carlos Truan should be re-elected; voters of the 20th senatorial district this past June a choice which could scarcely be clearer,0.95
TX,Corpus Christi Caller,145002,1980,TX SUPREME COURT,1,,TX,"WALLACE, JAMES P.",Democrat,1,,,,"Vote Garwood, Wallace; Place 1 - hesitatingly recommend; lawyer, two-term state senator from Houston, former district judge, associate justice First Court of Civil Appeals",0.90
