state_newspaper,newspaper,newspaper_id,year,office,dist,dname,state_election,cand_name,party,endorsed,d_inc,r_inc,o_inc,notes_endorse,extraction_confidence
TX,Corpus Christi Times,145001,1952,PRESIDENT,,,TX,"EISENHOWER, DWIGHT",Republican,1,,,,Time for Change editorial; endorses Eisenhower for change in leadership; argues Stevenson burdened by New Deal/Fair Deal mistakes,0.98
TX,Corpus Christi Times,145001,1952,PRESIDENT,,,TX,"STEVENSON, ADLAI",Democrat,0,,,,Editorial says Stevenson burdened by mistakes of New Deal and Fair Deal; less likely to admit/correct than fresh administration,0.92
TX,Corpus Christi Times,145001,1962,GOVERNOR,,,TX,"CONNALLY, JOHN",Democrat,1,,,,"Leadership editorial: 'only the Democratic candidate, John Connally, can offer the necessary leadership and direction to Texas state government'; qualifications much superior",0.97
TX,Corpus Christi Times,145001,1962,GOVERNOR,,,TX,JOHN CONNALLY,Democrat,1,,,,"Editorial 'Connally Has Exceptional Qualities for Governorship': If elected, John Connally will enter the governor's office as perhaps the best informed chief executive Texas has ever had; No candidate for governor has ever gone to greater lengths to prepare himself for that office",0.98
TX,Corpus Christi Times,145001,1966,SENATOR,,,TX,WAGGONER CARR,Democrat,1,,,,"Reported in AP article 'Candidates Endorsed By Papers' (published in Tyler Morning Telegraph): Atty. Gen. Waggoner Carr, Democrat, has the endorsement of 28 dailies and 18 weeklies, including Corpus Christi Caller and Times",0.90
TX,Corpus Christi Times,145001,1970,STATE REP,,,TX,FRANCES FARENTHOLD,Democrat,1,,,,"Editorial 'Hard Worker': Rep. Frances Farenthold brought freshness and enthusiasm to the chore of lawmaking during the 61st Legislature; she feels strongly about honesty in government, the rights of minorities, pollution, and equal educational opportunity; almost single-handedly persuaded the Legislature to censure Land Commissioner Jerry Sadler; took a leading part in the passage of the Antiquities Act; she deserves to be reelected Nov. 3 because she has worked hard for Corpus Christi and Texas and will continue to do so",0.98
TX,Corpus Christi Times,145001,1972,GOVERNOR,TX,,TX,DOLPH BRISCOE,Democrat,,,,,,
TX,Corpus Christi Times,145001,1976,H,TX-14,,TX,JOHN YOUNG,Democrat,,,,,,
TX,Corpus Christi Times,145001,1976,PRESIDENT,US,,TX,JIMMY CARTER,Democrat,,,,,,
TX,Corpus Christi Times,145001,1976,RAILROAD COMMISSION,TX,,TX,JON NEWTON,Democrat,,,,,,
TX,Corpus Christi Times,145001,1976,SENATOR,TX,,TX,LLOYD BENTSEN,Democrat,,,,,,
TX,Corpus Christi Times,145001,1976,STATE REP,TX-48A,,TX,ARNOLD GONZALES,,,,,,,
TX,Corpus Christi Times,145001,1976,STATE REP,TX-48C,,TX,DEWITT HALE,,,,,,,
TX,Corpus Christi Times,145001,1976,STATE SENATOR,TX-20,,TX,CARLOS TRUAN,Democrat,,,,,,
TX,Corpus Christi Times,145001,1976,TX SUPREME COURT,TX,,TX,DON YARBROUGH,Democrat,,,,,,
TX,Corpus Christi Times,145001,1976,TX SUPREME COURT,TX,,TX,TOM LORANCE,,,,,,,
TX,Corpus Christi Times,145001,1978,ATTORNEY GENERAL,TX,,TX,MARK WHITE,Democrat,,,,,,
TX,Corpus Christi Times,145001,1978,CNTY COMM,NUECES-4,,TX,J.P. LUBY,,,,,,,
TX,Corpus Christi Times,145001,1978,CNTY JUDGE,NUECES,,TX,ROBERT BARNES,,,,,,,
TX,Corpus Christi Times,145001,1978,GOVERNOR,TX,,TX,JOHN HILL,Democrat,,,,,,
TX,Corpus Christi Times,145001,1978,H,TX-14,,TX,JOE WYATT,Democrat,,,,,,
TX,Corpus Christi Times,145001,1978,LT GOVERNOR,TX,,TX,BILL HOBBY,Democrat,,,,,,
TX,Corpus Christi Times,145001,1978,RAILROAD COMMISSION,TX,,TX,JOHN POERNER,Democrat,,,,,,
TX,Corpus Christi Times,145001,1978,SENATOR,TX,,TX,JOHN TOWER,Republican,,,,,,
TX,Corpus Christi Times,145001,1978,STATE REP,TX-48,,TX,BILL HARRISON,,,,,,,
TX,Corpus Christi Times,145001,1980,PRESIDENT,US,,TX,JIMMY CARTER,Democrat,,,,,,
TX,Corpus Christi Times,145001,1980,PRESIDENT,US,,TX,RONALD REAGAN,Republican,,,,,,
TX,Corpus Christi Times,145001,1980,RAILROAD COMMISSION,TX,,TX,BUDDY TEMPLE,Democrat,,,,,,
TX,Corpus Christi Times,145001,1980,RAILROAD COMMISSION,TX,,TX,JIM NUGENT,Democrat,,,,,,
TX,Corpus Christi Times,145001,1980,SHERIFF,NUECES,,TX,SOLOMON ORTIZ,Democrat,,,,,,
TX,Corpus Christi Times,145001,1980,STATE SENATOR,TX-20,,TX,CARLOS TRUAN,Democrat,,,,,,
TX,Corpus Christi Times,145001,1980,STATE SENATOR,TX-20,,TX,MARCO EUGENIO,Republican,,,,,,
TX,Corpus Christi Times,145001,1980,TX SUPREME COURT,TX,,TX,JAMES P. WALLACE,Democrat,,,,,,
TX,Corpus Christi Times,145001,1980,TX SUPREME COURT,TX,,TX,WILL GARWOOD,Republican,,,,,,
TX,Corpus Christi Times,145001,1982,AGRICULTURE COMMISSIONER,TX,,TX,JIM HIGHTOWER,Democrat,,,,,,
TX,Corpus Christi Times,145001,1982,ATTORNEY GENERAL,TX,,TX,JIM MATTOX,Democrat,,,,,,
TX,Corpus Christi Times,145001,1982,COMPTROLLER,TX,,TX,BOB BULLOCK,Democrat,,,,,,
TX,Corpus Christi Times,145001,1982,COURT OF CRIMINAL APPEALS,TX-PLACE2,,TX,CHUCK MILLER,Democrat,,,,,,
TX,Corpus Christi Times,145001,1982,DISTRICT COURT JUDGE,NUECES-148,,TX,DAVID HERIN,,,,,,,
TX,Corpus Christi Times,145001,1982,DISTRICT COURT JUDGE,NUECES-94,,TX,RENE HAAS,,,,,,,
TX,Corpus Christi Times,145001,1982,GOVERNOR,TX,,TX,BILL CLEMENTS,Republican,,,,,,
TX,Corpus Christi Times,145001,1982,H,TX-27,,TX,SOLOMON ORTIZ,Democrat,,,,,,
TX,Corpus Christi Times,145001,1982,LAND COMMISSIONER,TX,,TX,GARRY MAURO,Democrat,,,,,,
TX,Corpus Christi Times,145001,1982,LAND COMMISSIONER,TX,,TX,WOODY GLASSCOCK,Republican,,,,,,
TX,Corpus Christi Times,145001,1982,LT GOVERNOR,TX,,TX,BILL HOBBY,Democrat,,,,,,
TX,Corpus Christi Times,145001,1982,RAILROAD COMMISSION,TX,,TX,JIM NUGENT,Democrat,,,,,,
TX,Corpus Christi Times,145001,1982,SENATOR,TX,,TX,LLOYD BENTSEN,Democrat,,,,,,
TX,Corpus Christi Times,145001,1982,STATE REP,TX-36,,TX,BILL HARRISON,,,,,,,
TX,Corpus Christi Times,145001,1982,TREASURER,TX,,TX,ANN RICHARDS,Democrat,,,,,,
