state_newspaper,newspaper,newspaper_id,year,state_election,prop_type,prop_num,prop_desc,endorsed,notes_endorse,extraction_confidence
TX,Corpus Christi Times,145001,1952,TX,CONSTITUTIONAL AMENDMENT,,Medical Amendment - state fund to send medical school graduates to college and require them after graduation to practice a specified time in rural areas where doctor-service is lacking; on Nov. 4 ballot,0,Editorial opposes; says it puts the state into medicine; calls subsidizing professionals 'socialism'; says it isn't the answer to admittedly serious problem,0.95
TX,Corpus Christi Times,145001,1954,TX,CONSTITUTIONAL AMENDMENT,,Building Amendment - creates a State Building Commission with authority to erect buildings for state use; would transfer surplus from Confederate Pension Fund (~$6 million) to this purpose,1,Building Amendment Should Be Adopted; no opposition heard; should most certainly be approved; provides roundabout solution to a pressing problem,0.97
TX,Corpus Christi Times,145001,1954,TX,CONSTITUTIONAL AMENDMENT,2,"Old Age Amendment - Senate Joint Resolution No. 7; would authorize Legislature to increase spending for old age assistance, aid to blind, aid to dependent children by $7 million a year; would raise ceiling to $42 million; require recipient names be made public",0,Editorial raises significant concerns; argues real need is restudy of eligibility requirements so those who don't really need can be taken off rolls; Texas already has 38 percent or twice the national deadwood; lean against passage,0.60
TX,Corpus Christi Times,145001,1954,TX,CONSTITUTIONAL AMENDMENT,6,"Toll Road Amendment - would prohibit the use of the credit of the state or grant of any public money for construction, maintenance or operation of toll roads and turnpikes",0,Editorial says amendment is unwise and unnecessary; tying hands of state appears unwise; appears to have the least merit of all 11 amendments,0.95
TX,Corpus Christi Times,145001,1954,TX,CONSTITUTIONAL AMENDMENT,8,"Extending Officials' Terms - four-year terms for district, county and precinct officials (district clerks, county and district attorneys, county judges, county clerks, county treasurers, sheriffs, county commissioners precincts 2 and 4, justices of the peace)",1,Editorial favors extension; calls it a sound measure giving greater job stability and promoting efficiency and public service; notes adoption is doubtful due to controversy,0.90
TX,Corpus Christi Times,145001,1954,TX,LOCAL REFERENDUM,,Annexation of area south and west of present city limits of Corpus Christi (local referendum),1,Vote Today editorial says annexation can only fail to pass if Corpus Christi voters fail to go to the polls; advantages outweigh disadvantages; vital to future healthy growth of the city,0.90
TX,Corpus Christi Times,145001,1958,TX,CONSTITUTIONAL AMENDMENT,,County Home Rule amendment - would give counties same powers of home rule as cities enjoy; proposed by Harris County Home-Rule Commission; would also allow optional city-county consolidation,1,Editorial strongly urges local support for the statewide county home-rule movement; insists Nueces County be included in any such grant of county home-rule authority,0.85
TX,Corpus Christi Times,145001,1958,TX,CONSTITUTIONAL AMENDMENT,1,"Annual session for the Legislature and higher pay for legislators (raise to $7,500 annual salary)",0,Editorial says Vote No on Amendment No. 1; says language likely cause more ills than it would cure,0.85
TX,Corpus Christi Times,145001,1958,TX,CONSTITUTIONAL AMENDMENT,2,"Would expand retirement, disability and death benefits for county employees and extend coverage to elected officials",0,Recommendation: No,0.85
TX,Corpus Christi Times,145001,1958,TX,CONSTITUTIONAL AMENDMENT,3,Would provide that vacancies in county elective offices be filled only until the next general election rather than for the longer periods now possible under the four-year terms created in 1954,1,Recommendation: Yes - technical but important adjustment,0.85
TX,Corpus Christi Times,145001,1958,TX,CONSTITUTIONAL AMENDMENT,4,"Would correct difficulty caused by new four-year county terms; would require district, county and precinct officials with more than a year of their term remaining to resign on announcing their candidacy for any other office",0,Recommendation: No - though purpose is being defeated by those who hold onto one office while running for another,0.70
TX,Corpus Christi Times,145001,1958,TX,CONSTITUTIONAL AMENDMENT,6,Would provide pensions for Rangers who retired before becoming eligible for regular state employee pensions,0,Recommendation: No - amendment is not favored by the Texas Department of Public Safety,0.85
TX,Corpus Christi Times,145001,1958,TX,CONSTITUTIONAL AMENDMENT,7,Would remove Texas' unique anachronistic constitutional ban on state advertising; would establish a state advertising program in Texas Department of Commerce,0,Recommendation: No,0.70
TX,Corpus Christi Times,145001,1958,TX,CONSTITUTIONAL AMENDMENT,8,Would authorize state vending of federal funds for payment direct to vendor of medical services accorded recipients of federal-state welfare assistance,0,Recommendation: No - estimated cost of nine million dollars a year would be only the beginning; administrative difficulties are formidable,0.85
TX,Corpus Christi Times,145001,1958,TX,CONSTITUTIONAL AMENDMENT,9,"Would permit four more taxing hospital districts; a local-option authority granted in 1954 to counties of more than 190,000 population; in lieu of a preferable general and uniform constitutional permission",1,"Recommendation: Yes - implemented by legislation as necessary, such projects as these should be allowed despite obvious tendency toward a hodgepodge system",0.85
TX,Corpus Christi Times,145001,1962,TX,CONSTITUTIONAL AMENDMENT,1,Workman's compensation insurance amendment,0,Editorial recommends voter consider each and vote his best judgment; Proposal No. 1 would allow workman's compensation insurance; recommended voter look against,0.50
TX,Corpus Christi Times,145001,1962,TX,CONSTITUTIONAL AMENDMENT,1,Would allow workmen's compensation insurance amendment,,"Editorial mentioned but no clear recommendation; Of the other dozen amendment proposals, none appears either urgently necessary or seriously objectionable",0.30
TX,Corpus Christi Times,145001,1962,TX,CONSTITUTIONAL AMENDMENT,1,Would allow workmen's compensation insurance,,"Editorial: Of the other dozen amendment proposals, none appears either urgently necessary or seriously objectionable; recommended that the voter consider each and vote his best judgment",0.30
TX,Corpus Christi Times,145001,1962,TX,CONSTITUTIONAL AMENDMENT,10,"Would allow state employees, with superior's permission, to be used for consulting or advisory services to other state agencies and political subdivisions",0,Editorial: This should allow for better use of talent without any serious risk of conflict of interest - though phrasing suggests the editorial leans against; ambiguous,0.40
