state_newspaper,newspaper,newspaper_id,year,office,dist,dname,state_election,cand_name,party,endorsed,d_inc,r_inc,o_inc,notes_endorse,extraction_confidence
TX,El Paso Herald Post,145301,1936,H,1,1,NM,"DEMPSEY, JOHN J.",Democrat,1,1,,,,0.85
TX,El Paso Herald Post,145301,1936,PRESIDENT,,,TX,"LANDON, ALF M.",Republican,1,,,,PICTURE OF A PRESIDENT - SCRIPPS-HOWARD EDITORIAL ENDORSEMENT,0.75
TX,El Paso Herald Post,145301,1936,SENATOR,,,NM,"CHAVEZ, DENNIS",Democrat,1,1,,,,0.85
TX,El Paso Herald Post,145301,1936,SENATOR,,,NM,"HATCH, CARL",Democrat,1,1,,,,0.85
TX,El Paso Herald Post,145301,1952,PRESIDENT,,,TX,"EISENHOWER, DWIGHT D.",Republican,1,,,,,0.85
TX,El Paso Herald Post,145301,1952,STRAIGHT TICKET,,,TX,STRAIGHT TICKET,Democrat,1,,,,,0.85
TX,El Paso Herald Post,145301,1954,CNTY COMM,,,TX,"HEFFENGER, CHARLES P.",Republican,1,,,,,0.85
TX,El Paso Herald Post,145301,1954,CNTY COMM,,,TX,"MCCUNE, H.D.",Republican,1,,,,,0.85
TX,El Paso Herald Post,145301,1954,SENATOR,,,NM,"MECHEM, EDWIN L.",Republican,1,,,,,0.85
TX,El Paso Herald Post,145301,1954,STATE SENATOR,,,TX,"WEMPLE, FRED A.",,1,,,,CAN'T FIND PARTY ID,0.85
TX,El Paso Herald Post,145301,1956,PRESIDENT,,,TX,"EISENHOWER, DWIGHT D.",Republican,1,,1,,,0.85
TX,El Paso Herald Post,145301,1958,GOVERNOR,,,NM,"MECHEM, EDWIN L.",Republican,1,,1,,,0.85
TX,El Paso Herald Post,145301,1960,CNTY COMM,,,TX,"COFFIN, BILL",Republican,1,,,,,0.85
TX,El Paso Herald Post,145301,1960,DA/PROSECUTOR,,,TX,"HAMMOND, JAMES E.",Republican,1,,,,,0.85
TX,El Paso Herald Post,145301,1960,H,16,16,TX,"RUTHERFORD, J.T.",Democrat,1,1,,,,0.85
TX,El Paso Herald Post,145301,1960,JUDGE,,,TX,"GARBERN, DAN",Republican,1,,,,,0.85
TX,El Paso Herald Post,145301,1960,LT GOVERNOR,,,TX,"HARRISON, GILBERT N.",Republican,1,,,,,0.85
TX,El Paso Herald Post,145301,1960,PRESIDENT,,,TX,"NIXON, RICHARD M.",Republican,1,,,,,0.85
TX,El Paso Herald Post,145301,1960,SENATOR,,,TX,"JOHNSON, LYNDON B.",Democrat,1,1,,,,0.85
TX,El Paso Herald Post,145301,1960,SENATOR,,,TX,"TOWER, JOHN G.",Republican,1,,,,,0.85
TX,El Paso Herald Post,145301,1960,STATE REP,,,TX,"ISAACKS, MAUD",Democrat,1,1,,,,0.85
TX,El Paso Herald Post,145301,1960,STATE REP,,,TX,"MCGREGOR, MALCOLM",Democrat,1,1,,,,0.85
TX,El Paso Herald Post,145301,1960,STATE REP,105,105,TX,"ROSAS, MAURO",Democrat,1,1,,,,0.85
TX,El Paso Herald Post,145301,1960,STATE REP,,,TX,"SMITH, JUAN",,1,,,,,0.85
TX,El Paso Herald Post,145301,1960,STATE SENATOR,29,29,TX,"LEONARD, JAMES A. (JIM)",Republican,1,,,,,0.85
TX,El Paso Herald Post,145301,1960,TREASURER,,,TX,"ATWATER, PIERCE",Democrat,1,1,,,,0.85
TX,El Paso Herald Post,145301,1962,CNTY COMM,,,TX,"LOWENFIELD, WALLACE",Republican,1,,,,,0.85
TX,El Paso Herald Post,145301,1962,CNTY JUDGE,,,TX,"WOODARD, GLENN",Democrat,1,,,,WOODARD FOR COUNTY JUDGE - WILL MAKE EXCELLENT COUNTY JUDGE,0.80
TX,El Paso Herald Post,145301,1962,GOVERNOR,,,TX,"COX, JACK",Republican,1,,,,,0.85
TX,El Paso Herald Post,145301,1962,H,98,98,TX,"BARRY, DES",Republican,1,,,,,0.85
TX,El Paso Herald Post,145301,1962,H,16,16,TX,"RUTHERFORD, J.T.",Republican,1,,1,,INCUMBENT,0.85
TX,El Paso Herald Post,145301,1962,LT GOVERNOR,,,TX,"SMITH, PRESTON",Democrat,1,,,,,0.85
TX,El Paso Herald Post,145301,1962,RAILROAD COMMISSION,3,3,TX,"HANSON, BERNOLD M.",Republican,1,,,,,0.85
TX,El Paso Herald Post,145301,1962,STATE REP,,,TX,"MCGREGOR, MALCOLM",Democrat,1,1,,,,0.85
TX,El Paso Herald Post,145301,1962,STATE SENATOR,,,TX,"ABBOTT, S.L",Republican,1,,,,CHALLENGER,0.85
TX,El Paso Herald Post,145301,1964,AGRICULTURE COMMISSIONER,,,TX,"WHITE, JOHN C.",Democrat,1,1,,,,0.85
TX,El Paso Herald Post,145301,1964,ATTORNEY GENERAL,,,TX,"CARR, WAGGONER",Democrat,1,1,,,,0.85
TX,El Paso Herald Post,145301,1964,GOVERNOR,,,TX,"CONNALLY, JOHN B.",Democrat,1,1,,,,0.85
TX,El Paso Herald Post,145301,1964,H,98,98,TX,"HAYES, BILL",Republican,1,1,,,,0.85
TX,El Paso Herald Post,145301,1964,H,16,16,TX,"WHITE, RICHARD C.",Democrat,1,,1,,,0.85
TX,El Paso Herald Post,145301,1964,LAND COMMISSIONER,,,TX,"SADLER, G.A. (JERRY)",Democrat,1,1,,,,0.85
TX,El Paso Herald Post,145301,1964,LT GOVERNOR,,,TX,"SMITH, PRESTON",Democrat,1,1,,,,0.85
TX,El Paso Herald Post,145301,1964,PRESIDENT,,,TX,"JOHNSON, LYNDON B.",Democrat,1,1,,,,0.85
TX,El Paso Herald Post,145301,1964,RAILROAD COMMISSION,2,2,TX,"LANGDON, JIM C.",Democrat,1,,,,,0.85
TX,El Paso Herald Post,145301,1964,SENATOR,,,TX,"YARBOROUGH, RALPH",Democrat,1,1,,,,0.85
TX,El Paso Herald Post,145301,1964,STATE REP,74,74,TX,"MUNIZ, RAUL",Democrat,1,,,,,0.85
TX,El Paso Herald Post,145301,1964,STATE SENATOR,29,29,TX,"SNELSON, W.E. (PETE)",Democrat,1,,,,,0.85
TX,El Paso Herald Post,145301,1964,TX SUPREME COURT,1,1,TX,"POPE, JACK",Democrat,1,,,,,0.85
TX,El Paso Herald Post,145301,1966,ATTORNEY GENERAL,,,TX,"MARTIN, CRAWFORD",Democrat,1,,,,INCUMBENT,0.85
TX,El Paso Herald Post,145301,1966,GOVERNOR,,,TX,"CONNALLY, JOHN B.",Democrat,1,1,,,INCUMBENT,0.85
TX,El Paso Herald Post,145301,1966,LT GOVERNOR,,,TX,"SMITH, PRESTON",Democrat,1,1,,,INCUMBENT,0.85
TX,El Paso Herald Post,145301,1966,SENATOR,,,TX,"CARR, WAGGONER",Democrat,1,,1,,,0.85
TX,El Paso Herald Post,145301,1966,STATE SENATOR,29,29,TX,"CHRISTIE, JOE",Democrat,1,,,,,0.85
TX,El Paso Herald Post,145301,1968,ATTORNEY GENERAL,,,TX,"MARTIN, CRAWFORD",,1,1,,,INCUMBENT,0.85
TX,El Paso Herald Post,145301,1968,GOVERNOR,,,TX,"SMITH, PRESTON",Democrat,1,,,,INCUMBENT,0.85
TX,El Paso Herald Post,145301,1968,LT GOVERNOR,,,TX,"BARNES, BEN",Democrat,1,,,,,0.85
TX,El Paso Herald Post,145301,1968,PRESIDENT,,,TX,"NIXON, RICHARD M.",Republican,1,,,,SCRIPPS HOWARD NEWSPAPERS ENDORSED NIXON,0.90
TX,El Paso Herald Post,145301,1968,STATE REP,2,2,TX,"BLAINE, JOHN E. (NED)",Democrat,1,1,,,,0.85
TX,El Paso Herald Post,145301,1968,STATE REP,4,4,TX,"MUNIZ, RAUL",,1,1,,,,0.85
TX,El Paso Herald Post,145301,1968,STATE REP,5,5,TX,"NILAND, TOM",,1,1,,,,0.85
TX,El Paso Herald Post,145301,1970,AGRICULTURE COMMISSIONER,,,TX,"WHITE, JOHN C.",Democrat,1,1,,,,0.85
TX,El Paso Herald Post,145301,1970,ATTORNEY GENERAL,,,TX,"MARTIN, CRAWFORD C.",Democrat,1,1,,,,0.85
TX,El Paso Herald Post,145301,1970,CNTY COMM,4,4,TX,"KEMENDO, VINCENT",,1,,,,,0.85
TX,El Paso Herald Post,145301,1970,CNTY COMM,2,2,TX,"TELLES, RICHARD",Democrat,1,,,,,0.85
TX,El Paso Herald Post,145301,1970,CNTY JUDGE,,,TX,"MOORE, T. UDELL",,1,,,,,0.85
TX,El Paso Herald Post,145301,1970,COMPTROLLER,,,TX,"ABBOTT, SHIRLEY L.",,1,1,,,,0.85
TX,El Paso Herald Post,145301,1970,GOVERNOR,,,TX,"SMITH, PRESTON",Democrat,1,1,,,INCUMBENT,0.85
TX,El Paso Herald Post,145301,1970,LAND COMMISSIONER,,,TX,"ARMSTRONG, BOB",Democrat,1,,,,,0.85
TX,El Paso Herald Post,145301,1970,LT GOVERNOR,,,TX,"BARNES, BEN",Democrat,1,1,,,,0.85
TX,El Paso Herald Post,145301,1970,SENATOR,,,TX,"BENTSEN, LLOYD MILLARD, JR.",Democrat,1,,,,,0.85
TX,El Paso Herald Post,145301,1970,STATE REP,4,4,TX,"KASTER, JIM, JR.",,1,1,,,,0.85
TX,El Paso Herald Post,145301,1970,TREASURER,,,TX,"JAMES, JESSE",Democrat,1,1,,,,0.85
TX,El Paso Herald Post,145301,1972,ATTORNEY GENERAL,,,TX,"HILL, JOHN",Democrat,1,,,,,0.85
TX,El Paso Herald Post,145301,1972,CNTY COMM,3,3,TX,"MOTTET, JOHN O.",Republican,1,,,,,0.85
TX,El Paso Herald Post,145301,1972,GOVERNOR,,,TX,"BRISCOE, DOLPH",Democrat,1,,,,,0.85
TX,El Paso Herald Post,145301,1972,LAND COMMISSIONER,,,TX,"ARMSTRONG, BOB",Democrat,1,1,,,,0.85
TX,El Paso Herald Post,145301,1972,LT GOVERNOR,,,TX,"HOBBY, WILLIAM P. (BILL)",Democrat,1,,,,,0.85
TX,El Paso Herald Post,145301,1972,PRESIDENT,,,TX,"NIXON, RICHARD M.",Republican,1,,1,,,0.85
TX,El Paso Herald Post,145301,1972,RAILROAD COMMISSION,1,1,TX,"TUNNELL, BYRON",Democrat,1,1,,,,0.85
TX,El Paso Herald Post,145301,1972,SENATOR,,,TX,"TOWER, JOHN G.",Republican,1,,1,,,0.85
TX,El Paso Herald Post,145301,1972,SHERIFF,,,TX,"SULLIVAN, MIKE, JR.",Democrat,1,,,,,0.85
TX,El Paso Herald Post,145301,1972,STATE BOARD OF ED,,,TX,"HOWELL, BEN",Democrat,1,,,,,0.85
TX,El Paso Herald Post,145301,1972,STATE REP,3,3,TX,"COLEMAN, RONALD",Democrat,1,1,,,,0.85
TX,El Paso Herald Post,145301,1972,STATE REP,71,71,TX,"KASTER, JAMES J., JR.",Democrat,1,1,,,,0.85
TX,El Paso Herald Post,145301,1972,STATE SENATOR,29,29,TX,"SANTIESTABAN, TATI",Democrat,1,,,,,0.85
TX,El Paso Herald Post,145301,1972,TREASURER,,,TX,"ANGLY, MAURICE, JR.",Republican,1,1,,,,0.85
TX,El Paso Herald Post,145301,1974,AGRICULTURE COMMISSIONER,,,TX,"WHITE, JOHN C.",Democrat,1,1,,,INCUMBENT,0.85
TX,El Paso Herald Post,145301,1974,ATTORNEY GENERAL,,,TX,"HILL, JOHN",Democrat,1,1,,,INCUMBENT,0.85
TX,El Paso Herald Post,145301,1974,CNTY COMM,2,2,TX,"TELLES, RICHARD",Democrat,1,1,,,INCUMBENT,0.85
TX,El Paso Herald Post,145301,1974,COMPTROLLER,,,TX,"BULLOCK, ROBERT DOUGLAS (BOB)",Democrat,1,,,,,0.85
TX,El Paso Herald Post,145301,1974,GOVERNOR,,,TX,"BRISCOE, DOLPH",Democrat,1,1,,,INCUMBENT,0.85
TX,El Paso Herald Post,145301,1974,JUDGE,,,TX,"PENA, HENRY",Democrat,1,1,,,INCUMBENT,0.85
TX,El Paso Herald Post,145301,1974,LAND COMMISSIONER,,,TX,"ARMSTRONG, BOB",Democrat,1,1,,,INCUMBENT,0.85
TX,El Paso Herald Post,145301,1974,LT GOVERNOR,,,TX,"HOBBY, WILLIAM P. (BILL)",Democrat,1,1,,,INCUMBENT,0.85
TX,El Paso Herald Post,145301,1974,RAILROAD COMMISSION,2,2,TX,"LANGDON, JIM C.",Democrat,1,1,,,INCUMBENT,0.85
TX,El Paso Herald Post,145301,1974,RAILROAD COMMISSION,1,1,TX,"WALLACE, MACK",Democrat,1,,,,INCUMBENT,0.85
TX,El Paso Herald Post,145301,1974,STATE BOARD OF ED,16,16,TX,"VOWELL, JACK C.",Republican,1,,,,,0.85
TX,El Paso Herald Post,145301,1974,STATE REP,71,71,TX,"KASTER, JAMES J., JR.",Democrat,1,1,,,INCUMBENT,0.85
TX,El Paso Herald Post,145301,1974,STATE REP,,,TX,"SCOGGINS, RALPH (SKIP)",Republican,1,,1,,INCUMBENT,0.85
TX,El Paso Herald Post,145301,1974,TREASURER,,,TX,"HOLT, ROBERT G.",Republican,1,1,,,,0.85
