state_newspaper,newspaper,newspaper_id,year,state_election,prop_type,prop_num,prop_desc,endorsed,notes_endorse,extraction_confidence
TX,El Paso Herald Post,145301,1934,TX,CONSTITUTIONAL AMENDMENT,1,,YES,LETS OKEY ALL BUT ONE - ENDORSES 7 OF 8 AMENDMENTS,0.80
TX,El Paso Herald Post,145301,1934,TX,CONSTITUTIONAL AMENDMENT,2,PER CAPITA TAX LIMIT (SJR 13),NO,EDITORIAL OPPOSES - THE ONE AMENDMENT NOT TO OKEY,0.80
TX,El Paso Herald Post,145301,1934,TX,CONSTITUTIONAL AMENDMENT,3,,YES,LETS OKEY ALL BUT ONE,0.80
TX,El Paso Herald Post,145301,1934,TX,CONSTITUTIONAL AMENDMENT,4,,YES,LETS OKEY ALL BUT ONE,0.80
TX,El Paso Herald Post,145301,1934,TX,CONSTITUTIONAL AMENDMENT,5,,YES,LETS OKEY ALL BUT ONE,0.80
TX,El Paso Herald Post,145301,1934,TX,CONSTITUTIONAL AMENDMENT,6,,YES,LETS OKEY ALL BUT ONE,0.80
TX,El Paso Herald Post,145301,1934,TX,CONSTITUTIONAL AMENDMENT,7,,YES,LETS OKEY ALL BUT ONE,0.80
TX,El Paso Herald Post,145301,1934,TX,CONSTITUTIONAL AMENDMENT,8,,YES,LETS OKEY ALL BUT ONE,0.80
TX,El Paso Herald Post,145301,1936,TX,CONSTITUTIONAL AMENDMENT,1,TEACHER PENSIONS,YES,THE SIX AMENDMENTS - EDITORIAL ENDORSES ALL SIX,0.75
TX,El Paso Herald Post,145301,1936,TX,CONSTITUTIONAL AMENDMENT,2,WORKMENS COMPENSATION FOR STATE EMPLOYEES,YES,THE SIX AMENDMENTS - EDITORIAL ENDORSES ALL SIX,0.75
TX,El Paso Herald Post,145301,1936,TX,CONSTITUTIONAL AMENDMENT,3,BOARD OF PARDONS AND PAROLES POWER INCREASE,YES,THE SIX AMENDMENTS - EDITORIAL ENDORSES ALL SIX,0.75
TX,El Paso Herald Post,145301,1936,TX,CONSTITUTIONAL AMENDMENT,4,SALARY INCREASES FOR GOVERNOR AND STATE OFFICIALS,YES,THE SIX AMENDMENTS - EDITORIAL ENDORSES ALL SIX,0.75
TX,El Paso Herald Post,145301,1936,TX,CONSTITUTIONAL AMENDMENT,5,,YES,THE SIX AMENDMENTS - EDITORIAL ENDORSES ALL SIX,0.75
TX,El Paso Herald Post,145301,1936,TX,CONSTITUTIONAL AMENDMENT,6,,YES,THE SIX AMENDMENTS - EDITORIAL ENDORSES ALL SIX,0.75
TX,El Paso Herald Post,145301,1940,TX,CONSTITUTIONAL AMENDMENT,1,RED RIVER COUNTY TAX MEASURE,NO,DANGEROUS LOCAL MEASURE - VOTE NO,0.90
TX,El Paso Herald Post,145301,1940,TX,CONSTITUTIONAL AMENDMENT,2,SECRETARY OF STATE TO APPOINT NOTARIES PUBLIC,YES,RECOMMEND A VOTE FOR NO 2,0.90
TX,El Paso Herald Post,145301,1940,TX,CONSTITUTIONAL AMENDMENT,3,CITY EMPLOYEE CIVIL SERVICE REFORM,YES,GOOD MOVE FATHERED BY REP ISAACKS OF EL PASO,0.90
TX,El Paso Herald Post,145301,1940,TX,CONSTITUTIONAL AMENDMENT,4,APPEALS OF INJUNCTIONS DIRECTLY TO STATE SUPREME COURT,YES,GOOD AMENDMENT FOR GIVING LITTLE MAN EQUALITY BEFORE LAW,0.90
TX,El Paso Herald Post,145301,1952,TX,CONSTITUTIONAL AMENDMENT,1,WORKMENS COMPENSATION INSURANCE FOR CITIES TOWNS AND VILLAGES,NO,WOULD TAKE AWAY HOME RULE ON PENSIONS AND RETIREMENT,0.9
TX,El Paso Herald Post,145301,1952,TX,CONSTITUTIONAL AMENDMENT,2,PHYSICIAN PAYMENT IN RURAL AREAS,NO,WOULD DEFILE EDUCATION BY ADDING STATE CHARITY,0.9
TX,El Paso Herald Post,145301,1954,TX,CONSTITUTIONAL AMENDMENT,1,INCREASE STATE WELFARE CEILING FOR NEEDY AGED BLIND AND CHILDREN,YES,INCREASE FROM $98M TO $142M FOR STATE AID,0.85
TX,El Paso Herald Post,145301,1954,TX,CONSTITUTIONAL AMENDMENT,10,MILITARY MEMBERS ELIGIBLE TO VOTE IF TEXAS IS HOME,YES,ARMY NAVY MARINES AIR FORCE MEMBERS MAY VOTE,0.85
TX,El Paso Herald Post,145301,1954,TX,CONSTITUTIONAL AMENDMENT,11,TAX ASSESSOR-COLLECTOR OFFICE FOR COUNTIES UNDER 10000,YES,SMALL COUNTIES CREATE ASSESSOR-COLLECTOR OFFICE,0.85
TX,El Paso Herald Post,145301,1954,TX,CONSTITUTIONAL AMENDMENT,2,TEACHER RETIREMENT FUND COMPUTATION WITH BOTH SERVICE SYSTEMS,YES,COMPUTE RETIREMENT PAY WITH BOTH SYSTEMS OF SERVICE,0.85
TX,El Paso Herald Post,145301,1954,TX,CONSTITUTIONAL AMENDMENT,3,SOCIAL SECURITY FOR PROPRIETARY EMPLOYEES OF CITIES AND COUNTIES,YES,EXTEND SOCIAL SECURITY ELIGIBILITY TO PROPRIETARY EMPLOYEES,0.85
TX,El Paso Herald Post,145301,1954,TX,CONSTITUTIONAL AMENDMENT,4,CONFEDERATE PENSION FUND FOR STATE COURTHOUSE AT AUSTIN,YES,USE CONFEDERATE PENSION FUND FOR COURTHOUSE,0.85
TX,El Paso Herald Post,145301,1954,TX,CONSTITUTIONAL AMENDMENT,5,INCREASE LEGISLATOR PAY FROM $10 TO $25 PER DAY,YES,ALLOW LEGISLATURE TO SET GOVERNOR SALARY,0.85
TX,El Paso Herald Post,145301,1954,TX,CONSTITUTIONAL AMENDMENT,6,PROHIBIT LEGISLATURE FROM LENDING STATE CREDIT FOR TOLL ROADS,NO,BAD AMENDMENT - RESTRICTS LEGISLATURE ON TOLL ROAD FINANCING,0.85
TX,El Paso Herald Post,145301,1954,TX,CONSTITUTIONAL AMENDMENT,7,WOMEN RIGHT TO SERVE ON JURIES,YES,EXTEND JURY SERVICE TO WOMEN,0.85
