state_newspaper,newspaper,newspaper_id,year,office,dist,dname,state_election,cand_name,party,endorsed,d_inc,r_inc,o_inc,notes_endorse,extraction_confidence
TX,El Paso Times,145300,1952,PRESIDENT,,,TX,"EISENHOWER, DWIGHT D.",Republican,1,,,,,0.85
TX,El Paso Times,145300,1956,PRESIDENT,,,TX,"EISENHOWER, DWIGHT D.",Republican,1,,1,,,0.85
TX,El Paso Times,145300,1960,PRESIDENT,,,TX,"NIXON, RICHARD M.",Republican,1,,,,,0.85
TX,El Paso Times,145300,1962,CNTY COMM,4,4,TX,"MAYS, TOM",Democrat,1,,,,,0.85
TX,El Paso Times,145300,1962,GOVERNOR,,,TX,"CONNALLY, JOHN B.",Democrat,1,,,,,0.85
TX,El Paso Times,145300,1962,H,16,16,TX,"FOREMAN, ED",Republican,1,1,,,,0.85
TX,El Paso Times,145300,1962,H,98,98,TX,"BARRY, DES",Republican,1,,,,,0.85
TX,El Paso Times,145300,1962,STATE SENATOR,29,29,TX,"OWEN, FRANK, III",Democrat,1,1,,,,0.85
TX,El Paso Times,145300,1964,AGRICULTURE COMMISSIONER,,,TX,"WHITE, JOHN C.",Democrat,1,1,,,INCUMBENT,0.85
TX,El Paso Times,145300,1964,ATTORNEY GENERAL,,,TX,"CARR, WAGGONER",Democrat,1,1,,,INCUMBENT,0.85
TX,El Paso Times,145300,1964,CNTY COMM,1,1,TX,"ANDERSON, CLYDE C.",Democrat,1,,,,,0.85
TX,El Paso Times,145300,1964,COMPTROLLER,,,TX,"CALVERT, ROBERT S.",Democrat,1,1,,,,0.85
TX,El Paso Times,145300,1964,GOVERNOR,,,TX,"CONNALLY, JOHN B.",Democrat,1,1,,,INCUMBENT,0.85
TX,El Paso Times,145300,1964,H,98,98,TX,"POOL, JOE",Democrat,1,1,,,,0.85
TX,El Paso Times,145300,1964,TX SUPREME COURT,1,1,TX,"POPE, JACK",Democrat,1,,,,,0.85
TX,El Paso Times,145300,1964,LAND COMMISSIONER,,,TX,"SADLER, G.A. (JERRY)",Democrat,1,1,,,INCUMBENT,0.85
TX,El Paso Times,145300,1964,LT GOVERNOR,,,TX,"SMITH, PRESTON",Democrat,1,1,,,INCUMBENT,0.85
TX,El Paso Times,145300,1964,PRESIDENT,,,TX,"JOHNSON, LYNDON B.",Democrat,1,1,,,,0.85
TX,El Paso Times,145300,1964,RAILROAD COMMISSION,2,2,TX,"LANGDON, JIM C.",Democrat,1,,,,,0.85
TX,El Paso Times,145300,1964,SENATOR,,,TX,"BUSH, GEORGE H. W.",Republican,1,1,,,,0.85
TX,El Paso Times,145300,1964,STATE REP,74,74,TX,"MUNIZ, RAUL",Democrat,1,,,,,0.85
TX,El Paso Times,145300,1964,STATE SENATOR,29,29,TX,"SNELSON, W.E. (PETE)",Democrat,1,,,,,0.85
TX,El Paso Times,145300,1964,TREASURER,,,TX,"JAMES, JESSE",Democrat,1,1,,,,0.85
TX,El Paso Times,145300,1966,SENATOR,,,TX,"CARR, WAGGONER",Democrat,1,,1,,,0.85
TX,El Paso Times,145300,1966,STATE SENATOR,29,29,TX,"CHRISTIE, JOE",Democrat,1,,,,,0.85
TX,El Paso Times,145300,1968,AGRICULTURE COMMISSIONER,,,TX,"WHITE, JOHN C.",,1,1,,,,0.85
TX,El Paso Times,145300,1968,ATTORNEY GENERAL,,,TX,"MARTIN, CRAWFORD",,1,1,,,,0.85
TX,El Paso Times,145300,1968,COMPTROLLER,,,TX,"CALVERT, ROBERT S.",Democrat,1,1,,,,0.85
TX,El Paso Times,145300,1968,GOVERNOR,,,TX,"SMITH, PRESTON",Democrat,1,,,,,0.85
TX,El Paso Times,145300,1968,H,16,16,TX,"WHITE, RICHARD T.",Democrat,1,1,,,,0.85
TX,El Paso Times,145300,1968,LAND COMMISSIONER,,,TX,"SADLER, G.A. (JERRY)",Democrat,1,1,,,,0.85
TX,El Paso Times,145300,1968,LT GOVERNOR,,,TX,"BARNES, BEN",Democrat,1,,,,,0.85
TX,El Paso Times,145300,1968,PRESIDENT,,,TX,"NIXON, RICHARD M.",Republican,1,,,,,0.85
TX,El Paso Times,145300,1968,RAILROAD COMMISSION,2,2,TX,"LANGDON, JIM C.",Democrat,1,1,,,,0.85
TX,El Paso Times,145300,1968,STATE REP,2,2,TX,"BLAINE, JOHN E. (NED)",Democrat,1,1,,,,0.85
TX,El Paso Times,145300,1968,STATE REP,4,4,TX,"MUNIZ, RAUL",,1,1,,,,0.85
TX,El Paso Times,145300,1968,STATE REP,5,5,TX,"NILAND, TOM",,1,1,,,,0.85
TX,El Paso Times,145300,1968,TREASURER,,,TX,"JAMES, JESSIE",Democrat,1,1,,,,0.85
TX,El Paso Times,145300,1970,AGRICULTURE COMMISSIONER,,,TX,"WHITE, JOHN C.",Democrat,1,1,,,,0.85
TX,El Paso Times,145300,1970,ATTORNEY GENERAL,,,TX,"MARTIN, CRAWFORD C.",Democrat,1,1,,,,0.85
TX,El Paso Times,145300,1970,CNTY COMM,4,4,TX,"BLACKHAM, SAM",,1,,,,,0.85
TX,El Paso Times,145300,1970,COMPTROLLER,,,TX,"ABBOTT, SHIRLEY L.",,1,1,,,,0.85
TX,El Paso Times,145300,1970,CNTY CLERK,,,TX,"BOLES, J. WAYLON",,1,,,,,0.85
TX,El Paso Times,145300,1970,CNTY JUDGE,,,TX,"MOORE, T. UDELL",,1,,,,,0.85
TX,El Paso Times,145300,1970,GOVERNOR,,,TX,"SMITH, PRESTON",Democrat,1,1,,,,0.85
TX,El Paso Times,145300,1970,H,16,16,TX,"WHITE, RICHARD C.",Democrat,1,1,,,,0.85
TX,El Paso Times,145300,1970,LAND COMMISSIONER,,,TX,"ARMSTRONG, BOB",Democrat,1,,,,,0.85
TX,El Paso Times,145300,1970,LT GOVERNOR,,,TX,"BARNES, BEN",Democrat,1,1,,,,0.85
TX,El Paso Times,145300,1970,SENATOR,,,TX,"BENTSEN, LLOYD MILLARD, JR.",Democrat,1,,,,,0.85
TX,El Paso Times,145300,1970,STATE REP,4,4,TX,"KASTER, JIM, JR.",,1,1,,,,0.85
TX,El Paso Times,145300,1970,TREASURER,,,TX,"JAMES, JESSE",Democrat,1,1,,,,0.85
TX,El Paso Times,145300,1972,ATTORNEY GENERAL,,,TX,"HILL, JOHN",Democrat,1,,,,,0.85
TX,El Paso Times,145300,1972,STATE BOARD OF ED,,,TX,"HOWELL, BEN",Democrat,1,,,,,0.85
TX,El Paso Times,145300,1972,CNTY COMM,3,3,TX,"SANCHEZ, ROGELIO",,1,,,,,0.85
TX,El Paso Times,145300,1972,COMPTROLLER,,,TX,"CALVERT, ROBERT S.",Democrat,1,1,,,,0.85
TX,El Paso Times,145300,1972,COURT OF CRIMINAL APPEALS,1,1,TX,"ODOM, WENDELL A.",,1,,,,,0.85
TX,El Paso Times,145300,1972,DA/PROSECUTOR,,,TX,"SIMMONS, STEVE W.",,1,,,,,0.85
TX,El Paso Times,145300,1972,GOVERNOR,,,TX,"BRISCOE, DOLPH",Democrat,1,,,,,0.85
TX,El Paso Times,145300,1972,H,16,16,TX,"WHITE, RICHARD C.",Democrat,1,1,,,,0.85
TX,El Paso Times,145300,1972,TX SUPREME COURT,,,TX,"GREENHILL, JOE",,1,1,,,,0.85
TX,El Paso Times,145300,1972,TX SUPREME COURT,1,1,TX,"JAY, SAM",,1,,,,,0.85
TX,El Paso Times,145300,1972,TX SUPREME COURT,2,2,TX,"DANIEL, PRICE",,1,,,,,0.85
