state_newspaper,newspaper,newspaper_id,year,state_election,prop_type,prop_num,prop_desc,endorsed,notes_endorse,extraction_confidence
TX,El Paso Times,145300,1920,TX,CONSTITUTIONAL AMENDMENT,,SCHOOL AMENDMENT,1,VOTE FOR THE SCHOOL AMENDMENT,0.80
TX,El Paso Times,145300,1926,TX,CONSTITUTIONAL AMENDMENT,1,NATIONAL GUARD OFFICERS ELIGIBLE FOR CIVIL OFFICE,1,EACH DESERVES SUPPORT,0.80
TX,El Paso Times,145300,1926,TX,CONSTITUTIONAL AMENDMENT,2,TAXATION OF COUNTY SCHOOL LAND,1,EACH DESERVES SUPPORT,0.80
TX,El Paso Times,145300,1926,TX,CONSTITUTIONAL AMENDMENT,3,EXTENDING LEGISLATIVE TERM TO 120 DAYS,1,EACH DESERVES SUPPORT,0.80
TX,El Paso Times,145300,1926,TX,CONSTITUTIONAL AMENDMENT,4,JUDICIAL AND PRISON MANAGEMENT REFORM,1,EACH DESERVES SUPPORT,0.80
TX,El Paso Times,145300,1930,TX,CONSTITUTIONAL AMENDMENT,1,UNIVERSITY OF TEXAS LAND TAXATION,1,VOTE FOR TAXING UNIVERSITY LAND,0.85
TX,El Paso Times,145300,1930,TX,CONSTITUTIONAL AMENDMENT,2,EXTENDING LEGISLATIVE TERM TO 120 DAYS,1,FOUR NEEDED AMENDMENTS,0.80
TX,El Paso Times,145300,1930,TX,CONSTITUTIONAL AMENDMENT,3,SUPREME COURT REFORM,1,FOUR NEEDED AMENDMENTS,0.80
TX,El Paso Times,145300,1930,TX,CONSTITUTIONAL AMENDMENT,4,WEST TEXAS COUNTY TAX FOR LOCAL PURPOSES,1,FOUR NEEDED AMENDMENTS,0.80
TX,El Paso Times,145300,1930,TX,CONSTITUTIONAL AMENDMENT,5,AUTHORIZING LEGISLATURE TO CREATE DISTRICTS,1,FOUR NEEDED AMENDMENTS,0.75
TX,El Paso Times,145300,1934,TX,CONSTITUTIONAL AMENDMENT,1,SJR 13 - TAX LIMIT CHANGES,1,TEXAS AMENDMENTS TO CONSTITUTION,0.75
TX,El Paso Times,145300,1934,TX,CONSTITUTIONAL AMENDMENT,2,SJR 21,1,TEXAS AMENDMENTS TO CONSTITUTION,0.75
TX,El Paso Times,145300,1934,TX,CONSTITUTIONAL AMENDMENT,3,SJR 32 - OFFICERS PAY,1,TEXAS AMENDMENTS TO CONSTITUTION,0.75
TX,El Paso Times,145300,1934,TX,CONSTITUTIONAL AMENDMENT,4,HJR 26 - CITIES COMBINE OFFICES,1,TEXAS AMENDMENTS TO CONSTITUTION,0.75
