state_newspaper,newspaper,newspaper_id,year,office,dist,dname,state_election,cand_name,party,endorsed,d_inc,r_inc,o_inc,notes_endorse,extraction_confidence
TX,Fort Worth Star-Telegram,145400,1960,SENATOR,,,TX,"JOHNSON, LYNDON",Democrat,1,1,,,Editorial 'Texas Needs Lyndon Johnson in Senate' - strongly favors re-election as Senate Majority Leader; also running for VP on Kennedy ticket,0.98
TX,Fort Worth Star-Telegram,145400,1960,PRESIDENT,,,TX,"NIXON, RICHARD",Republican,1,,,,Editorial references prior recommendation of Nixon/Lodge ticket,0.95
TX,Fort Worth Star-Telegram,145400,1960,VICE PRESIDENT,,,TX,"LODGE, HENRY CABOT",Republican,1,,,,Editorial references prior recommendation of Nixon/Lodge ticket,0.95
TX,Fort Worth Star-Telegram,145400,1962,GOVERNOR,,,TX,"CONNALLY, JOHN",Democrat,1,,,,Editorial 'Why We Favor Connally - The Better Man for Governor',0.98
TX,Fort Worth Star-Telegram,145400,1962,GOVERNOR,,,TX,"COX, JACK",Republican,0,,,,Star-Telegram had previously endorsed Cox in 1960 but shifted endorsement to Connally,0.95
TX,Fort Worth Star-Telegram,145400,1964,PRESIDENT,,,TX,"JOHNSON, LYNDON B",Democrat,1,1,,,Editorial summary 'Choosing Our Top Officials' lists him as Democratic endorsement,0.98
TX,Fort Worth Star-Telegram,145400,1964,GOVERNOR,,,TX,"CONNALLY, JOHN",Democrat,1,1,,,Editorial summary lists him as Democratic endorsement for Governor,0.98
TX,Fort Worth Star-Telegram,145400,1964,H,12,,TX,"WRIGHT, JIM",Democrat,1,1,,,Endorsed for 12th District Representative (Fort Worth),0.98
TX,Fort Worth Star-Telegram,145400,1964,SENATOR,,,TX,"BUSH, GEORGE",Republican,1,,,,"Listed as George P. Bush in OCR - actually George H.W. Bush, GOP nominee for US Senate 1964 against Yarborough",0.93
TX,Fort Worth Star-Telegram,145400,1964,H,AL,,TX,"HAYES, BILL",Republican,1,,,,Endorsed for Congressman at Large; addition to previously endorsed list,0.9
TX,Fort Worth Star-Telegram,145400,1966,SENATOR,,,TX,"CARR, WAGGONER",Democrat,1,,,,Editorial 'Carr Would Better Serve State Interest' - endorsed over John Tower,0.97
TX,Fort Worth Star-Telegram,145400,1966,SENATOR,,,TX,"TOWER, JOHN",Republican,0,,1,,Incumbent GOP senator opposed in favor of Carr,0.9
TX,Fort Worth Star-Telegram,145400,1968,PRESIDENT,,,TX,"HUMPHREY, HUBERT H",Democrat,1,,,,"Editorial 'Our Choices Again: HHH, Smith, Barnes' - endorsement of Humphrey/Muskie ticket",0.98
TX,Fort Worth Star-Telegram,145400,1968,VICE PRESIDENT,,,TX,"MUSKIE, EDMUND S",Democrat,1,,,,Endorsed for VP with Humphrey,0.98
TX,Fort Worth Star-Telegram,145400,1968,GOVERNOR,,,TX,"SMITH, PRESTON",Democrat,1,,,,Endorsed for Governor,0.97
TX,Fort Worth Star-Telegram,145400,1968,LT GOVERNOR,,,TX,"BARNES, BEN",Democrat,1,,,,Endorsed for Lt Governor (Speaker of the House Barnes),0.97
TX,Fort Worth Star-Telegram,145400,1970,SENATOR,,,TX,"BENTSEN, LLOYD",Democrat,1,,,,Editorial 'Here Are Our Choices For Tuesday's Voting' lists US Senate,0.97
TX,Fort Worth Star-Telegram,145400,1970,GOVERNOR,,,TX,"SMITH, PRESTON",Democrat,1,1,,,Endorsed for Governor (incumbent),0.97
TX,Fort Worth Star-Telegram,145400,1970,LT GOVERNOR,,,TX,"BARNES, BEN",Democrat,1,1,,,Endorsed for Lt Governor (incumbent),0.97
