state_newspaper,newspaper,newspaper_id,year,office,dist,dname,state_election,cand_name,party,endorsed,d_inc,r_inc,o_inc,notes_endorse,extraction_confidence
WA,Seattle Post-Intelligencer,149000,1964,GOVERNOR,,,WA,"ROSELLINI, ALBERT D.",Democrat,1,1,,,"P-I endorses Rosellini for re-election citing eight years of economic progress and stability, fiscal responsibility, and administrative ability.",0.95
WA,Seattle Post-Intelligencer,149000,1964,PRESIDENT,,,WA,"JOHNSON, LYNDON BAINES",Democrat,1,1,,,Editor's Report by William Randolph Hearst Jr. (Hearst Newspapers Editor-in-Chief) endorses Johnson as 'the better man for the job' over Goldwater.,0.90
WA,Seattle Post-Intelligencer,149000,1966,ASSESSOR,,King County,WA,"MORGAN, ALLEN B.",Nonpartisan,1,,,,Re-election of incumbent supported - good record of performance.,0.85
WA,Seattle Post-Intelligencer,149000,1966,AUDITOR,,King County,WA,"MORRIS, R. A. (BOBBY)",Nonpartisan,1,,,,Re-election of incumbent supported - good record of performance.,0.85
WA,Seattle Post-Intelligencer,149000,1966,CNTY CLERK,,King County,WA,"RENSCHLER, WALTER W.",Nonpartisan,1,,,,Re-election of incumbent supported - good record of performance.,0.85
WA,Seattle Post-Intelligencer,149000,1966,CNTY COMM,,King County,WA,"WALLACE, SCOTT",Democrat,1,1,,,"Should be re-elected King County Commissioner. Responsible for excellent county programs including flood control, parks, road improvements, air pollution controls. Opposed by Republican John D. Spellman.",0.95
WA,Seattle Post-Intelligencer,149000,1966,DA/PROSECUTOR,,King County,WA,"CARROLL, CHARLES O.",Republican,1,,1,,"Continuing as prosecuting attorney (held office 18 years); reputation for honesty, good record of convictions. Opposed by Democrat Philip R. Meade.",0.95
WA,Seattle Post-Intelligencer,149000,1966,H,1,,WA,"PELLY, TOM",Republican,1,,1,,Senior member of delegation; years of experience valuable; knows district issues. Opponent Alice Franklin Bryant has shown little knowledge of district issues.,0.95
WA,Seattle Post-Intelligencer,149000,1966,H,2,,WA,"MEEDS, LLOYD",Democrat,1,1,,,"Aggressive, knowledgeable and courageous in his freshman term; given the nod over Republican Eugene M. Smith on his record.",0.95
WA,Seattle Post-Intelligencer,149000,1966,H,3,,WA,"HANSEN, JULIA BUTLER",Democrat,1,1,,,Holds important positions on Interior and Appropriations Committees; valuable background. Opponent Keith Kisor has no political background.,0.95
WA,Seattle Post-Intelligencer,149000,1966,H,4,,WA,"MAY, CATHERINE",Republican,1,,1,,Conservative popular in agrarian district; tough fighter for constituents. Performance entitles her to continue in office over Dr. Gustav Ransmer.,0.95
WA,Seattle Post-Intelligencer,149000,1966,H,5,,WA,"FOLEY, THOMAS S.",Democrat,1,1,,,State's most knowledgeable legislator on water diversion and agriculture; one of the most outstanding young men in Congress. State cannot afford to lose his growing influence.,0.95
WA,Seattle Post-Intelligencer,149000,1966,H,6,,WA,"HICKS, FLOYD",Democrat,1,1,,,"Member of House Armed Services Committee, highly regarded by chairman. Favored over ex-Navy Capt. George Mahler for impact he has made on the job.",0.95
WA,Seattle Post-Intelligencer,149000,1966,H,7,,WA,"ADAMS, BROCK",Democrat,1,1,,,Aggressive and brilliant in his grasp of economic and urban problems; effective representation. Endorsed over James Munn.,0.95
