state_newspaper,newspaper,newspaper_id,year,state_election,prop_type,prop_num,prop_desc,endorsed,notes_endorse,extraction_confidence
WA,Seattle Post-Intelligencer,149000,1962,WA,AMENDMENT,SJR 21,Senate Joint Resolution 21 - Repeal of alien land law barring Asians from owning land in Washington,1,"P-I urges YES vote to repeal old, unfair, discriminatory land law.",0.95
WA,Seattle Post-Intelligencer,149000,1962,WA,REFERENDUM,32,Milk Marketing Act,0,"P-I urges NO vote on Referendum 32, opposing the Milk Marketing Act as opening the way to state price-fixing of milk.",0.95
WA,Seattle Post-Intelligencer,149000,1964,WA,INITIATIVE,I-215,Earmark unreclaimed boat gas taxes for waterfront marina land,1,P-I urges YES on Initiative 215 for outdoor recreation/marina development.,0.95
WA,Seattle Post-Intelligencer,149000,1964,WA,REFERENDUM,11,"$10 million bond issue for outdoor recreation lands (parks, game lands, roadside areas)",1,"P-I urges YES on Referendum 11 for outdoor recreation, companion to Initiative 215.",0.95
WA,Seattle Post-Intelligencer,149000,1964,WA,REFERENDUM,12,"$59 million bond issue for community colleges, vocational-technical schools, and public school construction",1,P-I urges YES on Referendum 12 for educational facilities funding.,0.95
WA,Seattle Post-Intelligencer,149000,1964,WA,REFERENDUM,13,"$4,600,000 bond issue to provide quarters for boys and girls committed by juvenile courts to state custody",1,P-I urges YES on Referendum 13 to fund decent housing for juvenile court wards.,0.95
WA,Seattle Post-Intelligencer,149000,1966,WA,AMENDMENT,HJR 39,Amend constitution requirement on publication of state debts text,1,Reasonable change - shortens publication period and requires publication of brief notices in all legal newspapers.,0.85
WA,Seattle Post-Intelligencer,149000,1966,WA,AMENDMENT,HJR 4,Allow new residents to vote for President and Vice-President if in state at least 60 days before election and intend to become permanent residents,1,Favor HJR 4.,0.95
WA,Seattle Post-Intelligencer,149000,1966,WA,AMENDMENT,HJR 7,Authorizes legislature to grant tax relief to retired persons,0,"Advocated NO vote - while sympathetic to retired persons facing tax increases, sets up dangerous precedent.",0.90
WA,Seattle Post-Intelligencer,149000,1966,WA,AMENDMENT,SJR 22,Common school construction fund expansion (Parts 1 and 2),1,Concur with legislature in favoring adoption - sensible financing program for school building.,0.90
WA,Seattle Post-Intelligencer,149000,1966,WA,AMENDMENT,SJR 25,Permit port districts to use funds for promotional purposes,1,"Voting YES on SJR 25 - allows port districts to compete with British Columbia, Oregon, California ports.",0.95
WA,Seattle Post-Intelligencer,149000,1966,WA,AMENDMENT,SJR 4,Repeal 77-year-old law preventing people from owning land until they become citizens,1,"Should repeal these restrictions, as Oregon and California have done.",0.95
WA,Seattle Post-Intelligencer,149000,1966,WA,AMENDMENT,SJR 6,Eliminate names of unopposed Superior Court judges from general election ballot,1,P-I is for it - simplifies and reduces election costs.,0.90
WA,Seattle Post-Intelligencer,149000,1966,WA,BOND,,$15 million King County Hospital remodeling bond issue (Harborview),1,"Previously endorsed for hospital facility critically in need of new equipment, mental health center, in-patient and out-patient care.",0.90
WA,Seattle Post-Intelligencer,149000,1966,WA,BOND,,$6 million County Library bond issue,1,Endorsed - to be voted on by voters in unincorporated areas served by County Library System; provides $12 million for 20 new libraries and remodeling existing structures.,0.90
WA,Seattle Post-Intelligencer,149000,1966,WA,INITIATIVE,I-226,Cities sharing sales/use taxes,1,Supported as practical means for meeting cities in municipal finances - one-tenth of state sales/use tax to cities/towns.,0.95
WA,Seattle Post-Intelligencer,149000,1966,WA,INITIATIVE,I-229,Repeal of Sunday blue law,1,Advocated repeal - Sunday blue law is archaic and ridiculous.,0.95
WA,Seattle Post-Intelligencer,149000,1966,WA,INITIATIVE,I-233,Repeals 1911 freight train crew law (firemen requirement),1,Spoke in favor of Initiative 233 - eliminates fireman requirement contrary to claim of opponents.,0.95
WA,Seattle Post-Intelligencer,149000,1966,WA,REFERENDUM,14,Public school construction matching funds,1,Wholeheartedly endorsed for new buildings to keep pace with growing school population.,0.95
WA,Seattle Post-Intelligencer,149000,1966,WA,REFERENDUM,15,State institutions construction,1,Wholeheartedly endorsed for state institutions construction matching funds.,0.95
WA,Seattle Post-Intelligencer,149000,1966,WA,REFERENDUM,16,Congressional Reapportionment and Redistricting,1,"Voting YES - revises congressional district boundaries for more equal population base in conformity with one-man, one-vote.",0.95
WA,Seattle Post-Intelligencer,149000,1968,WA,AMENDMENT,HJR 13,Compensation Increase,1,P-I Recommends - For,0.90
WA,Seattle Post-Intelligencer,149000,1968,WA,AMENDMENT,SJR 17,State Building Authority,1,P-I Recommends - For,0.90
WA,Seattle Post-Intelligencer,149000,1968,WA,AMENDMENT,SJR 23,Excess Levy Elections,1,P-I Recommends - For,0.90
WA,Seattle Post-Intelligencer,149000,1968,WA,AMENDMENT,SJR 24,Vacancy in Office,1,P-I Recommends - For,0.90
WA,Seattle Post-Intelligencer,149000,1968,WA,AMENDMENT,SJR 5,Pension Funds,1,P-I Recommends - For,0.90
WA,Seattle Post-Intelligencer,149000,1968,WA,AMENDMENT,SJR 6,Appellate Court,1,P-I Recommends - For,0.90
WA,Seattle Post-Intelligencer,149000,1968,WA,CHARTER,,King County Charter,1,P-I Recommends - For,0.90
WA,Seattle Post-Intelligencer,149000,1968,WA,INITIATIVE,I-242,Implied Consent,1,P-I Recommends - For,0.90
WA,Seattle Post-Intelligencer,149000,1968,WA,INITIATIVE,I-245,Service Charges,0,P-I Recommends - Against,0.85
WA,Seattle Post-Intelligencer,149000,1968,WA,INITIATIVE,I-32,State Timber,0,P-I Recommends - Against,0.85
WA,Seattle Post-Intelligencer,149000,1968,WA,MEASURE,,Taxation on Land Use,1,P-I Recommends - For,0.75
WA,Seattle Post-Intelligencer,149000,1968,WA,MEASURE,,Water Fluoridation,1,P-I Recommends - For,0.90
WA,Seattle Post-Intelligencer,149000,1968,WA,REFERENDUM,17,Pollution Control,1,P-I Recommends - For,0.90
WA,Seattle Post-Intelligencer,149000,1968,WA,REFERENDUM,18,Recreation Bonds,1,P-I Recommends - For,0.90
WA,Seattle Post-Intelligencer,149000,1968,WA,REFERENDUM,19,State Building Projects,1,P-I Recommends - For,0.90
WA,Seattle Post-Intelligencer,149000,1968,WA,REFERENDUM,35,Non-discrimination,1,P-I Recommends - For,0.90
WA,Seattle Post-Intelligencer,149000,1968,WA,SCHOOL LEVY,,Seattle School Levy,1,P-I Recommends - For,0.90
WA,Seattle Post-Intelligencer,149000,1970,WA,AMENDMENT,HJR 42,Revising Revenue Limitations,1,P-I YES,0.95
WA,Seattle Post-Intelligencer,149000,1970,WA,AMENDMENT,HJR 6,Establishing Voting Age at 19,1,P-I YES,0.95
WA,Seattle Post-Intelligencer,149000,1970,WA,CHARTER,1,"City Charter Amendment - Abolish Building Dept., Transfer Functions",1,P-I YES (Seattle City Charter),0.90
WA,Seattle Post-Intelligencer,149000,1970,WA,CHARTER,2,"City Charter Amendment - Abolish Transit Commission, Transfer Functions",1,P-I YES (Seattle City Charter),0.90
WA,Seattle Post-Intelligencer,149000,1970,WA,CHARTER,3,City Charter Amendment - Non-citizens Eligible For Civil Service,1,P-I YES (Seattle City Charter),0.90
WA,Seattle Post-Intelligencer,149000,1970,WA,INITIATIVE,I-251,State Taxation to Regulate Imposition,0,P-I NO,0.90
WA,Seattle Post-Intelligencer,149000,1970,WA,INITIATIVE,I-256,Prohibiting Certain Non-refundable Beverage Receptacles,0,P-I NO,0.90
WA,Seattle Post-Intelligencer,149000,1970,WA,REFERENDUM,20,Changes In Abortion Law,1,P-I YES,0.95
WA,Seattle Post-Intelligencer,149000,1970,WA,REFERENDUM,21,"Outdoor Recreation Bonds, Sales, Interest",1,P-I YES,0.95
WA,Seattle Post-Intelligencer,149000,1970,WA,REFERENDUM,22,"State Buildings Bonds, Sales, Interest",1,P-I YES,0.95
WA,Seattle Post-Intelligencer,149000,1970,WA,REFERENDUM,23,"Pollution Control Bonds, Sales, Interest",1,P-I YES,0.95
WA,Seattle Post-Intelligencer,149000,1972,WA,AMENDMENT,HJR 1,Tax Exemptions - Periodic Review - Repeal,1,P-I YES.,0.75
WA,Seattle Post-Intelligencer,149000,1972,WA,AMENDMENT,HJR 21,Allow Combined County-City Governments,1,P-I YES.,0.75
WA,Seattle Post-Intelligencer,149000,1972,WA,AMENDMENT,HJR 47,Changing Excess Levy Election Formula,1,P-I YES.,0.75
WA,Seattle Post-Intelligencer,149000,1972,WA,AMENDMENT,HJR 52,Changing Constitutional Debt Limitation Formula,1,P-I YES.,0.75
WA,Seattle Post-Intelligencer,149000,1972,WA,AMENDMENT,HJR 61,Sex Equality - Rights and Responsibilities (ERA),1,P-I YES on Equal Rights Amendment.,0.85
WA,Seattle Post-Intelligencer,149000,1972,WA,AMENDMENT,SJR 1,Property Taxation - 1% Constitutional Limitation,1,P-I YES.,0.75
WA,Seattle Post-Intelligencer,149000,1972,WA,AMENDMENT,SJR 38,Setting of County Officers' Salaries,1,P-I YES.,0.75
WA,Seattle Post-Intelligencer,149000,1972,WA,AMENDMENT,SJR 5,Permitting Authorization of Lotteries,1,P-I YES.,0.75
WA,Seattle Post-Intelligencer,149000,1972,WA,BOND,,"Seattle Proposition - Bridges, Roadway Trail Bonds",1,P-I PREFERS.,0.70
WA,Seattle Post-Intelligencer,149000,1972,WA,INITIATIVE,I-258,"Permit dog racing in Seattle, Tacoma and Spokane",1,P-I YES on Initiative 258; not opposed to a legwash.,0.70
WA,Seattle Post-Intelligencer,149000,1972,WA,INITIATIVE,I-261,Liquor sale by licensed retailers,0,P-I AGAINST,0.70
WA,Seattle Post-Intelligencer,149000,1972,WA,INITIATIVE,I-276,"Disclosure - Campaign Finance, Lobbying, Records",1,P-I YES on disclosure act.,0.90
WA,Seattle Post-Intelligencer,149000,1972,WA,INITIATIVE,I-40,Litter Control Act (Alternative),1,P-I PREFERS alternative.,0.70
WA,Seattle Post-Intelligencer,149000,1972,WA,INITIATIVE,I-43,Regulating Shoreline Use (Curtis Cities Greenbelt Boring Production),0,P-I against. Alternative is preferred (Shoreline Management Act).,0.75
WA,Seattle Post-Intelligencer,149000,1972,WA,INITIATIVE,I-44,Statutory Tax Limitation - 5%,0,P-I AGAINST.,0.75
WA,Seattle Post-Intelligencer,149000,1972,WA,MEASURE,,Alternative to I-43 - Shoreline Management Act,1,P-I PREFERS this alternative for shorelines management.,0.80
WA,Seattle Post-Intelligencer,149000,1972,WA,REFERENDUM,24,"Lobbyists Regulation, Registration and Reporting",1,P-I YES on lobbying reform.,0.85
WA,Seattle Post-Intelligencer,149000,1972,WA,REFERENDUM,25,Regulating Certain Election Campaign Financing,1,P-I YES.,0.80
