state_newspaper,newspaper,newspaper_id,year,state_election,prop_type,prop_num,prop_desc,endorsed,notes_endorse,extraction_confidence
WA,Seattle Times,149050,1962,WA,INITIATIVE,211,Legislative reapportionment for fair representation,1,Times urged voters to approve Initiative 211 for reapportionment,0.95
WA,Seattle Times,149050,1964,WA,CONSTITUTIONAL AMENDMENT,,Home rule for smaller cities,1,Favored,0.90
WA,Seattle Times,149050,1964,WA,INITIATIVE,215,Investments for the future to acquire marine and recreational sites,1,Favored,0.90
WA,Seattle Times,149050,1964,WA,REFERENDUM,12,Funds for school construction,1,Affirmative action advised,0.90
WA,Seattle Times,149050,1964,WA,REFERENDUM,13,Funds for replacement of two correctional institutions for boys and girls,1,Affirmative action advised,0.90
WA,Seattle Times,149050,1964,WA,REFERENDUM,34,Gambling-related referendum,0,Times advised vote AGAINST; would provide legal base for making gambling operations profitable,0.95
WA,Seattle Times,149050,1964,WA,REFERENDUM BILL,11,Investments for marine/recreational sites,1,Favored,0.90
WA,Seattle Times,149050,1964,WA,SPECIAL LEVY,,Seattle School District special levy for proper maintenance and operation,1,Affirmative action advised,0.90
WA,Seattle Times,149050,1966,WA,BOND,,King County Harborview Hospital Improvement Bonds,1,Times recommended Yes,0.95
WA,Seattle Times,149050,1966,WA,BOND,,"King County Libraries Bond Issue ($6,000,000)",1,Times recommended Yes,0.95
WA,Seattle Times,149050,1966,WA,HJR,39,Publication - State Laws Authorizing State Debt,1,Times recommended Yes,0.95
WA,Seattle Times,149050,1966,WA,HJR,7,Retired Persons' Property Tax Exemption,1,Times recommended Yes,0.95
WA,Seattle Times,149050,1966,WA,HJR (SUB),4,Voter Qualifications for Presidential Elections,1,Times recommended Yes,0.95
WA,Seattle Times,149050,1966,WA,INITIATIVE,226,Cities sharing sales tax,0,Times recommended Against,0.95
WA,Seattle Times,149050,1966,WA,INITIATIVE,229,Repealing Sunday Activities Blue Law,1,Times recommended For,0.95
WA,Seattle Times,149050,1966,WA,INITIATIVE,233,Repealing Freight Train Crew Law,1,Times recommended For,0.95
WA,Seattle Times,149050,1966,WA,LEVY,,"Seattle School District General Fund Special Levy ($16,390,000)",1,Times recommended Yes,0.95
WA,Seattle Times,149050,1966,WA,REFERENDUM BILL,14,Bonds for Public School Facilities,1,Times recommended For,0.95
WA,Seattle Times,149050,1966,WA,REFERENDUM BILL,15,Bonds for Public Institutions,1,Times recommended For,0.95
WA,Seattle Times,149050,1966,WA,REFERENDUM BILL,16,Congressional Reapportionment,1,Times recommended For,0.95
WA,Seattle Times,149050,1966,WA,SJR,20,Removing Limitation of Land Ownership,1,Times recommended Yes,0.95
WA,Seattle Times,149050,1966,WA,SJR,22 Part One,Establishing Common-School Construction Fund,1,Times recommended Yes,0.95
WA,Seattle Times,149050,1966,WA,SJR,22 Part Two,Investment of Permanent School Fund,1,Times recommended Yes,0.95
WA,Seattle Times,149050,1966,WA,SJR,25,Port Expenditures - Industrial Development Promotion,1,Times recommended Yes,0.95
WA,Seattle Times,149050,1966,WA,SJR (SUB),6,Election of Superior Court Judges,1,Times recommended Yes,0.95
WA,Seattle Times,149050,1968,WA,CHARTER,,Proposed King County Charter,1,For,0.90
WA,Seattle Times,149050,1968,WA,HJR,1,Taxation based on actual use,1,Yes,0.90
WA,Seattle Times,149050,1968,WA,HJR,13,Authorizing compensation increase during term,1,Yes,0.90
WA,Seattle Times,149050,1968,WA,INITIATIVE,242,Drivers' implied consent - intoxication tests,1,For,0.90
WA,Seattle Times,149050,1968,WA,INITIATIVE,245,Reducing maximum retail service charges,0,Against,0.90
WA,Seattle Times,149050,1968,WA,INITIATIVE,32,Local processing of state timber,0,Against,0.90
WA,Seattle Times,149050,1968,WA,LEVY,,"Seattle School District General fund special levy ($29,451,200)",1,Yes,0.90
WA,Seattle Times,149050,1968,WA,REFERENDUM,,City of Seattle Fluoridation of municipal water supply,1,Yes,0.90
WA,Seattle Times,149050,1968,WA,REFERENDUM,17,Water pollution control facilities bonds,1,For,0.90
WA,Seattle Times,149050,1968,WA,REFERENDUM,18,Bonds for outdoor recreation,1,For,0.90
WA,Seattle Times,149050,1968,WA,REFERENDUM,19,State building projects: Bond issue,1,For,0.90
WA,Seattle Times,149050,1968,WA,REFERENDUM,35,"Non-discrimination by realty brokers, salesmen",1,For,0.90
WA,Seattle Times,149050,1968,WA,SJR,17,Providing for State Building Authority,1,Yes,0.90
WA,Seattle Times,149050,1968,WA,SJR,23,Taxing districts: Excess levy elections,1,Yes,0.90
WA,Seattle Times,149050,1968,WA,SJR,24,"Vacancy: Legislative, county elective offices",1,Yes,0.90
WA,Seattle Times,149050,1968,WA,SJR,5,Investment of public pension funds,1,Yes,0.90
