state_newspaper,newspaper,newspaper_id,year,office,dist,dname,state_election,cand_name,party,endorsed,d_inc,r_inc,o_inc,notes_endorse,extraction_confidence
WI,Appleton Post-Crescent,150250,1960,H,8,,WI,"BYRNES, JOHN W.",Republican,1,,1,,"WI-8 incumbent since 1944, ninth term; ranking Republican on Ways & Means; chairman House Republican Policy committee; endorsed for re-election | Phase 2 endorsement-direction verified: OCR (1960)",0.95
WI,Appleton Post-Crescent,150250,1960,H,8,,WI,"SINGLER, MILO",Democrat,0,,,,WI-8; no experience in office; not endorsed | Phase 9 e=0 verified: opponent/non-endorsement (OCR 1960),0.95
WI,Appleton Post-Crescent,150250,1960,PRESIDENT,,,WI,"NIXON, RICHARD M.",Republican,1,,,,endorsed; tested by fire as Vice President; foreign affairs experience; preferred over Kennedy | Phase 2 endorsement-direction verified: OCR (1960),0.95
WI,Appleton Post-Crescent,150250,1960,PRESIDENT,,,WI,"KENNEDY, JOHN F.",Democrat,0,,,,Senator; not endorsed; concerns about foreign policy inexperience and Democratic spending tendencies | Phase 9 e=0 verified: opponent/non-endorsement (OCR 1960),0.95
WI,Appleton Post-Crescent,150250,1960,VICE PRESIDENT,,,WI,"LODGE, HENRY CABOT",Republican,1,,,,Ambassador; Nixon's running mate; experienced in foreign affairs; endorsed as VP | Phase 2 endorsement-direction verified: OCR (1960),0.95
WI,Appleton Post-Crescent,150250,1960,VICE PRESIDENT,,,WI,"JOHNSON, LYNDON B.",Democrat,0,,,,"Senate majority leader; Kennedy running mate; criticized for dictatorial methods, lack of foreign affairs experience | Phase 9 e=0 verified: opponent/non-endorsement (OCR 1960)",0.95
WI,Appleton Post-Crescent,150250,1962,H,6,,WI,"VAN PELT, WILLIAM K.",Republican,1,,1,,"WI-6 incumbent, sixth term; endorsed without reservation | Phase 2 endorsement-direction verified: OCR (1962)",0.95
WI,Appleton Post-Crescent,150250,1962,H,7,,WI,"LAIRD, MELVIN R.",Republican,1,,1,,"WI-7 incumbent, fifth term; on Agriculture and Appropriations committees; endorsed without reservation | Phase 2 endorsement-direction verified: OCR (1962)",0.95
WI,Appleton Post-Crescent,150250,1962,H,8,,WI,"BYRNES, JOHN W.",Republican,1,,1,,"WI-8 incumbent, ninth term; chairman Republican Policy Committee; if reelected will be ranking Republican on Ways and Means; endorsed without reservation | Phase 2 endorsement-direction verified: OCR (1962)",0.95
WI,Appleton Post-Crescent,150250,1962,GOVERNOR,,,WI,"KUEHN, PHILIP G.",Republican,1,,,,Post-Crescent supports Kuehn for governor; businessman; supports general sales tax program; endorsed | Phase 2 endorsement-direction verified: OCR (1962),0.95
WI,Appleton Post-Crescent,150250,1962,GOVERNOR,,,WI,"REYNOLDS, JOHN W.",Democrat,0,,,,Attorney General; opposed sales tax; vague tax program; not endorsed | Phase 9 e=0 verified: opponent/non-endorsement (OCR 1962),0.95
WI,Appleton Post-Crescent,150250,1962,LT GOVERNOR,,,WI,"CARLEY, DAVID",Democrat,0,,,,Democratic candidate for Lt Governor; head of Department of Resource Development; mentioned but no endorsement made; concern raised about D Lt Gov with R Governor | Phase 9 e=0 verified: opponent/non-endorsement (OCR 1962),0.8
WI,Appleton Post-Crescent,150250,1962,SENATOR,,,WI,"WILEY, ALEXANDER",Republican,0,,1,,"incumbent US Senator; ranking R on Senate Foreign Relations & Judiciary; APC declined to firmly endorse, noted seniority value but criticized lack of firm positions; if voter values party, Wiley | Phase 9 e=0 verified: opponent/non-endorsement (OCR 1962)",0.8
WI,Appleton Post-Crescent,150250,1962,SENATOR,,,WI,"NELSON, GAYLORD",Democrat,1,,,,"Governor; if 'the man himself' is the criterion, Nelson has 'the most to offer'; intelligent, personable, well-thought-out positions; APC endorses Nelson on basis of personal merit | Phase 2 endorsement-direction verified: OCR (1962)",0.95
WI,Appleton Post-Crescent,150250,1964,PRESIDENT,,,WI,"JOHNSON, LYNDON B.",Democrat,1,1,,,incumbent President; APC endorses; 'first time we have supported a Democrat for President since 1932'; viewed Goldwater as too extreme | Phase 2 endorsement-direction verified: OCR (1964),0.95
WI,Appleton Post-Crescent,150250,1964,PRESIDENT,,,WI,"GOLDWATER, BARRY M.",Republican,0,,,,Republican nominee; not endorsed; APC viewed his positions as too extreme; hope for new Republican leadership to challenge Democrats in 1968 | Phase 9 e=0 verified: opponent/non-endorsement (OCR 1964),0.95
WI,Appleton Post-Crescent,150250,1964,GOVERNOR,,,WI,"KNOWLES, WARREN P.",Republican,1,,,,"former Lt Governor, state senator, St Croix County Board; endorsed; thoughtful conservative program; economic growth focus | Phase 2 endorsement-direction verified: OCR (1964)",0.95
WI,Appleton Post-Crescent,150250,1964,GOVERNOR,,,WI,"REYNOLDS, JOHN W.",Democrat,0,1,,,"incumbent Governor; previously twice elected Attorney General; criticized for blind spot on state fiscal affairs, sales tax demagoguery; not endorsed | Phase 9 e=0 verified: opponent/non-endorsement (OCR 1964)",0.95
WI,Appleton Post-Crescent,150250,1964,H,8,,WI,"BYRNES, JOHN W.",Republican,1,,1,,WI-8 incumbent; chairman House Republican policy committee; endorsed for re-election | Phase 2 endorsement-direction verified: OCR (1964),0.95
WI,Appleton Post-Crescent,150250,1964,H,7,,WI,"LAIRD, MELVIN R.",Republican,1,,1,,WI-7 incumbent; chairman Republican platform committee; endorsed for re-election | Phase 2 endorsement-direction verified: OCR (1964),0.95
WI,Appleton Post-Crescent,150250,1964,H,6,,WI,"VAN PELT, WILLIAM K.",Republican,1,,1,,WI-6 incumbent; conservative voting record matches district; endorsed for re-election; some criticism on civil rights vote | Phase 2 endorsement-direction verified: OCR (1964),0.95
WI,Appleton Post-Crescent,150250,1966,GOVERNOR,,,WI,"KNOWLES, WARREN P.",Republican,1,,1,,"incumbent Governor; endorsed for second term on basis of strong first-term record (higher ed, anti-pollution law, fair housing, county industrial dev, highway safety) | Phase 2 endorsement-direction verified: OCR (1966)",0.95
WI,Appleton Post-Crescent,150250,1966,GOVERNOR,,,WI,"LUCEY, PATRICK J.",Democrat,0,,,,current Lt Governor; ran a good campaign; impressed APC board with knowledge and sincerity; but not endorsed - Knowles has the record | Phase 9 e=0 verified: opponent/non-endorsement (OCR 1966),0.95
WI,Appleton Post-Crescent,150250,1966,H,8,,WI,"BYRNES, JOHN W.",Republican,1,,1,,"WI-8 incumbent, 11 terms; senior R on Ways & Means; influential on Medicare and Social Security; endorsed against Dr Marvin Kagen (D) | Phase 2 endorsement-direction verified: OCR (1966)",0.95
WI,Appleton Post-Crescent,150250,1966,H,8,,WI,"KAGEN, MARVIN",Democrat,0,,,,WI-8 Democratic challenger; serious well-organized campaign but not endorsed | Phase 9 e=0 verified: opponent/non-endorsement (OCR 1966),0.95
WI,Appleton Post-Crescent,150250,1966,H,7,,WI,"LAIRD, MELVIN R.",Republican,1,,1,,"WI-7 incumbent, eighth term; chairman House Republican Conference; House Appropriations Committee; endorsed | Phase 2 endorsement-direction verified: OCR (1966)",0.95
WI,Appleton Post-Crescent,150250,1966,H,6,,WI,"STEIGER, WILLIAM A.",Republican,1,,,,"WI-6; state legislator; endorsed against incumbent John Race (D); outstanding record, brightest young men in state legislature | Phase 2 endorsement-direction verified: OCR (1966)",0.95
WI,Appleton Post-Crescent,150250,1966,H,6,,WI,"RACE, JOHN A.",Democrat,0,1,,,WI-6 incumbent Democrat; voted with Johnson Admin; not endorsed | Phase 9 e=0 verified: opponent/non-endorsement (OCR 1966),0.95
WI,Appleton Post-Crescent,150250,1968,PRESIDENT,,,WI,"NIXON, RICHARD M.",Republican,1,,,,former Vice President; endorsed; tested by fire; sound on foreign policy; supports cutbacks in domestic spending | Phase 2 endorsement-direction verified: OCR (1968),0.95
WI,Appleton Post-Crescent,150250,1968,PRESIDENT,,,WI,"HUMPHREY, HUBERT H.",Democrat,0,,,,incumbent Vice President; charged with complicity in failures of Johnson administration; not endorsed | Phase 9 e=0 verified: opponent/non-endorsement (OCR 1968),0.95
WI,Appleton Post-Crescent,150250,1968,VICE PRESIDENT,,,WI,"AGNEW, SPIRO T.",Republican,1,,,,"Nixon's running mate; APC surprised by choice but does not view in negative light, does not impair endorsement of Nixon | Phase 2 endorsement-direction verified: OCR (1968)",0.95
WI,Appleton Post-Crescent,150250,1968,PRESIDENT,,,WI,"WALLACE, GEORGE C.",American Independent,0,,,,American Independent Party candidate; not endorsed; mentioned as third-party challenger | Phase 9 e=0 verified: opponent/non-endorsement (OCR 1968),0.95
WI,Appleton Post-Crescent,150250,1968,SENATOR,,,WI,"NELSON, GAYLORD",Democrat,1,1,,,incumbent US Senator; APC defends its endorsement of Nelson against criticism from Chicago Tribune; reaffirms endorsement | Phase 2 endorsement-direction verified: OCR (1968),0.95
WI,Appleton Post-Crescent,150250,1968,SENATOR,,,WI,"LEONARD, JERRIS",Republican,0,,,,Republican challenger; not endorsed; APC says no major differences on basic principles with Nelson found in interview | Phase 9 e=0 verified: opponent/non-endorsement (OCR 1968),0.95
WI,Appleton Post-Crescent,150250,1968,H,8,,WI,"BYRNES, JOHN W.",Republican,1,,1,,WI-8 incumbent; would become chairman of Ways and Means if Republicans take House; author of Medicare optional insurance section; heartily supported | Phase 2 endorsement-direction verified: OCR (1968),0.95
WI,Appleton Post-Crescent,150250,1968,H,7,,WI,"LAIRD, MELVIN R.",Republican,1,,1,,WI-7 incumbent; House Appropriations Committee; chairman Republican Conference; principal architect of tax surcharge compromise; heartily supported | Phase 2 endorsement-direction verified: OCR (1968),0.95
WI,Appleton Post-Crescent,150250,1968,H,6,,WI,"STEIGER, WILLIAM A.",Republican,1,,1,,WI-6 incumbent freshman; made definite mark in first term; outstanding promise; heartily supported | Phase 2 endorsement-direction verified: OCR (1968),0.95
WI,Appleton Post-Crescent,150250,1972,PRESIDENT,,,WI,"NIXON, RICHARD M.",Republican,1,,1,,"incumbent President; endorsed for second term; achievements in foreign policy (China, USSR, SALT); domestic record solid Pattern K fix. | Phase 2 endorsement-direction verified: OCR (1972)",0.95
WI,Appleton Post-Crescent,150250,1972,PRESIDENT,,,WI,"MCGOVERN, GEORGE",Democrat,0,,,,Senator; total lack of administrative experience; proposals didn't meet test of practicality; not endorsed | Phase 9 e=0 verified: opponent/non-endorsement (OCR 1972),0.95
WI,Appleton Post-Crescent,150250,1978,STATE REP,42,,WI,"PROSSER, DAVID",Republican,1,,,,Assembly 42nd District (Appleton); former DA Outagamie; worked for Reps Byrnes and Froehlich; endorsed as fine representative for Appleton | Phase 2 endorsement-direction verified: OCR (1978),0.95
WI,Appleton Post-Crescent,150250,1978,STATE REP,5,,WI,"ROGERS, BILL",Democrat,1,1,,,Assembly 5th District; incumbent; unopposed for reelection; APC notes his capable job and leadership positions; gives Fox Cities clout in Madison Pattern K fix. | Phase 2 endorsement-direction verified: OCR (1978),0.95
WI,Appleton Post-Crescent,150250,1978,STATE REP,41,,WI,"CONRADT, ERVIN (BUTCH)",Republican,1,,1,,Assembly 41st District; APC favors; capably represented rural constituency for years | Phase 2 endorsement-direction verified: OCR (1978),0.95
WI,Appleton Post-Crescent,150250,1978,STATE REP,40,,WI,"BEYERS, FRANCIS R.",Republican,1,,1,,Assembly 40th District; APC favors; capably represented rural constituency | Phase 2 endorsement-direction verified: OCR (1978),0.95
WI,Appleton Post-Crescent,150250,1978,SEC OF STATE,,,WI,"SEEFELDT, FRED",Republican,1,,,,Neenah; home secretary for Rep William Steiger for 9 years; endorsed over Vel Phillips | Phase 2 endorsement-direction verified: OCR (1978),0.95
WI,Appleton Post-Crescent,150250,1978,SEC OF STATE,,,WI,"PHILLIPS, VEL",Democrat,0,,,,former assemblywoman and Milwaukee county judge; not endorsed; APC supports local candidate Seefeldt over Milwaukee opponent | Phase 9 e=0 verified: opponent/non-endorsement (OCR 1978),0.95
WI,Appleton Post-Crescent,150250,1978,GOVERNOR,,,WI,"DREYFUS, LEE S.",Republican,1,,,,"Republican candidate; UW-Stevens Point chancellor; APC opts for Dreyfus over Schreiber; supports collecting only what's needed for essential services, moratorium on tax collections | Phase 2 endorsement-direction verified: OCR (1978)",0.95
WI,Appleton Post-Crescent,150250,1978,GOVERNOR,,,WI,"SCHREIBER, MARTIN J.",Democrat,0,1,,,incumbent (acting) Governor; Democratic candidate; not endorsed; APC disagrees with using tax surplus for redistribution programs | Phase 9 e=0 verified: opponent/non-endorsement (OCR 1978),0.95
WI,Appleton Post-Crescent,150250,1978,H,8,,WI,"ROTH, TOBY",Republican,1,,,,WI-8; endorsed for Congress over Cornell; APC believes he would be an able representative and valuable ally for Rep Steiger | Phase 2 endorsement-direction verified: OCR (1978),0.95
WI,Appleton Post-Crescent,150250,1978,H,8,,WI,"CORNELL, ROBERT J.",Democrat,0,1,,,WI-8 incumbent (two terms); criticized for following Democratic party line on spending; held accountable for inflation and deficits; not endorsed | Phase 9 e=0 verified: opponent/non-endorsement (OCR 1978),0.95
WI,Appleton Post-Crescent,150250,1980,SENATOR,,,WI,"KASTEN, ROBERT W.",Republican,1,,,,former House member (one term); endorsed for Senate over Nelson; would strengthen WI commitment to conservative change in national policy | Phase 2 endorsement-direction verified: OCR (1980),0.95
WI,Appleton Post-Crescent,150250,1980,SENATOR,,,WI,"NELSON, GAYLORD",Democrat,0,1,,,incumbent US Senator; distinguished career as Governor and Senator; but liberal philosophy out of step; not endorsed | Phase 9 e=0 verified: opponent/non-endorsement (OCR 1980),0.95
WI,Appleton Post-Crescent,150250,1980,H,8,,WI,"ROTH, TOBY",Republican,1,,1,,WI-8 incumbent; performed up to commitments; identified with Republican philosophy; endorsed for re-election over Monfils | Phase 2 endorsement-direction verified: OCR (1980),0.95
WI,Appleton Post-Crescent,150250,1980,H,8,,WI,"MONFILS, MIKE",Democrat,0,,,,WI-8 Democratic challenger; not endorsed | Phase 9 e=0 verified: opponent/non-endorsement (OCR 1980),0.95
WI,Appleton Post-Crescent,150250,1980,H,6,,WI,"PETRI, TOM",Republican,1,,1,,WI-6 incumbent (won special election after Steiger's death); endorsed for re-election over Goyke | Phase 2 endorsement-direction verified: OCR (1980),0.95
WI,Appleton Post-Crescent,150250,1980,H,6,,WI,"GOYKE, GARY",Democrat,0,,,,WI-6 Democratic challenger; not endorsed | Phase 9 e=0 verified: opponent/non-endorsement (OCR 1980),0.95
WI,Appleton Post-Crescent,150250,1982,GOVERNOR,,,WI,"EARL, ANTHONY S. (TONY)",Democrat,1,,,,Democratic candidate; experienced; endorsed for Governor over Terry Kohler | Phase 2 endorsement-direction verified: VISION (1982),0.95
WI,Appleton Post-Crescent,150250,1982,GOVERNOR,,,WI,"KOHLER, TERRY J.",Republican,0,,,,Republican candidate; not endorsed | Phase 9 e=0 verified: opponent/non-endorsement (VISION 1982),0.95
WI,Appleton Post-Crescent,150250,1982,LT GOVERNOR,,,WI,"FLYNN, JAMES T. (JIM)",Democrat,1,,,,Democratic candidate for Lt Governor; endorsed as Earl's lieutenant; lawyer; representative since 1973 | Phase 2 endorsement-direction verified: VISION (1982),0.95
WI,Appleton Post-Crescent,150250,1982,H,8,,WI,"ROTH, TOBY",Republican,1,,1,,WI-8 incumbent; supported by Post-Crescent for re-election | Phase 2 endorsement-direction verified: VISION (1982),0.95
WI,Appleton Post-Crescent,150250,1982,H,8,,WI,"CLAUSEN, ROBERT (BOB)",Democrat,0,,,,WI-8 Democratic challenger; not endorsed by main editorial; a minority opinion column favored Clausen | Phase 9 e=0 verified: opponent/non-endorsement (VISION 1982),0.95
WI,Appleton Post-Crescent,150250,1982,H,6,,WI,"PETRI, TOM",Republican,1,,1,,WI-6 incumbent; endorsed for re-election | Phase 2 endorsement-direction verified: VISION (1982),0.95
WI,Appleton Post-Crescent,150250,1982,STATE SENATOR,19,,WI,"ELLIS, MICHAEL G.",Republican,0,,,,"Phase 10 CONFIRMED vision: genuine NON-endorsement — ""The Post-Crescent respectfully declines to make an outright endorsement... would be happy to have either."" Both E=0 correct. | 1982-NOV-02 Post-Crescent 'And for the state Legislature' section — PDF resolution too low for OCR to verify (Phase 5 attempted re-extraction). Likely '19th Senate District' (Ellis was incumbent there starting 1986; he may have first run in 1982). Both both currently coded end=0 may reflect explicit non-endorsement, but PDF resolution prevents confirmation. Flag for higher-resolution rescan. | Phase 9 e=0 verified: opponent/non-endorsement (VISION 1982)",0.9
WI,Appleton Post-Crescent,150250,1982,STATE SENATOR,19,,WI,"GOYKE, GARY",Democrat,0,,,,"Phase 10 CONFIRMED vision: genuine NON-endorsement — ""The Post-Crescent respectfully declines to make an outright endorsement... would be happy to have either."" Both E=0 correct. | 1982-NOV-02 Post-Crescent 'And for the state Legislature' section — PDF resolution too low for OCR to verify (Phase 5 attempted re-extraction). Likely '19th Senate District' (Ellis was incumbent there starting 1986; he may have first run in 1982). Both both currently coded end=0 may reflect explicit non-endorsement, but PDF resolution prevents confirmation. Flag for higher-resolution rescan. | Phase 9 e=0 verified: opponent/non-endorsement (VISION 1982)",0.9
WI,Appleton Post-Crescent,150250,1984,H,8,,WI,"ROTH, TOBY",Republican,1,,1,,"WI-8 incumbent, three terms; deserves re-election; fifth ranking R on House Foreign Affairs Committee; hard-working representative | Phase 2 endorsement-direction verified: OCR (1984)",0.95
WI,Appleton Post-Crescent,150250,1984,H,8,,WI,"WILLEMS, PAUL",Democrat,0,,,,WI-8 Democratic challenger from Green Bay; energetic and knowledgeable but not endorsed | Phase 9 e=0 verified: opponent/non-endorsement (OCR 1984),0.95
