state_newspaper,newspaper,newspaper_id,year,state_election,prop_type,prop_num,prop_desc,endorsed,notes_endorse,extraction_confidence
WI,Appleton Post-Crescent,150250,1978,WI,LOCAL BOND,,Appleton $4.2 million bond issue to build a new library,1,Editor's notebook column (View magazine editor) urges YES vote on library bonding referendum,0.95
WI,Appleton Post-Crescent,150250,1986,WI,SCHOOL BOND,,"Appleton Area School District $8 million bond referendum for new elementary school in Town of Grand Chute, West High improvements, classrooms at Columbus and Badger schools",1,"Urged 'yes' vote; would raise tax on $50,000 home from $30 to $53.50 then $38.50 the following year",0.95
WI,Appleton Post-Crescent,150250,1990,WI,ADVISORY,,Advisory referendum on whether future state spending mandates on local governments should be accompanied by state funding (unfunded mandates),1,Recommend yes vote to send message to Madison; though in many counties wording is broader than Winnebago's,0.95
WI,Appleton Post-Crescent,150250,1992,WI,CONSTITUTIONAL AMENDMENT,,Residential property-tax reduction: amend Section 1 of Article VIII of the Constitution so that the Legislature may reduce property taxes on residential and agricultural real property by authorizing credits against income taxes or payments from state revenues,0,Urged no vote; would shift tax burden to business/industry; Minnesota tried similar approach and is ruing it,0.95
WI,Appleton Post-Crescent,150250,1992,WI,ADVISORY,,Outagamie and Calumet County advisory referendums on whether Army Corps of Engineers should continue to maintain Fox River locks system,1,"Recommend yes vote to send message to feds about the importance of maintaining locks; Outagamie and Calumet each would pay approx. $25,000/year if responsibility shifts to counties",0.95
WI,Appleton Post-Crescent,150250,1998,WI,CONSTITUTIONAL AMENDMENT,,"Right to Bear Arms: shall section 25 of article I of the constitution be created to declare that the people have the right to keep and bear arms for security, defense, hunting, recreation or any other lawful purpose?",0,Urged no vote; question worded too vaguely; assumes problem that doesn't exist; could lead to litigation; no need to add to state constitution,0.95
WI,Appleton Post-Crescent,150250,1998,WI,SCHOOL BOND,,Brillion Public School District: $11.1 million for a new high school plus $2.4 million for an auditorium ($13 million total bond),1,"Third time in 18 months; urged yes vote; favored the Levash site (Cnty HR and US 10); good local industrial base (Brillion Iron Works, Ariens, Endries) needs strong schools",0.95
WI,Appleton Post-Crescent,150250,1998,WI,SCHOOL BOND,,Weyauwega-Fremont School District: $11.7 million referendum to enlarge and enhance existing facilities,1,"Urged yes vote; would raise $100,000 home property tax $263; state provides two-thirds funding; computer labs needed; vote yes Nov. 3",0.95
WI,Appleton Post-Crescent,150250,2004,WI,SCHOOL REFERENDUM,,Kimberly school referendum,1,Election 2004 Our Endorsements box; Kimberly school referendum: Yes,0.95
WI,Appleton Post-Crescent,150250,2006,WI,MARRIAGE AMENDMENT,,State marriage amendment referendum,0,Post-Crescent endorsed No on state marriage amendment referendum,0.95
WI,Appleton Post-Crescent,150250,2006,WI,DEATH PENALTY ADVISORY,,State death penalty advisory referendum,0,Post-Crescent endorsed No on state death penalty advisory referendum,0.95
WI,Appleton Post-Crescent,150250,2006,WI,SMOKING BAN,,Appleton workplace smoking ban referendum,0,Post-Crescent endorsed No on Appleton workplace smoking ban referendum,0.95
WI,Appleton Post-Crescent,150250,2006,WI,SCHOOL SPENDING,,Neenah school spending referendum,1,Post-Crescent endorsed Yes on Neenah school spending referendum,0.95
WI,Appleton Post-Crescent,150250,2010,WI,TRANSPORTATION FUND TRANSFER,,"Should the Wisconsin constitution be amended to prohibit any further transfers or lapses from the segregated transportation fund? (advisory referendum in 53 counties including Outagamie, Winnebago, Calumet, Waupaca)",0,'Vote no on fund transfer referendum'; recommend No - strictly advisory; transfers used as last resort; state constitution shouldn't lock in ban; idea is misguided,0.95
