state_newspaper,newspaper,newspaper_id,year,office,dist,dname,state_election,cand_name,party,endorsed,d_inc,r_inc,o_inc,notes_endorse,extraction_confidence
WI,Madison Capital Times,150701,1928,ATTORNEY GENERAL,,DANE COUNTY,WI,"REYNOLDS, JOHN W.",Republican,1,,,,ATTORNEY GENERAL,
WI,Madison Capital Times,150701,1928,GOVERNOR,,DANE COUNTY,WI,"SCHMEDEMAN, ALBERT G.",Democrat,1,,,,GOVERNOR,
WI,Madison Capital Times,150701,1928,LT GOVERNOR,,DANE COUNTY,WI,"HUBER, HENRY A.",Republican,1,,,,LIEUT. GOVERNOR,
WI,Madison Capital Times,150701,1928,PRESIDENT,,DANE COUNTY,WI,"SMITH, ALFRED E.",Democrat,1,,,,PRESIDENT - PROGRESSIVES PLACE CROSS OPPOSITE SMITH,
WI,Madison Capital Times,150701,1928,SEC OF STATE,,DANE COUNTY,WI,"DAMMANN, THEODORE",Republican,1,,,,SECRETARY OF STATE,
WI,Madison Capital Times,150701,1928,SENATOR,,DANE COUNTY,WI,"LA FOLLETTE, ROBERT M. JR.",Republican,1,,,,U.S. SENATE,
WI,Madison Capital Times,150701,1928,STATE REP,3,DANE COUNTY,WI,"BAKER, A.J.",Republican,1,,,,ASSEMBLY 3RD DISTRICT,
WI,Madison Capital Times,150701,1928,STATE REP,2,DANE COUNTY,WI,"HANSON, J.C.",Republican,1,,,,ASSEMBLY 2ND DISTRICT,
WI,Madison Capital Times,150701,1928,STATE REP,1,DANE COUNTY,WI,"REIS, ALVIN C.",Republican,1,,,,ASSEMBLY MADISON DISTRICT,
WI,Madison Capital Times,150701,1928,STATE SENATOR,,DANE COUNTY,WI,"ROBERTS, GLENN D.",Republican,1,,,,STATE SENATOR DANE COUNTY,
WI,Madison Capital Times,150701,1928,TREASURER,,DANE COUNTY,WI,"LEVITAN, SOLOMON",Republican,1,,,,STATE TREASURER,
WI,Madison Capital Times,150701,1930,GOVERNOR,,DANE COUNTY,WI,"LA FOLLETTE, PHILIP F.",Republican,1,,,,GOVERNOR - PROGRESSIVE - ANSWER TO ATTACKS ON LA FOLLETTE,
WI,Madison Capital Times,150701,1930,STATE SENATOR,,DANE COUNTY,WI,"CLIFFORD, EUGENE A.",Democrat,1,,,,STATE SENATOR - PROGRESSIVE DEMOCRAT - OPPOSING REACTIONARY MARKHAM,
WI,Madison Capital Times,150701,1932,ATTORNEY GENERAL,,DANE COUNTY,WI,"FINNEGAN, JAMES E.",Democrat,1,,,,ATTORNEY GENERAL,
WI,Madison Capital Times,150701,1932,GOVERNOR,,DANE COUNTY,WI,"SCHMEDEMAN, A.G.",Democrat,1,,,,GOVERNOR - MAYOR OF MADISON,
WI,Madison Capital Times,150701,1932,H,2,DANE COUNTY,WI,"HENNEY, C.W.",Democrat,1,,,,SECOND DISTRICT CONGRESSMAN,
WI,Madison Capital Times,150701,1932,LT GOVERNOR,,DANE COUNTY,WI,"O'MALLEY, THOMAS",Democrat,1,,,,LIEUTENANT GOVERNOR,
WI,Madison Capital Times,150701,1932,PRESIDENT,,DANE COUNTY,WI,"ROOSEVELT, FRANKLIN D.",Democrat,1,,,,PRESIDENT - VOTE FOR ROOSEVELT AND GARNER,
WI,Madison Capital Times,150701,1932,SEC OF STATE,,DANE COUNTY,WI,"DAMMANN, THEODORE",Republican,1,,,,SECRETARY OF STATE,
WI,Madison Capital Times,150701,1932,SENATOR,,DANE COUNTY,WI,"DUFFY, F. RYAN",Democrat,1,,,,U.S. SENATOR DEMOCRATIC COLUMN,
WI,Madison Capital Times,150701,1932,STATE REP,3,DANE COUNTY,WI,"BAKER, ALBERT J.",Republican,1,,,,THIRD DISTRICT ASSEMBLYMAN,
WI,Madison Capital Times,150701,1932,STATE REP,1,DANE COUNTY,WI,"BIEBERSTEIN, ADOLPH J.",Democrat,1,,,,FIRST DISTRICT ASSEMBLYMAN,
WI,Madison Capital Times,150701,1932,STATE REP,2,DANE COUNTY,WI,"HANSON, JAMES C.",Republican,1,,,,SECOND DISTRICT ASSEMBLYMAN,
WI,Madison Capital Times,150701,1932,STATE SENATOR,,DANE COUNTY,WI,"REIS, ALVIN C.",Republican,1,,,,DANE COUNTY STATE SENATOR,
WI,Madison Capital Times,150701,1932,TREASURER,,DANE COUNTY,WI,"HENRY, ROBERT K.",Democrat,1,,,,STATE TREASURER,
WI,Madison Capital Times,150701,1934,ASSESSOR,,DANE COUNTY,WI,"DAHLEN, ANDREW",Progressive,1,,,,SURVEYOR,
WI,Madison Capital Times,150701,1934,ATTORNEY GENERAL,,DANE COUNTY,WI,"WYLIE, FRED M.",Progressive,1,,,,ATTORNEY-GENERAL,
WI,Madison Capital Times,150701,1934,CNTY CLERK,,DANE COUNTY,WI,"JOHNSON, AUSTIN N.",Progressive,1,,,,COUNTY CLERK,
WI,Madison Capital Times,150701,1934,CORONER,,DANE COUNTY,WI,"FISHER, EDWARD ACE",Progressive,1,,,,CORONER,
WI,Madison Capital Times,150701,1934,DA/PROSECUTOR,,DANE COUNTY,WI,"BEGGS, LYALL T.",Progressive,1,,,,DISTRICT ATTORNEY,
WI,Madison Capital Times,150701,1934,GOVERNOR,,DANE COUNTY,WI,"LA FOLLETTE, PHILIP F.",Progressive,1,,,,GOVERNOR - PROGRESSIVE TICKET,
WI,Madison Capital Times,150701,1934,H,2,DANE COUNTY,WI,"SAUTHOFF, HARRY",Progressive,1,,,,CONGRESS 2ND DISTRICT,
WI,Madison Capital Times,150701,1934,JUDGE,,DANE COUNTY,WI,"ANDERSON, MARIE C.",Progressive,1,,,,CLERK OF CIRCUIT COURT,
WI,Madison Capital Times,150701,1934,LT GOVERNOR,,DANE COUNTY,WI,"GUNDERSON, HENRY A.",Progressive,1,,,,LIEUTENANT GOVERNOR,
WI,Madison Capital Times,150701,1934,RECORDER,,DANE COUNTY,WI,"BARTON, ALBERT O.",Progressive,1,,,,REGISTER OF DEEDS,
WI,Madison Capital Times,150701,1934,SEC OF STATE,,DANE COUNTY,WI,"DAMMANN, THEODORE",Progressive,1,,,,SECRETARY OF STATE,
WI,Madison Capital Times,150701,1934,SENATOR,,DANE COUNTY,WI,"LA FOLLETTE, ROBERT M. JR.",Progressive,1,,,,U.S. SENATOR,
WI,Madison Capital Times,150701,1934,SHERIFF,,DANE COUNTY,WI,"LARSON, LAWRENCE O.",Progressive,1,,,,SHERIFF,
WI,Madison Capital Times,150701,1934,STATE REP,3,DANE COUNTY,WI,"BAKER, ALBERT J.",Progressive,1,,,,ASSEMBLY 3RD DISTRICT,
WI,Madison Capital Times,150701,1934,STATE REP,2,DANE COUNTY,WI,"HANSON, JAMES C.",Progressive,1,,,,ASSEMBLY 2ND DISTRICT,
WI,Madison Capital Times,150701,1934,STATE REP,1,DANE COUNTY,WI,"SCHENK, HERBERT C.",Progressive,1,,,,ASSEMBLY 1ST DISTRICT,
WI,Madison Capital Times,150701,1934,STATE SENATOR,,DANE COUNTY,WI,"GROVES, HAROLD M.",Progressive,1,,,,STATE SENATOR,
WI,Madison Capital Times,150701,1934,TREASURER,,DANE COUNTY,WI,"FEMRITE, CLARENCE L.",Progressive,1,,,,COUNTY TREASURER,
WI,Madison Capital Times,150701,1934,TREASURER,,DANE COUNTY,WI,"JOHNSON, ALBERT C.",Progressive,1,,,,STATE TREASURER,
WI,Madison Capital Times,150701,1936,STATE REP,3,DANE COUNTY,WI,"BAKER, ALBERT J.",Progressive,1,,,,"ENDORSED FOR ASSEMBLY 3RD DISTRICT, MT. HOREB, AS A PROGRESSIVE.",
WI,Madison Capital Times,150701,1936,STATE REP,2,DANE COUNTY,WI,"HANSON, JAMES C.",Progressive,1,,,,"ENDORSED FOR ASSEMBLY 2ND DISTRICT, DEERFIELD, AS A PROGRESSIVE.",
WI,Madison Capital Times,150701,1936,STATE REP,1,DANE COUNTY,WI,"SCHENK, HERBERT C.",Progressive,1,,,,"ENDORSED FOR ASSEMBLY 1ST DISTRICT, MADISON, AS A PROGRESSIVE.",
