state_newspaper,newspaper,newspaper_id,year,state_election,prop_type,prop_num,prop_desc,endorsed,notes_endorse,extraction_confidence
WI,Madison Capital Times,150701,1932,WI,CONSTITUTIONAL,,FOUR PROPOSED CONSTITUTIONAL AMENDMENTS PRINTED ON ONE BALLOT,1,VOTE YES ON ALL FOUR,
WI,Madison Capital Times,150701,1936,WI,REFERENDUM,,"RELIEF REFERENDUM: SHALL DANE COUNTY ADOPT THE UNIT SYSTEM OF RELIEF, MAKING THE EXPENSE OF MAINTAINING THE POOR A DIRECT CHARGE UPON THEIR OWN TOWNS, VILLAGES, AND CITIES?",0,THE CAPITAL TIMES URGED A 'NO' VOTE TO REJECT THE UNIT SYSTEM AND PRESERVE THE COUNTY RELIEF SYSTEM.,
WI,Madison Capital Times,150701,1946,WI,CONSTITUTIONAL AMENDMENT,,SHALL SECTION 3 OF ARTICLE X OF THE CONSTITUTION BE AMENDED SO AS TO AUTHORIZE THE LEGISLATURE TO PROVIDE FOR THE TRANSPORTATION OF CHILDREN TO AND FROM ANY PAROCHIAL OR PRIVATE SCHOOL OR INSTITUTION OF LEARNING?,0,"THE CAPITAL TIMES URGED A 'NO' VOTE, OPPOSING USE OF PUBLIC FUNDS FOR PRIVATE/PAROCHIAL SCHOOLS AS A VIOLATION OF SEPARATION OF CHURCH AND STATE.",
WI,Madison Capital Times,150701,1946,WI,CONSTITUTIONAL AMENDMENT,,SHALL SECTION 23 OF ARTICLE IV AND SECTION 2 OF ARTICLE VI OF THE CONSTITUTION BE AMENDED SO AS TO REPEAL THE PROVISION WHICH MAKES THE SECRETARY OF STATE THE STATE AUDITOR AND ITS THEREOF TO AUTHORIZE THE LEGISLATURE TO PROVIDE BY LEGISLATION FOR THE AUDITING OF STATE ACCOUNTS?,0,"THE CAPITAL TIMES URGED A 'NO' VOTE, ARGUING THAT FOCUS SHOULD BE ON PERSONNEL OF GOVERNMENT RATHER THAN MACHINERY.",
WI,Madison Capital Times,150701,1948,WI,CONSTITUTIONAL AMENDMENT,1,SHALL SECTION 2 OF ARTICLE XI OF THE CONSTITUTION BE AMENDED SO AS TO GIVE MUNICIPAL CORPORATIONS THE RIGHT TO TAKE PRIVATE PROPERTY FOR PUBLIC USE WITHOUT THE NECESSITY OF SUCH TAKING BEING FIRST ESTABLISHED BY A JURY?,0,THE CAPITAL TIMES RECOMMENDED 'NO' VOTE PER SAMPLE BALLOT.,
WI,Madison Capital Times,150701,1948,WI,REFERENDUM,2,"SHALL THE LEGISLATURE ENACT A 3 PER CENT RETAIL SALES TAX TO RAISE A TOTAL SUM NOT TO EXCEED $200,000,000 TO BE USED TO FINANCE A BONUS FOR VETERANS OF WORLD WAR II?",0,THE CAPITAL TIMES RECOMMENDED 'NO' VOTE PER SAMPLE BALLOT.,
WI,Madison Capital Times,150701,1948,WI,BOND,3,"CITY OF MADISON RESOLUTION ADOPTED BY THE CITY COUNCIL ON SEPTEMBER 24, 1948 AUTHORIZING THE ISSUANCE OF BONDS NOT TO EXCEED $189,000 BEARING INTEREST AT A RATE NOT EXCEEDING 4% PER ANNUM FOR THE PURPOSE OF CONSTRUCTING, EQUIPPING AND CARRYING OUT A HOUSING PROJECT FOR HONORABLY DISCHARGED MEMBERS OF THE ARMED SERVICES OF THE UNITED STATES WHO SERVED IN WORLD WAR II AND WHO AT THE TIME OF THEIR INDUCTION INTO THE SERVICE WERE RESIDENTS OF DANE COUNTY, AND THEIR FAMILIES AND DEPENDENTS, BE APPROVED?",1,THE CAPITAL TIMES RECOMMENDED 'YES' VOTE FOR THE MADISON VETERANS HOUSING BOND RESOLUTION.,
WI,Madison Capital Times,150701,1948,WI,BOND,4,"$289,000,000 WORLD WAR II VETERANS HOUSING BONDS.",0,THE CAPITAL TIMES RECOMMENDED 'NO' VOTE PER SAMPLE BALLOT.,
WI,Madison Capital Times,150701,1952,WI,REFERENDUM,,SHALL THE CONSTITUTION BE AMENDED TO PROVIDE FOR THE ESTABLISHMENT OF EITHER SENATE OR ASSEMBLY DISTRICTS ON AN AREA AS WELL AS A POPULATION BASIS?,0,THE CAPITAL TIMES RECOMMENDED 'NO' VOTE ON THE REFERENDUM.,
WI,Madison Capital Times,150701,1954,WI,BOND,,"AUDITORIUM - SHALL THE CITY OF MADISON ISSUE GENERAL OBLIGATION BONDS NOT EXCEEDING $4,000,000 FOR ERECTION AND EQUIPMENT OF A PUBLIC BUILDING TO BE USED AS AN AUDITORIUM AND CIVIC CENTER",1,YES,
